message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us
64,1,0.0615288,325.603,149.338,338.208,483.459,623.625
64,2,0.0615738,322.816,120.631,337.709,479.459,597.584
64,3,0.0614125,322.038,122.864,336.834,476.168,596.709
64,4,0.0619266,323.328,148.7,337.251,477.668,602.25
64,5,0.0613983,325.625,148.61,340.042,481.5,605.167
256,1,0.23458,193.138,78.3513,201.75,294.958,369.251
256,2,0.236659,193.225,79.1268,201.959,295.126,372.792
256,3,0.236469,194.461,80.0861,202.917,296.709,385.334
256,4,0.234044,194.127,83.3703,202.292,296.5,371.75
256,5,0.236588,193.375,79.6072,201.959,295.834,378.125
1024,1,0.844306,112.524,55.7574,116.25,185,231.917
1024,2,0.844271,112.734,56.3355,116.166,186.542,243.251
1024,3,0.815766,116.377,75.4437,117.458,193.667,300.834
1024,4,0.845207,112.358,55.1102,116.125,186.084,234.75
1024,5,0.847829,112.71,55.4247,116.209,185.542,237.917
4096,1,2.39888,72.2359,39.0648,72.667,132.5,168.042
4096,2,2.40996,71.9809,40.2809,72.084,132.709,167.375
4096,3,2.39941,72.1305,39.4304,72.208,133.917,172.292
4096,4,2.396,72.2971,42.9196,72.583,131.875,171.25
4096,5,2.43009,71.2082,38.6289,71.625,130.792,167.25
16384,1,3.79492,52.0601,21.9146,49.125,92.833,118.875
16384,2,3.69181,53.3672,26.8174,49.334,98.375,136.208
16384,3,3.82112,51.7388,22.0272,48.875,91.167,118.25
16384,4,3.78342,52.3815,22.8362,49.292,92.416,119.583
16384,5,3.79848,52.1253,23.7854,49.125,91.541,117.041
65536,1,4.10119,56.7762,30.141,47.542,108.542,140.5
65536,2,4.16717,55.8582,28.5256,47.25,107.791,138.958
65536,3,4.16778,55.8388,28.9793,47.25,107.917,137.125
65536,4,4.09024,56.7565,29.8701,47.583,108.167,138.125
65536,5,4.14995,56.1366,28.6477,47.416,107.959,137.709
262144,1,3.91615,95.4685,42.8036,85.708,149.625,191.875
262144,2,3.90383,95.9221,43.4885,82.083,149.208,198.126
262144,3,3.89794,95.7673,44.418,84.208,150.583,203.208
262144,4,3.88504,95.9709,43.5213,85.625,149.376,188.833
262144,5,3.86252,96.9433,47.5073,87.708,150.667,206.167
1048576,1,4.91497,221.862,96.1643,207.583,277,429.417
1048576,2,4.92776,221.972,49.8295,208.584,286.75,440.417
1048576,3,4.97875,219.195,46.822,207.709,277,429.75
1048576,4,4.90876,222.321,60.1093,208.25,288.5,466.584
1048576,5,4.92237,221.439,50.8744,207.875,287.5,455.209
