message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us
64,1,0.153985,3.89439,91.0791,3.471,4.368,5.275
64,2,0.164236,3.56253,87.6653,3.163,4.046,4.884
64,3,0.161744,3.628,86.5803,3.234,4.106,5.097
64,4,0.164287,3.62552,87.2372,3.228,4.077,4.918
64,5,0.164646,3.75402,88.5192,3.364,4.128,5.146
64,6,0.161569,3.69824,87.1963,3.292,4.132,5.054
64,7,0.161987,3.75325,89.9345,3.339,4.196,5.044
64,8,0.163514,3.73721,85.7168,3.339,4.122,5.046
64,9,0.162125,3.73324,86.9309,3.333,4.141,5.032
64,10,0.164248,3.63723,92.0117,3.198,4.072,4.799
64,11,0.161811,3.7694,91.7164,3.382,4.148,5.117
64,12,0.158631,3.68877,88.3772,3.289,4.225,5.002
64,13,0.145299,3.8233,97.3825,3.425,4.525,5.393
64,14,0.150269,3.95907,97.0004,3.528,4.449,5.275
64,15,0.156553,3.73314,93.3388,3.274,4.208,5.013
256,1,0.583522,4.07909,51.4758,3.61,4.633,5.724
256,2,0.586114,4.00563,46.1584,3.606,4.559,5.515
256,3,0.576429,4.29471,45.7482,3.89,4.735,5.523
256,4,0.582928,4.13219,44.1391,3.743,4.623,5.653
256,5,0.584554,4.19613,47.6903,3.834,4.619,5.521
256,6,0.586636,4.1445,50.0507,3.691,4.621,5.374
256,7,0.547468,4.43464,44.9578,4.003,5.044,6.492
256,8,0.58524,4.01716,47.5689,3.571,4.555,5.51
256,9,0.586214,4.23211,46.3606,3.854,4.632,5.593
256,10,0.578262,4.09859,47.2278,3.631,4.695,5.346
256,11,0.589609,4.09771,54.5595,3.602,4.56,5.487
256,12,0.557282,4.55217,46.967,4.029,4.907,6.056
256,13,0.586196,4.06185,46.8407,3.586,4.64,5.402
256,14,0.555257,4.52648,44.924,4.037,5.025,6.052
256,15,0.583719,4.32085,45.6336,3.885,4.691,5.678
1024,1,1.82045,5.7556,39.006,5.096,6.003,6.512
1024,2,1.78831,5.77419,35.5575,5.151,6.129,7.218
1024,3,1.73411,5.86006,33.4941,5.248,6.195,6.873
1024,4,1.77426,5.97598,36.6859,5.34,6.29,7.51
1024,5,1.79788,5.86312,41.4858,5.113,6.107,7.13
1024,6,1.73687,5.97028,32.9454,5.413,6.395,7.365
1024,7,1.78327,5.87858,35.7445,5.257,6.199,7.681
1024,8,1.72735,5.98658,39.337,5.239,6.173,7.561
1024,9,1.77281,5.75446,33.506,5.175,6.193,7.738
1024,10,1.7733,5.73774,32.0017,5.169,6.174,7.799
1024,11,1.74886,5.8818,30.8174,5.336,6.327,7.909
1024,12,1.80833,5.67,33.7304,5.063,6.112,6.727
1024,13,1.77271,5.73727,30.7771,5.21,6.304,6.944
1024,14,1.78948,5.95909,45.7605,5.156,6.214,7.775
1024,15,1.80799,6.17055,52.9955,5.259,6.205,6.666
4096,1,4.40085,9.82262,41.4996,9.365,10.746,11.797
4096,2,4.39001,9.76782,42.7271,9.265,10.445,12.02
4096,3,4.44914,9.59281,42.0166,9.009,10.239,11.712
4096,4,4.35112,9.94734,43.4305,9.389,10.924,12.359
4096,5,4.41341,9.80164,43.7614,9.284,10.608,11.975
4096,6,4.39141,9.87763,44.4119,9.36,10.814,11.972
4096,7,4.41657,9.78646,45.1891,9.265,10.568,11.829
4096,8,4.40259,9.76405,44.8922,9.12,10.709,12.805
4096,9,4.45844,9.66139,44.6875,9.12,10.369,11.626
4096,10,4.33487,10.0235,43.7513,9.446,10.941,12.318
4096,11,4.40111,9.81095,43.3928,9.295,10.669,12.011
4096,12,4.42892,9.72365,45.4002,9.069,10.376,12.249
4096,13,4.47347,9.59976,43.8266,8.937,10.332,12.128
4096,14,4.41905,9.81864,44.3153,9.268,10.779,12.081
4096,15,4.35099,9.96055,42.506,9.453,10.93,12.403
16384,1,8.37388,21.2138,32.9793,20.27,23.214,24.819
16384,2,8.40217,21.2871,34.1414,20.339,22.941,24.457
16384,3,8.47695,21.1269,35.32,19.99,22.987,24.734
16384,4,8.33862,21.3022,34.0749,20.11,23.437,26.246
16384,5,8.30226,21.6523,39.6134,20.587,23.196,24.663
16384,6,8.34276,21.5277,39.7568,20.432,23.345,24.65
16384,7,8.24589,21.6927,35.9039,20.706,23.204,25.659
16384,8,8.29043,21.5038,34.508,20.519,23.523,25.156
16384,9,8.20204,21.6267,33.8615,20.761,23.212,24.751
16384,10,8.27492,21.667,37.7536,20.378,23.709,28.447
16384,11,8.31667,21.538,38.2152,20.499,23.234,25.25
16384,12,8.10235,22.0088,36.5017,20.896,23.92,26.025
16384,13,8.13706,21.9518,37.9375,20.908,23.506,24.973
16384,14,8.23335,21.587,33.3009,20.571,23.396,25.25
16384,15,8.18029,21.7903,34.3463,20.738,23.373,24.949
65536,1,11.5505,65.6487,89.1494,60.451,65.011,82.625
65536,2,11.2444,64.7257,68.7078,61.121,69.43,98.457
65536,3,11.5828,63.0153,37.5793,61.038,64.907,69.135
65536,4,11.4543,64.2602,47.3515,61.24,66.376,89.751
65536,5,11.616,63.1106,36.9641,61.122,64.776,66.987
65536,6,11.5778,63.8561,58.039,60.733,64.721,68.053
65536,7,11.6342,63.2966,53.1914,60.945,64.539,66.94
65536,8,10.9757,62.735,38.5005,61.565,70.61,90.509
65536,9,11.4413,63.4044,46.9885,61.31,66.183,79.768
65536,10,11.396,63.2534,41.6814,60.43,64.951,100.006
65536,11,11.5922,65.1977,83.7558,60.877,65.507,70.176
65536,12,11.1678,64.6725,37.0241,62.304,66.985,86.906
65536,13,11.4626,64.2186,44.6783,61.915,65.813,70.816
65536,14,11.7913,61.5666,37.366,59.652,64.231,72.067
65536,15,11.4732,64.2287,46.2572,61.606,65.991,83.29
262144,1,12.9468,68.7271,60.6626,63.07,73.065,284.156
262144,2,12.9776,72.2126,65.2668,66.202,73.278,207.333
262144,3,12.9562,70.0337,74.2128,63.672,70.672,210.806
262144,4,13.1313,69.9126,47.1518,68.711,73.244,77.681
262144,5,13.0654,71.2881,66.35,65.265,72.02,214.964
262144,6,13.0266,72.3652,70.5767,66.168,73.41,203.428
262144,7,12.9104,73.8418,75.6105,67.377,73.777,214.108
262144,8,13.0809,71.7182,51.4516,69.999,75.083,81.98
262144,9,13.0957,63.8812,40.8107,62.44,68.213,71.983
262144,10,12.9302,72.5504,57.8514,66.896,74.538,206.871
262144,11,12.9861,72.8545,61.436,67.492,73.813,194.786
262144,12,13.0136,72.8628,62.6753,65.573,72.761,350.748
262144,13,13.1859,66.6788,36.0952,65.381,70.548,75.569
262144,14,13.0858,67.3167,36.9739,66.066,72.227,83.281
262144,15,12.9914,71.4465,62.765,66.065,72.581,188.222
1048576,1,10.9989,231.044,280.38,150.024,832.01,1674.83
1048576,2,11.0148,215.716,250.572,149.998,658.149,1505.64
1048576,3,10.7444,223.891,262.091,155.411,680.498,1431.52
1048576,4,9.80362,346.411,450.376,162.728,1394.38,2259.16
1048576,5,9.8241,302.219,432.118,162.996,1269.92,2386.04
1048576,6,10.8776,212.151,229.079,152.615,616.71,1450.82
1048576,7,11.2366,159.979,60.808,153.139,164.699,351.83
1048576,8,10.8553,219.01,380.91,151.19,442.413,2157.3
1048576,9,11.2217,181.793,141.669,151.195,387.397,903.956
1048576,10,11.2555,165.076,85.2195,150.95,180.103,520.42
1048576,11,11.0787,189.423,174.081,150.506,396.211,1107.82
1048576,12,10.9937,210.67,238.349,150.921,590.305,1412.03
1048576,13,11.2771,162.985,71.2258,151.697,166.432,482.206
1048576,14,10.9304,233.849,289.621,150.544,851.467,1755.34
1048576,15,10.979,207.988,220.744,151.895,585.109,1392.03
