wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
adaptive,unknown,64,1,0.00344995,116.527,36.5635,126.449,142.554,156.712,237.774,1031.16,1239.4,4123,1.47676
adaptive,unknown,64,2,0.00350546,115.633,29.1507,125.596,142.781,152.868,182.424,1029.29,1136.74,4100,1.42612
adaptive,unknown,64,3,0.00350694,115.741,29.8045,126.13,143.311,153.229,181.577,1029.02,1136.78,4122,1.42547
adaptive,unknown,64,4,0.00351218,115.92,31.8253,125.561,143.248,154.378,183.194,1028.5,1112.84,4095,1.41861
adaptive,unknown,64,5,0.00351045,115.772,29.7632,125.858,143.279,153.975,204.517,1028.82,1114.52,4114,1.42343
adaptive,unknown,64,6,0.0035121,116.077,32.1676,125.959,143.392,152.804,174.396,1028.63,1118.82,4146,1.42007
adaptive,unknown,64,7,0.003513,115.954,28.9575,126.094,143.25,152.855,172.79,1028.64,1112.04,4096,1.42483
adaptive,unknown,64,8,0.00349291,116.236,59.2105,125.844,143.428,153.697,175.767,1029.32,1199.76,4139,1.43576
adaptive,unknown,64,9,0.00351278,115.339,33.3171,125.733,143.443,154.277,187.449,1028.6,1110.99,4136,1.42437
adaptive,unknown,64,10,0.00351111,115.163,38.9623,126.076,144.093,155.913,251.04,1028.57,1126.78,4154,1.4293
adaptive,unknown,64,11,0.00346217,117.244,43.1839,126.467,144.112,160.139,513.467,1031.01,1223.99,4109,1.46336
adaptive,unknown,64,12,0.00350996,116.453,28.4585,126.225,143.223,153.011,172.264,1029.32,1109.1,4113,1.42347
adaptive,unknown,64,13,0.0035134,115.979,28.1373,125.548,143.119,153.334,177.323,1029.18,1105.25,4106,1.42221
adaptive,unknown,64,14,0.0035122,117.218,31.2524,126.376,143.809,155.139,224.936,1029.42,1110.76,4102,1.42238
adaptive,unknown,64,15,0.0035108,116.312,28.9493,126.208,143.475,153.591,178.431,1029.47,1110.06,4111,1.42327
adaptive,unknown,256,1,0.014038,115.285,28.7799,124.85,142.981,152.397,176.423,1030.16,1103.95,1023,1.45735
adaptive,unknown,256,2,0.0133151,115.554,30.8667,126.386,142.59,168.743,183.716,1052.76,1256.97,1024,1.59385
adaptive,unknown,256,3,0.0140217,116.406,28.3061,125.536,143.798,154.696,184.685,1030.56,1100.88,1024,1.45571
adaptive,unknown,256,4,0.0140292,116.127,27.951,125.133,143.417,152.647,174.574,1030.43,1104.72,1024,1.45831
adaptive,unknown,256,5,0.0140227,119.163,63.535,125.464,144.333,157.199,1227.38,1030.08,1111.78,1024,1.45405
adaptive,unknown,256,6,0.0135183,113.986,32.0169,125.156,142.909,159.459,241.203,1038.68,1261.02,1023,1.55035
adaptive,unknown,256,7,0.0140232,115.11,30.2091,125.103,143.875,154.277,175.285,1030.4,1114.21,1027,1.44652
adaptive,unknown,256,8,0.0140326,116.038,29.1966,125.501,144.405,156.563,188.085,1030.55,1108.29,1024,1.46106
adaptive,unknown,256,9,0.0140255,116.544,28.7873,125.649,143.462,154.824,219.958,1030.86,1119.69,1024,1.45376
