wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
adaptive,unknown,64,1,0.0146184,3.99918,2.47957,3.893,5.198,5.904,52.644,195.307,198.485,4196,1.08933
adaptive,unknown,64,2,0.0146276,3.98582,2.40329,3.892,5.198,5.885,50.395,195.326,198.159,4172,1.08946
adaptive,unknown,64,3,0.0146232,4.02094,3.11564,3.872,5.179,6.056,54.965,195.306,197.745,4191,1.0901
adaptive,unknown,64,4,0.0146087,4.38839,20.5126,3.881,5.2,6.298,59.658,195.31,198.045,4108,1.08912
adaptive,unknown,64,5,0.0146144,3.99145,2.52599,3.884,5.176,6.038,51.365,195.309,198.011,4125,1.09007
adaptive,unknown,64,6,0.0146209,3.99294,2.70919,3.869,5.169,5.96,52.177,195.333,198.11,4149,1.08958
adaptive,unknown,64,7,0.0146251,3.95099,2.324,3.868,5.166,5.919,50.485,195.314,197.867,4140,1.08999
adaptive,unknown,64,8,0.0147248,3.99816,2.6308,3.882,5.155,5.897,52.353,195.261,198.074,4168,1.08778
adaptive,unknown,64,9,0.0146219,4.01435,3.13597,3.858,5.148,5.992,54.149,195.305,197.49,4104,1.08984
adaptive,unknown,64,10,0.0146171,4.04354,5.4113,3.85,5.144,5.985,53.466,195.318,198.838,4162,1.08949
adaptive,unknown,64,11,0.01462,3.93687,2.35168,3.853,5.131,5.836,53.254,195.295,198.966,4162,1.08978
adaptive,unknown,64,12,0.0146227,3.93808,2.10483,3.868,5.158,5.817,49.075,195.325,199.354,4135,1.08936
adaptive,unknown,64,13,0.0146167,3.99133,2.75072,3.863,5.14,5.856,52.134,195.306,199.246,4166,1.08973
adaptive,unknown,64,14,0.014617,4.00528,4.55098,3.855,5.138,5.856,50.095,195.299,199.84,4198,1.08935
adaptive,unknown,64,15,0.0146266,4.02865,4.13591,3.851,5.142,5.89,58.957,195.291,197.865,4143,1.0899
adaptive,unknown,256,1,0.0581754,4.87401,4.65517,4.53,5.708,8.069,58.676,194.314,199.18,1032,1.1126
adaptive,unknown,256,2,0.0582313,5.05198,5.93426,4.552,5.752,46.819,73.291,194.326,199.084,1027,1.11246
adaptive,unknown,256,3,0.058264,4.80812,4.30306,4.553,5.728,6.649,60.384,194.297,202.042,1034,1.11328
