wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
adaptive,unknown,64,1,0.307043,0.230446,0.270074,0.218,0.356,0.429,4.643,0.093,0.096,76943,0.194039
adaptive,unknown,64,2,0.306693,0.244237,1.00674,0.218,0.355,0.428,4.691,0.093,0.096,76938,0.193896
adaptive,unknown,64,3,0.306677,0.22176,0.107234,0.218,0.355,0.423,1.778,0.093,0.096,78711,0.194366
adaptive,unknown,64,4,0.306859,0.25336,1.29115,0.218,0.355,0.432,6.079,0.093,0.096,77609,0.193796
adaptive,unknown,64,5,0.306912,0.255338,1.03985,0.218,0.356,0.435,8.337,0.093,0.096,76902,0.193641
adaptive,unknown,64,6,0.307234,0.225852,0.17758,0.218,0.355,0.422,3.196,0.093,0.096,77346,0.19401
adaptive,unknown,64,7,0.306782,0.240767,0.882346,0.218,0.355,0.425,5.284,0.093,0.096,77715,0.193904
adaptive,unknown,64,8,0.306962,0.25692,1.23322,0.218,0.356,0.433,8.032,0.093,0.096,76801,0.193752
adaptive,unknown,64,9,0.307717,0.234035,0.499859,0.218,0.355,0.428,4.223,0.093,0.096,76719,0.193581
adaptive,unknown,64,10,0.306377,0.248434,1.35109,0.218,0.355,0.427,3.687,0.093,0.096,77595,0.193926
adaptive,unknown,64,11,0.306912,0.250986,0.860218,0.219,0.369,0.435,5.471,0.093,0.098,72945,0.19359
adaptive,unknown,64,12,0.307723,0.229031,0.292639,0.218,0.355,0.426,3.789,0.093,0.096,76638,0.193665
adaptive,unknown,64,13,0.307338,0.230732,0.37025,0.218,0.355,0.427,3.144,0.093,0.096,76897,0.193872
adaptive,unknown,64,14,0.305989,0.257056,1.31293,0.218,0.355,0.43,6.816,0.093,0.096,77463,0.194064
adaptive,unknown,64,15,0.30669,0.260667,1.01954,0.219,0.37,0.44,8.028,0.093,0.096,73633,0.193772
adaptive,unknown,256,1,1.18194,0.49136,2.27916,0.357,0.761,1.226,28.345,0.094,0.096,5718,0.199921
adaptive,unknown,256,2,1.16492,0.462618,2.06035,0.349,0.569,1.03,17.995,0.094,0.097,6407,0.20266
adaptive,unknown,256,3,1.20933,0.349079,0.273731,0.329,0.591,1.248,4.561,0.094,0.118,4711,0.197181
adaptive,unknown,256,4,1.18348,0.378034,0.235492,0.352,0.593,0.932,4.077,0.094,0.117,5988,0.201491
adaptive,unknown,256,5,1.18523,0.431804,0.874114,0.354,0.623,1.135,16.1,0.094,0.096,5920,0.200963
adaptive,unknown,256,6,1.1783,0.455304,1.75201,0.353,0.586,1.073,18.456,0.094,0.096,5762,0.200612
adaptive,unknown,256,7,1.20097,0.394042,0.241595,0.355,0.701,1.19,3.766,0.094,0.117,5278,0.198546
adaptive,unknown,256,8,1.17654,0.477841,2.43485,0.351,0.586,1.007,18.806,0.094,0.097,6047,0.20109
adaptive,unknown,256,9,1.19367,0.410131,0.39738,0.354,0.679,1.494,7.507,0.094,0.118,5550,0.199762
adaptive,unknown,256,10,1.1843,0.485503,1.78111,0.352,0.602,2.873,13.231,0.094,0.118,5940,0.200637
adaptive,unknown,256,11,1.19266,0.400237,0.459821,0.353,0.614,1.215,9.502,0.094,0.118,5872,0.199937
adaptive,unknown,256,12,1.18695,0.457853,0.959756,0.356,0.746,2.212,17.783,0.094,0.115,5776,0.20025
adaptive,unknown,256,13,1.18364,0.467817,1.72009,0.359,0.705,1.271,17.229,0.094,0.096,5600,0.199598
adaptive,unknown,256,14,1.17812,0.361609,0.28283,0.347,0.553,0.634,5.508,0.094,0.096,6238,0.201704
adaptive,unknown,256,15,1.1811,0.544019,2.93632,0.355,0.69,1.707,29.981,0.094,0.096,5598,0.199818
adaptive,unknown,1024,1,4.63662,12.1591,0.732945,12.059,13.491,14.913,16.22,0.117,0.117,1,0.20577
adaptive,unknown,1024,2,4.66603,12.143,0.764416,12.098,12.997,15.017,16.315,0.095,0.095,1,0.204464
adaptive,unknown,1024,3,4.60446,12.1247,2.43631,11.898,13.606,22.736,42.673,0.118,0.118,1,0.20721
adaptive,unknown,1024,4,4.56366,12.3465,0.874866,12.262,13.5,14.877,19.384,3.855,3.855,1,0.209077
adaptive,unknown,1024,5,4.44076,12.1869,2.33745,11.965,14.279,24.175,34.206,0.117,0.117,2,0.214942
adaptive,unknown,1024,6,4.53849,12.3257,4.64608,11.922,12.819,15.348,87.845,127.7,127.7,1,0.203357
adaptive,unknown,1024,7,4.41369,12.3662,3.6594,12.022,12.972,17.623,72.188,127.07,127.07,1,0.209298
adaptive,unknown,1024,8,4.41622,12.4328,1.51741,12.284,13.227,16.021,33.491,38.687,38.687,1,0.213591
adaptive,unknown,1024,9,4.65709,12.0652,0.76653,11.906,13.36,14.631,16.159,0.117,0.117,1,0.204876
adaptive,unknown,1024,10,4.26855,12.8876,4.38213,12.545,13.561,22.224,79.519,122.817,122.817,1,0.216939
adaptive,unknown,1024,11,4.44481,12.316,0.898359,12.193,13.951,15.324,20.115,49.638,49.638,1,0.212236
adaptive,unknown,1024,12,4.6574,12.0057,1.5544,11.934,13.621,16.126,30.146,0.164,0.164,1,0.204897
adaptive,unknown,1024,13,4.69347,11.985,0.698497,11.917,12.791,14.515,16.318,0.118,0.118,1,0.203291
adaptive,unknown,1024,14,4.39086,12.5453,5.61266,12.014,13.006,17.342,104.136,151.146,151.146,1,0.209044
adaptive,unknown,1024,15,4.41723,12.3683,3.52474,12.014,13.019,16.784,69.456,134.103,134.103,1,0.20868
adaptive,unknown,4096,1,10.5328,5.78144,3.28533,4.348,13.42,16.335,20.007,53.649,53.649,1,0.36097
adaptive,unknown,4096,2,10.5297,9.52381,6.1943,6.298,21.593,21.987,31.887,16.811,16.811,2,0.36143
adaptive,unknown,4096,3,10.561,8.37731,4.6007,6.249,18.267,19.341,22.268,49.289,49.289,2,0.360061
adaptive,unknown,4096,4,10.5894,7.7802,5.51254,5.29,20.33,22.123,28.518,50.576,50.576,1,0.35907
adaptive,unknown,4096,5,10.5073,12.3681,7.34997,11.34,21.797,26.521,67.841,127.914,127.914,1,0.359233
adaptive,unknown,4096,6,10.6138,5.2336,1.37038,4.849,7.584,8.337,10.488,0.117,0.117,1,0.35945
adaptive,unknown,4096,7,10.5905,6.57418,3.59183,5.061,15.69,17.235,20.288,51.276,51.276,1,0.358997
adaptive,unknown,4096,8,10.5982,4.47841,0.790007,4.431,5.968,6.421,8.826,0.118,0.118,1,0.359981
adaptive,unknown,4096,9,10.6476,8.76379,4.97143,6.499,18.839,19.671,23.728,50.571,50.571,1,0.357093
adaptive,unknown,4096,10,10.5362,11.9702,6.64057,12.945,21.573,26.185,62.695,125.772,125.772,1,0.358742
adaptive,unknown,4096,11,10.6446,12.8841,4.50106,12.744,20.104,21.44,23.218,48.899,48.899,1,0.356915
adaptive,unknown,4096,12,10.6138,5.44084,1.75199,4.948,9.767,11.278,13.581,0.116,0.116,1,0.359456
adaptive,unknown,4096,13,10.6292,4.59551,0.72494,4.551,5.773,6.332,8.926,0.117,0.117,1,0.358971
adaptive,unknown,4096,14,10.466,6.84117,6.31364,4.518,20.961,27.061,67.808,167.749,167.749,2,0.359907
adaptive,unknown,4096,15,10.5655,4.70831,1.00758,4.626,6.426,7.921,9.297,0.117,4.377,3,0.361099
adaptive,unknown,16384,1,15.8941,51.6456,5.78708,53.579,55.217,57.8,59.714,53.781,53.781,1,0.955271
adaptive,unknown,16384,2,16.1293,52.279,5.30106,53.72,55.167,56.993,57.978,0.115,0.115,1,0.946295
adaptive,unknown,16384,3,16.0767,52.3237,5.92755,53.586,56.626,58.982,59.537,0.117,0.117,1,0.949431
adaptive,unknown,16384,4,15.8449,53.6953,2.60412,53.818,56.931,65.53,68.525,172.137,172.137,1,0.944074
adaptive,unknown,16384,5,15.5469,54.2639,8.68673,53.711,57.289,103.159,150.744,159.12,159.12,1,0.96322
adaptive,unknown,16384,6,15.9049,52.2117,7.13319,53.685,58.036,61.296,92.478,0.118,0.118,1,0.959558
adaptive,unknown,16384,7,16.0541,53.1242,3.06471,53.763,55.379,57.631,63.955,51.165,51.165,1,0.945718
adaptive,unknown,16384,8,16.0686,52.0379,6.95575,53.693,55.37,57.047,58.23,0.118,0.118,1,0.949888
adaptive,unknown,16384,9,15.8235,53.4213,2.34769,53.847,55.599,58.866,63.282,175.163,175.163,1,0.945135
adaptive,unknown,16384,10,15.9912,51.7671,6.19956,53.626,55.337,57.276,58.201,0.178,0.178,1,0.954441
adaptive,unknown,16384,11,15.8498,52.4558,6.10681,53.722,56.254,59.129,85.687,4.263,4.263,1,0.962912
adaptive,unknown,16384,12,15.9104,53.8375,2.20041,53.966,57.56,61.618,65.071,120.602,120.602,1,0.946232
adaptive,unknown,16384,13,16.0662,52.6534,5.17245,53.816,55.347,57.472,58.116,0.116,0.116,1,0.94999
adaptive,unknown,16384,14,16.0348,53.4941,2.84346,53.801,56.543,62.097,77.755,123.833,123.833,1,0.938768
adaptive,unknown,16384,15,15.7161,53.2258,5.46388,53.882,58.834,67.937,88.504,113.083,113.083,1,0.958978
adaptive,unknown,65536,1,16.3973,48.9548,8.77117,51.382,53.554,55.785,56.507,0.116,0.116,1,3.72306
adaptive,unknown,65536,2,16.3179,51.2487,4.68863,51.839,55.381,70.726,85.715,138.756,138.756,1,3.68178
adaptive,unknown,65536,3,16.1948,48.3031,10.8546,51.586,53.933,55.785,57.331,0.094,7.522,28,3.76972
adaptive,unknown,65536,4,16.1011,48.5324,13.9508,51.78,62.927,87.09,116.709,0.115,0.119,29,3.79216
adaptive,unknown,65536,5,16.1966,50.4936,3.47287,51.309,54.038,59.025,62.774,168.423,168.423,1,3.69461
adaptive,unknown,65536,6,16.2832,50.0292,11.0585,51.979,57.492,87.001,95.853,0.095,6.284,41,3.7494
adaptive,unknown,65536,7,16.1059,52.9872,7.63194,52.07,64.99,95.721,98.29,132.018,132.018,1,3.73296
adaptive,unknown,65536,8,16.3623,49.3198,7.60778,51.608,53.918,56.628,61.75,0.116,0.116,1,3.7311
adaptive,unknown,65536,9,16.2515,48.6218,10.7397,52.009,54.546,56.681,58.918,0.094,63.346,47,3.72999
adaptive,unknown,65536,10,15.8207,48.2469,10.0126,51.493,53.91,55.417,56.788,0.093,37.562,43,3.84499
adaptive,unknown,65536,11,16.342,53.7931,9.28071,52.381,65.713,103.103,120.798,47.092,47.092,1,3.718
adaptive,unknown,65536,12,16.3258,49.2908,6.44129,51.343,53.574,55.999,56.679,13.787,13.787,1,3.73689
adaptive,unknown,65536,13,16.0814,50.8525,3.98857,51.564,54.956,65.119,73.177,131.116,131.116,1,3.74022
adaptive,unknown,65536,14,16.1639,48.3822,10.659,51.782,53.687,55.602,56.606,0.094,13.117,24,3.77762
adaptive,unknown,65536,15,16.1574,51.9251,9.6341,52.008,64.234,88.844,113.77,82.545,82.545,1,3.74204
adaptive,unknown,262144,1,15.7665,21.2075,10.0203,24.253,32.549,36.46,39.219,0.093,12.278,159,15.4015
adaptive,unknown,262144,2,16.0341,26.4309,7.65048,28.379,33.482,38.719,44.342,0.094,137.088,65,15.1615
adaptive,unknown,262144,3,15.8495,22.9194,11.2796,26.738,33.736,41.797,75.31,0.094,28.52,130,15.3193
adaptive,unknown,262144,4,15.5177,7.0066,9.58767,1.919,26.764,28.883,32.798,0.094,6.445,542,15.7038
adaptive,unknown,262144,5,15.3245,24.0325,9.6476,27.399,32.55,36.616,48.662,0.093,29.045,182,15.8056
