wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
busy_poll,unknown,64,1,0.00345078,0.242165,0.175792,0.192,0.462,0.518,2.11,0.022,0.108,66088,17.2706
busy_poll,unknown,64,2,0.00352249,0.293399,0.158481,0.263,0.477,0.623,0.977,0.022,0.025,92414,16.919
busy_poll,unknown,64,3,0.00349807,0.276254,0.228776,0.213,0.472,0.581,0.976,0.022,0.025,83644,17.0372
busy_poll,unknown,64,4,0.00352308,0.292478,0.222096,0.243,0.477,0.626,1.487,0.022,0.025,90987,16.9159
busy_poll,unknown,64,5,0.00346598,0.258268,0.606086,0.195,0.465,0.538,2.119,0.022,0.105,69195,17.1949
busy_poll,unknown,64,6,0.00352316,0.292065,0.169342,0.251,0.476,0.619,1.005,0.022,0.025,92015,16.9156
busy_poll,unknown,64,7,0.00346422,0.255779,0.447712,0.195,0.465,0.536,1.371,0.022,0.105,70924,17.2037
busy_poll,unknown,64,8,0.00340992,0.219094,0.39553,0.181,0.426,0.479,2.322,0.022,0.112,50493,17.4773
busy_poll,unknown,64,9,0.00352199,0.297685,0.572721,0.24,0.475,0.634,1.029,0.022,0.025,91684,16.9213
busy_poll,unknown,64,10,0.00352368,0.288366,0.15796,0.235,0.475,0.615,0.986,0.022,0.025,90253,16.9135
busy_poll,unknown,64,11,0.00352139,0.288941,0.14947,0.243,0.474,0.62,0.968,0.022,0.025,90728,16.9242
busy_poll,unknown,64,12,0.00346795,0.254188,0.165903,0.196,0.466,0.536,1.118,0.022,0.101,72105,17.1852
busy_poll,unknown,64,13,0.00339959,0.210886,0.403619,0.18,0.357,0.464,2.234,0.022,0.113,46047,17.5307
busy_poll,unknown,64,14,0.00342762,0.223337,0.147175,0.185,0.452,0.493,0.931,0.022,0.111,56811,17.3875
busy_poll,unknown,64,15,0.003507,0.281889,0.209836,0.218,0.474,0.594,0.97,0.022,0.025,85690,16.9936
busy_poll,unknown,256,1,0.0136276,0.271728,0.196886,0.231,0.484,1.24,2.319,0.022,0.116,3969,17.4928
busy_poll,unknown,256,2,0.0138567,0.455821,0.362514,0.339,1.258,1.72,2.716,0.022,0.113,3461,17.2043
busy_poll,unknown,256,3,0.014098,0.664384,0.438928,0.531,1.567,1.892,3.98,0.023,0.025,2563,16.9092
busy_poll,unknown,256,4,0.0141002,0.60884,0.430767,0.445,1.463,1.866,4.029,0.022,0.025,3775,16.907
busy_poll,unknown,256,5,0.0141002,0.63481,0.402256,0.501,1.489,1.873,3.153,0.022,0.025,2979,16.9068
busy_poll,unknown,256,6,0.0141009,0.631299,0.434047,0.468,1.49,1.888,3.413,0.022,0.025,3291,16.9062
busy_poll,unknown,256,7,0.0140984,0.636128,0.432655,0.478,1.51,1.884,3.991,0.022,0.025,2829,16.9093
busy_poll,unknown,256,8,0.0141083,0.668396,0.427752,0.535,1.537,1.879,3.455,0.022,0.025,2477,16.8968
busy_poll,unknown,256,9,0.014111,0.653553,0.442717,0.518,1.518,1.878,4.421,0.022,0.025,2499,16.8948
busy_poll,unknown,256,10,0.0141056,0.658211,0.48729,0.519,1.525,1.918,6.213,0.022,0.029,2496,16.9003
busy_poll,unknown,256,11,0.0140222,0.570236,0.441524,0.422,1.412,1.82,4.398,0.022,0.11,2898,17.0015
busy_poll,unknown,256,12,0.0140972,0.641077,0.414268,0.508,1.507,1.887,2.883,0.022,0.028,2736,16.9103
busy_poll,unknown,256,13,0.0141083,0.636128,0.425207,0.482,1.484,1.837,3.429,0.022,0.026,2857,16.8975
