wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
busy_poll,unknown,64,1,0.0343305,0.222459,0.659927,0.208,0.328,0.342,1.837,0.022,0.025,68599,1.73599
busy_poll,unknown,64,2,0.0343031,0.229639,0.94622,0.207,0.308,0.314,1.581,0.022,0.025,67645,1.7372
busy_poll,unknown,64,3,0.0342759,0.209239,0.311454,0.206,0.308,0.316,4.365,0.022,0.025,70906,1.73885
busy_poll,unknown,64,4,0.0342865,0.215107,0.73627,0.206,0.308,0.315,0.672,0.022,0.025,71840,1.73815
busy_poll,unknown,64,5,0.0343171,0.217815,0.394008,0.208,0.308,0.314,5.339,0.022,0.025,66536,1.73666
busy_poll,unknown,64,6,0.034332,0.226728,0.802965,0.208,0.325,0.34,2.102,0.022,0.025,67668,1.73585
busy_poll,unknown,64,7,0.034201,0.204335,0.249805,0.206,0.308,0.315,0.882,0.022,0.025,72168,1.74262
busy_poll,unknown,64,8,0.034292,0.212214,0.703026,0.206,0.308,0.316,1.057,0.022,0.025,74045,1.73784
busy_poll,unknown,64,9,0.0343149,0.216045,0.667853,0.207,0.308,0.315,1.481,0.022,0.025,72319,1.7367
busy_poll,unknown,64,10,0.0343261,0.220246,0.785751,0.208,0.324,0.34,0.473,0.022,0.025,68998,1.73624
busy_poll,unknown,64,11,0.0343064,0.222425,0.777076,0.208,0.325,0.341,1.087,0.022,0.025,68740,1.7372
busy_poll,unknown,64,12,0.034284,0.222533,0.712005,0.208,0.325,0.341,1.269,0.022,0.025,68640,1.73826
busy_poll,unknown,64,13,0.0342794,0.212583,0.285464,0.207,0.326,0.341,0.806,0.022,0.025,68323,1.73851
busy_poll,unknown,64,14,0.0343002,0.208655,0.221369,0.208,0.325,0.341,0.446,0.022,0.025,69426,1.73769
busy_poll,unknown,64,15,0.0342748,0.198197,0.109348,0.203,0.308,0.315,0.417,0.022,0.025,71406,1.73884
busy_poll,unknown,256,1,0.137312,0.284336,0.617656,0.235,0.45,0.578,3.637,0.022,0.025,8046,1.73612
busy_poll,unknown,256,2,0.137305,0.278832,0.628041,0.225,0.449,0.628,3.246,0.022,0.025,9431,1.73618
busy_poll,unknown,256,3,0.136751,0.257557,0.13885,0.224,0.461,0.636,1.081,0.022,0.025,10103,1.74347
busy_poll,unknown,256,4,0.137162,0.323109,1.63195,0.226,0.468,0.706,9.297,0.022,0.025,9376,1.73735
busy_poll,unknown,256,5,0.137,0.26647,0.172361,0.234,0.445,0.571,1.579,0.022,0.025,8164,1.73992
busy_poll,unknown,256,6,0.137169,0.281651,0.466924,0.235,0.452,0.595,6.36,0.022,0.025,8088,1.73786
busy_poll,unknown,256,7,0.137264,0.312382,1.18657,0.232,0.415,0.561,19.116,0.022,0.026,8492,1.73622
busy_poll,unknown,256,8,0.137145,0.263611,0.249637,0.224,0.446,0.647,3.583,0.022,0.025,10149,1.73838
busy_poll,unknown,256,9,0.137251,0.271709,0.294571,0.234,0.436,0.563,4.854,0.022,0.025,8155,1.73693
busy_poll,unknown,256,10,0.137344,0.282492,0.450216,0.236,0.452,0.572,5.909,0.022,0.025,7993,1.73578
busy_poll,unknown,256,11,0.137085,0.267383,0.177309,0.234,0.446,0.569,1.771,0.022,0.025,8169,1.73922
busy_poll,unknown,256,12,0.137172,0.314729,1.59816,0.224,0.471,0.679,7.356,0.022,0.025,10078,1.73726
busy_poll,unknown,256,13,0.137114,0.26386,0.162491,0.234,0.421,0.554,1.122,0.022,0.025,8281,1.73841
busy_poll,unknown,256,14,0.13715,0.265661,0.165639,0.231,0.449,0.575,2.388,0.022,0.025,8647,1.7384
busy_poll,unknown,256,15,0.137209,0.287381,0.553606,0.229,0.452,0.659,8.416,0.022,0.025,8881,1.73738
busy_poll,unknown,1024,1,0.5478,2.52991,1.50967,2.602,3.997,4.495,19.297,0.023,0.047,256,1.74016
busy_poll,unknown,1024,2,0.54762,2.40646,1.07331,2.517,3.878,4.268,6.991,0.023,0.058,247,1.74159
busy_poll,unknown,1024,3,0.548585,2.45001,1.10275,2.596,3.9,4.257,7.389,0.023,4.795,241,1.73853
busy_poll,unknown,1024,4,0.547848,2.45826,1.14068,2.592,3.969,4.375,6.795,0.023,0.125,233,1.74088
busy_poll,unknown,1024,5,0.547011,2.4429,1.10023,2.576,3.935,4.294,5.27,0.023,4.201,240,1.74354
busy_poll,unknown,1024,6,0.547678,2.43232,1.12648,2.541,4.017,4.719,6.984,0.023,4.543,241,1.74142
busy_poll,unknown,1024,7,0.549607,2.41311,1.10514,2.537,3.884,4.232,8.219,0.022,4.079,243,1.7353
busy_poll,unknown,1024,8,0.550254,2.42518,1.098,2.526,3.933,4.457,6.899,0.023,3.872,248,1.73326
busy_poll,unknown,1024,9,0.548411,2.45267,1.11245,2.592,3.945,4.285,7.656,0.023,0.227,237,1.73909
busy_poll,unknown,1024,10,0.545674,2.40646,1.07067,2.54,3.893,4.26,6.747,0.022,3.995,238,1.74781
busy_poll,unknown,1024,11,0.546549,2.36799,1.0819,2.459,3.878,4.231,7.16,0.023,4.678,238,1.74499
busy_poll,unknown,1024,12,0.549741,2.46124,1.1401,2.59,3.975,4.466,8.272,0.022,0.238,247,1.73486
busy_poll,unknown,1024,13,0.547376,2.42826,1.12145,2.562,3.935,4.36,7.599,0.023,0.091,244,1.74237
busy_poll,unknown,1024,14,0.549628,2.63401,3.24855,2.563,3.989,4.763,51.506,0.023,4.244,239,1.73243
busy_poll,unknown,1024,15,0.545172,2.40651,1.0892,2.52,3.904,4.275,7.028,0.023,4.558,241,1.7494
busy_poll,unknown,4096,1,1.9513,2.92023,0.701227,3.052,3.64,4.246,6.248,0.022,0.031,505,1.95498
