wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
busy_poll,unknown,64,1,0.333379,3.76315,3.19404,3.403,9.154,10.883,11.394,0.023,0.033,184,0.178795
busy_poll,unknown,64,2,0.332844,0.732964,1.02655,0.399,2.554,5.748,5.823,0.022,0.025,512,0.179084
busy_poll,unknown,64,3,0.339266,0.349736,0.15664,0.372,0.633,0.767,0.956,0.022,0.024,833,0.175695
busy_poll,unknown,64,4,0.350675,0.409673,0.427062,0.327,1.041,2.422,5.428,0.023,0.033,1010,0.169978
busy_poll,unknown,64,5,0.351195,0.420781,0.791693,0.273,0.463,5.679,8.475,0.023,0.032,754,0.169727
busy_poll,unknown,64,6,0.340336,0.485511,0.493482,0.388,1.423,2.684,4.692,0.022,0.025,970,0.175145
busy_poll,unknown,64,7,0.338592,0.843151,1.6629,0.385,3.465,9.159,9.735,0.022,0.029,682,0.175984
busy_poll,unknown,64,8,0.350457,0.351457,0.305487,0.294,0.629,1.718,4.464,0.023,0.032,1041,0.170086
busy_poll,unknown,64,9,0.333413,0.989167,1.69653,0.398,5.388,7.948,8.851,0.022,0.025,593,0.178782
busy_poll,unknown,64,10,0.350649,0.329378,0.213268,0.276,0.525,0.91,3.073,0.022,0.025,968,0.169992
busy_poll,unknown,64,11,0.332803,0.38071,0.173827,0.394,0.59,0.941,1.666,0.022,0.031,861,0.179105
busy_poll,unknown,64,12,0.33246,0.508135,0.904986,0.392,0.927,7.162,7.235,0.022,0.026,735,0.179292
busy_poll,unknown,64,13,0.332351,0.567992,0.664373,0.399,1.314,3.949,4.556,0.022,0.026,886,0.179348
busy_poll,unknown,64,14,0.333028,1.37964,2.68676,0.4,10.228,10.871,11.259,0.022,0.026,559,0.178985
busy_poll,unknown,64,15,0.333524,2.43726,3.23976,0.581,10.388,10.72,11.904,0.022,0.032,298,0.178637
busy_poll,unknown,256,1,1.19124,12.338,0.994457,12.46,13.061,15.53,20.989,0.029,0.029,1,0.200169
busy_poll,unknown,256,2,1.19106,12.3698,0.934102,12.449,13.043,15.302,21.825,0.028,0.028,1,0.200198
busy_poll,unknown,256,3,1.18692,12.4657,0.685382,12.483,12.995,14.959,17.111,0.024,0.024,2,0.200895
busy_poll,unknown,256,4,1.18901,12.5035,0.974167,12.484,13.021,14.592,17.012,0.027,0.027,1,0.200282
busy_poll,unknown,256,5,1.19327,12.3329,1.13024,12.436,12.944,15.17,16.793,0.028,0.028,1,0.199831
busy_poll,unknown,256,6,1.20041,12.3467,0.776004,12.42,13.019,14.713,17.048,0.028,0.028,2,0.19864
busy_poll,unknown,256,7,1.18986,12.4854,0.637013,12.5,13.013,14.818,16.634,0.029,0.029,1,0.200403
busy_poll,unknown,256,8,1.17268,12.4917,0.769061,12.534,13.01,14.913,16.134,0.023,0.023,8,0.203336
busy_poll,unknown,256,9,1.19356,12.4527,0.929671,12.45,12.987,14.963,17.245,0.028,0.028,1,0.199554
busy_poll,unknown,256,10,1.18436,12.4972,0.574219,12.507,13.02,14.845,16.081,0.028,0.028,1,0.201334
busy_poll,unknown,256,11,1.19049,12.4113,0.756374,12.467,12.992,14.473,17.023,0.022,0.022,2,0.200312
busy_poll,unknown,256,12,1.19037,12.4228,0.646891,12.437,12.955,14.921,16.492,0.029,0.029,1,0.200312
busy_poll,unknown,256,13,1.18722,12.4933,0.638708,12.494,13.021,14.862,16.501,0.028,0.028,1,0.200849
busy_poll,unknown,256,14,1.18655,12.4189,1.14221,12.468,13.023,14.472,16.956,0.022,0.023,5,0.200739
busy_poll,unknown,256,15,1.19065,12.4388,0.696089,12.457,12.974,15.214,16.755,0.023,0.023,1,0.200287
busy_poll,unknown,1024,1,4.51506,12.9118,2.62787,12.659,14.135,16.921,52.618,0.024,0.024,1,0.209353
busy_poll,unknown,1024,2,4.50207,12.7608,0.75226,12.697,13.415,15.102,18.925,0.1,0.1,1,0.211966
busy_poll,unknown,1024,3,4.62594,12.6875,1.67797,12.542,14.137,16.716,33.417,0,0,0,0.206251
busy_poll,unknown,1024,4,4.49695,12.6298,0.694734,12.593,13.343,15.09,16.598,0.029,0.029,1,0.212154
busy_poll,unknown,1024,5,4.43402,12.6195,1.86631,12.465,14.407,20.83,32.058,0.027,0.027,1,0.215226
busy_poll,unknown,1024,6,4.55002,12.6499,0.726647,12.589,13.53,15.657,17.082,0.027,0.027,1,0.209722
busy_poll,unknown,1024,7,4.53662,12.8715,0.773893,12.8,14.25,15.1,16.202,0,0,0,0.210322
busy_poll,unknown,1024,8,4.63069,12.6172,0.649671,12.658,13.094,14.777,15.59,0.027,0.027,1,0.206028
busy_poll,unknown,1024,9,4.35842,12.8184,0.688943,12.783,13.483,15.798,16.99,0.024,0.024,1,0.21902
busy_poll,unknown,1024,10,4.48681,12.6408,0.778458,12.566,13.491,14.996,17.115,0.03,0.03,1,0.21264
busy_poll,unknown,1024,11,4.58882,12.4801,0.734098,12.399,13.501,15.34,16.512,0.029,0.029,1,0.207955
busy_poll,unknown,1024,12,4.52925,12.8288,0.877616,12.743,13.851,16.031,18.48,0.028,0.028,1,0.210675
busy_poll,unknown,1024,13,4.52021,12.7289,0.743511,12.627,13.865,15.447,16.795,0.026,0.026,1,0.211104
busy_poll,unknown,1024,14,4.59652,12.5211,2.00916,12.419,14.608,21.756,33.331,0.03,0.03,3,0.207595
busy_poll,unknown,1024,15,4.58238,12.7972,0.814087,12.693,14.176,15.167,18.384,0.027,0.027,1,0.208221
busy_poll,unknown,4096,1,10.4632,4.48959,0.950824,4.24,6.484,6.917,9.156,0.027,0.027,1,0.364631
busy_poll,unknown,4096,2,10.6615,13.8595,3.98035,14.365,19.715,20.877,23.99,0.029,0.029,1,0.357685
busy_poll,unknown,4096,3,10.5878,14.674,5.44546,15.402,21.795,22.09,39.595,0.027,0.027,1,0.359866
busy_poll,unknown,4096,4,10.5095,5.58997,1.59927,5.331,8.258,9.005,11.197,0.028,0.028,1,0.363036
busy_poll,unknown,4096,5,10.5095,5.59607,2.74325,4.763,13.808,15.209,15.556,0.03,0.03,1,0.363045
busy_poll,unknown,4096,6,10.5765,16.7647,4.00772,17.55,21.91,22.366,59.788,0.022,0.022,1,0.359319
busy_poll,unknown,4096,7,10.416,7.87343,1.96442,7.788,11.458,12.663,16.773,0.025,0.025,1,0.366325
busy_poll,unknown,4096,8,10.5181,6.00199,1.69256,5.951,9.205,9.997,11.804,0.027,0.027,1,0.362743
busy_poll,unknown,4096,9,10.5453,4.56645,1.59531,3.954,8.708,9.526,10.846,0.03,0.03,1,0.361807
busy_poll,unknown,4096,10,10.46,5.15734,1.23314,5.065,6.88,7.413,9.715,0.028,0.028,1,0.364744
busy_poll,unknown,4096,11,10.6947,14.8463,1.74187,14.885,17.38,18.621,20.13,0.029,0.029,1,0.35674
busy_poll,unknown,4096,12,10.4811,7.37757,2.66655,7.365,11.777,12.221,14.707,0.028,0.028,1,0.364024
busy_poll,unknown,4096,13,10.5286,11.4955,4.29565,12.965,17.004,17.799,21.142,0.028,0.028,1,0.362365
busy_poll,unknown,4096,14,10.5663,13.5967,2.35038,13.194,17.696,18.271,21.966,0.027,0.027,1,0.361071
busy_poll,unknown,4096,15,10.5825,14.1052,1.43322,14.201,15.963,18.042,19.799,0.024,0.024,1,0.360514
busy_poll,unknown,16384,1,15.9532,53.325,5.52762,54.457,56.959,59.018,60.084,0.028,0.028,1,0.956733
busy_poll,unknown,16384,2,15.7868,54.1357,5.66171,54.548,58.312,69.519,92.418,0.029,0.029,1,0.966789
busy_poll,unknown,16384,3,16.0945,53.2112,5.01149,54.487,56.118,58.08,59.579,0.028,0.028,1,0.948267
busy_poll,unknown,16384,4,15.6236,51.8237,8.14971,54.309,55.814,58.023,59.227,0.024,0.024,1,0.977305
busy_poll,unknown,16384,5,15.7393,53.1577,6.30988,54.451,57.854,61.802,91.071,0.027,0.027,1,0.969649
busy_poll,unknown,16384,6,15.684,53.0113,7.08429,54.481,57.462,59.639,98.952,0.029,0.029,1,0.973122
