wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
eventfd,unknown,64,1,0.00328801,122.312,59.7627,129.999,196.388,208.517,255.772,1136.45,1388.83,4119,0.608623
eventfd,unknown,64,2,0.0033865,133.808,57.8868,137.615,202.68,216.482,252.851,1096.84,1370.86,4136,0.55018
eventfd,unknown,64,3,0.00337193,130.343,56.8495,134.32,200.783,212.242,252.622,1097.64,1379.87,4157,0.555144
eventfd,unknown,64,4,0.00350526,147.474,59.8698,179.628,204.629,217.37,243.764,1089.07,1262.41,4206,0.48386
eventfd,unknown,64,5,0.00350827,146.727,58.3725,178.282,204.863,218.05,238.041,1089.42,1263.68,4183,0.481929
eventfd,unknown,64,6,0.00350928,145.015,62.3526,178.003,203.752,216.051,256.919,1089.63,1258.88,4170,0.475741
eventfd,unknown,64,7,0.00351014,146.156,62.1084,178.401,203.953,217.393,261.844,1089.19,1260.46,4173,0.479424
eventfd,unknown,64,8,0.00350821,146.555,59.3567,178.008,204.041,217.497,254.024,1089.45,1263.96,4191,0.481221
eventfd,unknown,64,9,0.00350963,144.193,68.04,176.32,203.539,218.294,274.899,1089.5,1262.42,4171,0.479284
eventfd,unknown,64,10,0.00351071,146.124,59.8093,178.175,202.685,218.004,287.338,1089.05,1259.48,4191,0.47637
eventfd,unknown,64,11,0.0035107,146.57,64.0276,177.858,203.356,219.259,701.549,1089.87,1264.98,4159,0.48097
eventfd,unknown,64,12,0.00350143,144.862,70.9162,176.478,203.258,218.052,486.998,1089.32,1274.56,4190,0.479265
eventfd,unknown,64,13,0.00350749,146.277,62.9559,178.86,203.847,218.507,276.934,1089.07,1264.58,4182,0.478292
eventfd,unknown,64,14,0.00350787,145.33,69.9047,177.467,202.377,215.523,238.027,1089.24,1256.66,4181,0.478324
eventfd,unknown,64,15,0.00339586,134.132,55.643,137.121,200.504,212.434,247.523,1095.03,1373.44,4131,0.538564
eventfd,unknown,256,1,0.0140166,144.952,58.1408,175.709,202.748,215.863,251.636,1091.42,1261.13,1025,0.492524
eventfd,unknown,256,2,0.0140154,146.909,57.6732,177.889,204.398,220.321,240.883,1090.47,1258.86,1028,0.508276
eventfd,unknown,256,3,0.0140173,143.717,58.6408,173.693,203.895,220.078,237.735,1090.37,1259.04,1026,0.498519
eventfd,unknown,256,4,0.0140114,144.352,64.483,177.278,202.328,216.618,242.798,1091.54,1267.76,1024,0.493152
eventfd,unknown,256,5,0.0140335,140.278,60.6622,161.135,202.633,219.052,242.147,1090.35,1245.99,1025,0.495986
eventfd,unknown,256,6,0.0140171,146.028,58.1038,176.783,203.086,223.704,260.675,1091.81,1256.45,1024,0.498868
eventfd,unknown,256,7,0.0140197,145.883,56.8853,176.268,202.533,214,236.122,1090.9,1254.32,1024,0.495596
eventfd,unknown,256,8,0.0140216,147.176,86.1923,174.635,203.93,225.248,263.34,1090.51,1259.26,1023,0.502498
eventfd,unknown,256,9,0.0140293,145.087,64.0839,177.042,201.915,213.171,366.773,1091.85,1265.07,1024,0.487963
eventfd,unknown,256,10,0.0140172,144.429,71.468,176.505,204.183,220.412,987.48,1090.49,1269.19,1024,0.492247
eventfd,unknown,256,11,0.0140337,146.549,58.2865,177.885,205.632,221.55,242.056,1090.11,1255.94,1024,0.498201
eventfd,unknown,256,12,0.0140257,146.493,59.4672,176.738,203.67,219.475,278.344,1091.5,1257.26,1024,0.496179
eventfd,unknown,256,13,0.0140286,143.94,58.5314,175.074,202.979,213.205,228.807,1090.38,1265.75,1025,0.493756
eventfd,unknown,256,14,0.0140156,146.756,57.5376,177.817,204.82,216.879,238.66,1090.86,1249.88,1024,0.4987
eventfd,unknown,256,15,0.0140226,143.876,58.7958,175.276,203.618,216.268,232.66,1090.62,1257.34,1024,0.489455
