wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
eventfd,unknown,64,1,0.0149567,4.96853,34.3915,4.193,5.512,5.915,57.751,253.15,255.073,4103,0.180517
eventfd,unknown,64,2,0.015022,4.3578,3.08691,4.186,5.494,5.855,58.107,253.16,255.884,4121,0.18067
eventfd,unknown,64,3,0.0149669,4.74528,10.4827,4.184,5.508,5.926,218.485,253.163,255.208,4112,0.181122
eventfd,unknown,64,4,0.0149544,4.74853,10.1407,4.193,5.525,5.957,187.461,253.159,255.242,4106,0.181632
eventfd,unknown,64,5,0.0148924,5.51037,36.2008,4.182,5.524,6.381,250.38,253.168,255.555,4101,0.181103
eventfd,unknown,64,6,0.0150147,4.4159,4.49926,4.176,5.482,5.854,67.345,253.167,254.77,4103,0.180276
eventfd,unknown,64,7,0.0150095,4.34295,2.94732,4.167,5.466,5.883,53.336,253.153,254.492,4112,0.180498
eventfd,unknown,64,8,0.0150047,4.6279,8.9214,4.178,5.49,5.903,96.05,253.151,254.801,4121,0.180832
eventfd,unknown,64,9,0.0150403,4.71638,11.2991,4.181,5.498,5.916,206.703,253.136,254.748,4103,0.180277
eventfd,unknown,64,10,0.0149809,5.47766,45.9488,4.189,5.508,6.011,245.8,253.148,254.634,4095,0.180661
eventfd,unknown,64,11,0.0149735,5.29029,35.0485,4.16,5.468,5.868,78.611,253.144,254.651,4111,0.180307
eventfd,unknown,64,12,0.0150277,4.37349,3.03208,4.169,5.495,5.926,53.341,253.145,254.788,4104,0.180872
eventfd,unknown,64,13,0.0149568,4.434,4.71036,4.166,5.477,5.867,79.481,253.174,257.343,4106,0.180406
eventfd,unknown,64,14,0.0149866,4.53561,8.35312,4.18,5.485,5.868,70.071,253.161,254.967,4102,0.180666
eventfd,unknown,64,15,0.0149966,4.63474,11.5055,4.189,5.506,5.9,69.696,253.146,254.917,4116,0.180787
eventfd,unknown,256,1,0.0585599,5.47452,8.45522,4.831,6.101,25.034,86.215,252.156,255.476,1028,0.205222
eventfd,unknown,256,2,0.0583947,6.53167,43.5761,4.854,6.127,10.138,81.978,252.15,254.339,1024,0.205162
eventfd,unknown,256,3,0.0585376,5.32013,5.83748,4.841,6.107,9.409,84.949,252.154,254.165,1024,0.204895
eventfd,unknown,256,4,0.0586325,5.45225,5.89001,4.87,6.161,51.507,64.941,252.149,254.873,1024,0.205966
eventfd,unknown,256,5,0.0585924,5.34511,5.07843,4.88,6.161,31.866,61.635,252.154,254.917,1024,0.204874
eventfd,unknown,256,6,0.0585921,5.30977,5.41007,4.841,6.119,9.51,67.385,252.184,254.609,1024,0.205066
eventfd,unknown,256,7,0.058537,5.67586,11.7292,4.868,6.139,50.399,90.353,252.174,255.89,1023,0.205849
eventfd,unknown,256,8,0.0586055,5.31259,5.08507,4.872,6.149,10.144,63.277,252.156,255.871,1024,0.205145
eventfd,unknown,256,9,0.0586092,5.41789,7.60792,4.856,6.153,9.789,75.147,252.182,257.57,1024,0.20568
eventfd,unknown,256,10,0.0585267,5.48147,7.3091,4.887,6.146,13.125,84.314,252.167,254.736,1024,0.205454
eventfd,unknown,256,11,0.058566,5.65529,7.88409,4.878,6.177,52.229,99.182,252.163,254.699,1024,0.205965
eventfd,unknown,256,12,0.0586021,5.54622,7.87608,4.863,6.137,51.693,66.952,252.143,254.259,1024,0.205348
eventfd,unknown,256,13,0.0580811,8.26168,85.8901,4.909,6.411,49.834,201.409,252.17,255.28,1023,0.208312
eventfd,unknown,256,14,0.058646,5.3875,5.56179,4.874,6.151,49.002,60.113,252.145,254.12,1024,0.204467
eventfd,unknown,256,15,0.0585851,5.45135,5.84631,4.872,6.14,50.009,70.557,252.148,254.746,1024,0.205629
eventfd,unknown,1024,1,0.232695,8.15797,17.1716,6.308,7.484,54.54,253.557,249.772,256.44,255,0.266705
eventfd,unknown,1024,2,0.232843,7.48806,9.85802,6.291,7.21,69.619,87.699,249.735,251.217,256,0.267372
eventfd,unknown,1024,3,0.233262,7.00626,7.47317,6.339,7.304,55.543,77.319,249.726,252.512,256,0.26704
eventfd,unknown,1024,4,0.232945,7.36003,8.75073,6.263,7.353,56.634,80.449,249.769,288.426,256,0.268963
eventfd,unknown,1024,5,0.232743,7.45983,9.23103,6.281,7.309,62.904,78.595,249.762,252.408,256,0.268446
eventfd,unknown,1024,6,0.232193,7.10091,8.08469,6.227,7.211,53.294,83.423,249.805,258.295,256,0.267049
eventfd,unknown,1024,7,0.232639,7.61641,9.23387,6.265,7.312,55.304,75.344,249.732,254.083,256,0.26708
eventfd,unknown,1024,8,0.232865,7.6412,9.19762,6.282,7.394,56.481,72.271,249.792,256.729,256,0.269243
eventfd,unknown,1024,9,0.23238,7.86681,17.1495,6.282,7.218,55.985,256.792,249.798,264.434,255,0.264393
eventfd,unknown,1024,10,0.23323,7.48837,8.65851,6.296,7.263,54.443,72.361,249.791,251.42,256,0.268609
eventfd,unknown,1024,11,0.232291,5.98626,1.85073,6.264,7.123,8.194,29.826,249.795,252.717,256,0.26227
eventfd,unknown,1024,12,0.232958,7.67053,10.0445,6.249,7.353,68.369,83.221,249.8,293.65,256,0.270807
eventfd,unknown,1024,13,0.232953,7.76688,10.0309,6.279,7.467,57.353,81.251,249.699,252.124,256,0.269994
eventfd,unknown,1024,14,0.23281,7.62541,9.88676,6.293,7.394,58.364,86.791,249.755,297.35,256,0.26993
eventfd,unknown,1024,15,0.232699,7.56668,8.71386,6.294,7.343,54.01,56.658,249.745,253.1,256,0.266564
eventfd,unknown,4096,1,0.896364,4.40495,5.66956,3.818,4.514,28.483,80.934,251.644,253.505,512,0.416001
eventfd,unknown,4096,2,0.896858,4.99163,8.21344,3.835,4.63,57.673,84.754,251.635,252.996,512,0.418712
eventfd,unknown,4096,3,0.895188,5.57758,17.7696,3.842,4.7,54.284,372.654,251.601,253.323,511,0.417214
eventfd,unknown,4096,4,0.895431,5.73752,17.4049,3.852,4.727,54.097,360.212,251.601,253.618,511,0.418395
eventfd,unknown,4096,5,0.896404,5.71271,15.5658,3.825,4.663,57.023,301.601,251.628,253.503,511,0.418462
eventfd,unknown,4096,6,0.895504,3.93905,3.11121,3.797,4.434,4.942,73.43,251.628,252.872,512,0.414202
eventfd,unknown,4096,7,0.896991,5.2493,8.38788,3.845,4.793,57.073,67.438,251.615,253.599,512,0.416917
eventfd,unknown,4096,8,0.895908,5.57672,12.5033,3.853,4.776,56.03,217.057,251.611,254.541,512,0.418433
eventfd,unknown,4096,9,0.896704,4.35394,5.26406,3.859,4.607,12.56,81.285,251.562,252.455,512,0.417201
eventfd,unknown,4096,10,0.897102,5.04512,7.9186,3.835,4.601,56.203,66.479,251.646,252.804,512,0.416852
eventfd,unknown,4096,11,0.896427,4.15519,4.51784,3.808,4.448,5.478,78.149,251.694,252.743,512,0.415019
eventfd,unknown,4096,12,0.896551,4.98459,8.01971,3.845,4.64,58.406,87.101,251.617,252.918,512,0.417466
eventfd,unknown,4096,13,0.897108,5.0915,8.54466,3.856,4.637,59.738,80.112,251.646,253.232,512,0.41841
eventfd,unknown,4096,14,0.896445,5.24568,8.84136,3.827,4.691,58.992,80.02,251.647,252.916,512,0.418376
eventfd,unknown,4096,15,0.896469,4.89272,7.8516,3.825,4.599,53.688,82.955,251.626,253.668,512,0.418462
eventfd,unknown,16384,1,3.23175,12.8715,12.1707,11.156,17.925,80.328,92.697,240.189,281.446,128,1.07959
eventfd,unknown,16384,2,3.21924,11.4068,7.35868,10.959,16.102,57.173,73.381,240.163,283.907,128,1.07827
eventfd,unknown,16384,3,3.22014,10.6075,3.93174,10.802,15.979,19.046,22.137,240.191,243.739,128,1.07688
eventfd,unknown,16384,4,3.23257,13.7668,13.5268,11.179,56.924,70.776,77.772,240.218,287.347,128,1.07625
eventfd,unknown,16384,5,3.22374,13.8235,13.1401,11.176,54.943,66.367,73.705,240.127,247.878,128,1.07639
eventfd,unknown,16384,6,3.22585,12.8103,11.3879,10.961,18.287,66.738,76.494,240.26,294.953,128,1.0743
eventfd,unknown,16384,7,3.23144,13.2559,11.8429,11.212,50.404,66.266,76.304,240.152,273.814,128,1.07802
eventfd,unknown,16384,8,3.2166,13.0281,11.8197,11.107,18.682,69.77,84.165,240.115,284.065,128,1.08151
eventfd,unknown,16384,9,3.22183,11.3504,7.06888,10.979,16.185,55.576,66.012,240.175,245.507,128,1.07806
eventfd,unknown,16384,10,3.20529,11.6378,9.25149,10.849,16.318,70.887,95.298,240.244,253.325,129,1.08722
eventfd,unknown,16384,11,3.22502,10.5311,3.83991,10.732,15.747,18.201,22.051,240.314,243.442,128,1.07876
eventfd,unknown,16384,12,3.22483,13.056,11.6526,11.036,50.605,64.97,68.985,240.119,280.762,128,1.07825
eventfd,unknown,16384,13,3.23066,15.1024,24.1452,11.183,52.459,81.042,252.072,240.003,283.967,128,1.07773
eventfd,unknown,16384,14,3.2183,14.0449,14.8694,11.16,57.482,75.433,109.224,240.154,286.542,128,1.07646
eventfd,unknown,16384,15,3.22493,12.5636,10.7371,11.045,17.687,66.661,73.171,240.113,245.664,128,1.07605
eventfd,unknown,65536,1,8.27016,31.3534,17.9084,29.213,58.656,72.068,82.457,223.75,283.934,36,3.92175
eventfd,unknown,65536,2,8.30358,34.8737,19.729,32.07,67.389,77.155,84.131,223.039,318.825,36,3.8997
eventfd,unknown,65536,3,8.25939,36.5667,18.0146,33.305,60.056,64.966,65.741,223.448,283.81,32,3.87341
eventfd,unknown,65536,4,8.22219,32.0439,17.1389,30.626,59.255,69.351,76.225,223.621,279.286,32,3.93391
eventfd,unknown,65536,5,8.25543,39.8605,18.1953,49.703,59.019,63.319,67.515,223.013,278.716,44,3.82028
eventfd,unknown,65536,6,8.26453,37.5379,18.576,34.558,63.391,68.362,70.314,224.243,292.989,32,3.85939
eventfd,unknown,65536,7,8.31606,37.5872,19.517,35.089,62.716,69.862,78.713,214.481,330.267,50,3.85644
eventfd,unknown,65536,8,8.293,42.8733,18.206,50.614,66.728,72.542,77.326,250.236,309.458,32,3.80078
eventfd,unknown,65536,9,8.2377,33.5385,17.781,31.186,58.197,63.212,64.982,224.271,271.811,32,3.91358
eventfd,unknown,65536,10,8.265,40.8379,19.2351,50.48,63.205,71.3,82.348,224.261,332.707,39,3.80664
eventfd,unknown,65536,11,8.27626,32.2732,17.8213,29.759,58.27,74.825,85.833,223.673,281.081,32,3.92147
eventfd,unknown,65536,12,8.2732,34.7541,17.5624,31.967,58.415,62.865,66.886,224.088,283.648,32,3.88343
eventfd,unknown,65536,13,8.32116,39.1011,18.595,44.738,62.888,68.493,74.738,224.292,324.102,33,3.82433
eventfd,unknown,65536,14,8.18749,37.9128,19.3555,33.728,65.448,71.817,75.942,232.002,285.195,32,3.87005
eventfd,unknown,65536,15,8.26758,40.0622,18.7768,50.616,60.265,63.671,66.627,248.813,276.888,36,3.80129
eventfd,unknown,262144,1,12.5555,27.8087,17.7936,27.89,54.779,91.306,140.753,5.733,334.769,111,15.2897
eventfd,unknown,262144,2,12.0758,12.5224,17.4687,4.499,49.124,77.988,124.05,5.287,288.265,353,15.838
eventfd,unknown,262144,3,11.967,11.1099,13.8056,4.389,40.297,54.494,74.672,5.471,284.701,438,15.9663
eventfd,unknown,262144,4,12.5116,25.2044,15.7132,26.517,51.826,73.212,82.841,6.351,320.95,103,15.4272
eventfd,unknown,262144,5,12.618,26.0816,15.5265,27.566,51.765,70.121,96.949,5.541,322.004,137,15.2484
eventfd,unknown,262144,6,12.5532,25.3798,21.5198,23.577,55.349,134.481,173.618,6.204,405.502,88,15.3581
eventfd,unknown,262144,7,11.9696,11.0233,14.707,4.266,43.508,63.998,76.442,5.584,290.246,373,16.0192
eventfd,unknown,262144,8,12.5606,24.9219,15.7993,27.247,52.429,71.106,84.581,7.079,328.654,90,15.359
eventfd,unknown,262144,9,12.6017,27.2276,14.6338,28.248,51.602,71.063,79.898,7.456,329.345,90,15.3082
eventfd,unknown,262144,10,12.5743,27.0809,16.2094,28.53,53.898,76.846,83.987,6.121,342.466,100,15.3427
eventfd,unknown,262144,11,11.986,16.8647,18.2191,7.092,50.637,96.188,108.748,5.816,302.928,293,15.9
eventfd,unknown,262144,12,12.4455,22.4837,17.2852,24.935,51.633,74.65,81.856,5.672,329.197,185,15.4443
eventfd,unknown,262144,13,12.5751,26.6903,15.9878,27.599,53.466,77.565,101.043,6.045,333.689,116,15.3643
eventfd,unknown,262144,14,12.3621,30.1336,52.6131,26.562,54.098,383.824,475.044,5.559,307.917,186,15.6345
eventfd,unknown,262144,15,11.9584,17.989,18.1362,10.411,52.243,75.518,86.117,6.007,326.111,291,15.8944
eventfd,unknown,1048576,1,8.49618,4.39439,0.939135,4.271,4.797,6.711,18.144,39.029,281.56,512,75.075
eventfd,unknown,1048576,2,8.32307,5.03249,6.99048,4.29,5.118,17.35,119.038,40.005,287.102,505,77.1848
eventfd,unknown,1048576,3,8.47578,4.4539,1.20745,4.261,4.847,10.146,17.985,39.542,294.172,511,74.9545
eventfd,unknown,1048576,4,8.48699,4.42422,1.15231,4.281,4.763,6.578,17.706,39.545,293.99,512,74.8739
eventfd,unknown,1048576,5,8.38503,5.1541,8.99733,4.277,4.939,17.94,149.908,40.427,280.837,507,76.255
eventfd,unknown,1048576,6,8.50668,4.45649,1.30972,4.274,4.737,8.928,17.432,39.865,289.302,511,74.5248
eventfd,unknown,1048576,7,8.42556,4.96492,5.86741,4.293,4.917,19.644,96.342,40.469,285.949,506,75.0283
eventfd,unknown,1048576,8,8.45231,209.927,551.635,4.347,1723.82,2176.11,2253.03,38.87,300.669,434,76.9702
eventfd,unknown,1048576,9,8.49309,4.37614,0.757443,4.284,4.748,7.047,17.768,39.104,276.266,512,74.9184
eventfd,unknown,1048576,10,8.49761,4.44615,1.17849,4.282,4.844,8.922,17.834,39.082,288.759,512,75.232
eventfd,unknown,1048576,11,8.35818,11.6266,48.3026,4.291,5.048,301.302,488.268,39.454,287.814,498,77.5702
eventfd,unknown,1048576,12,8.48986,4.46218,1.5012,4.259,4.842,8.682,25.012,39.411,287.158,510,75.1309
eventfd,unknown,1048576,13,8.4625,4.40038,0.973329,4.274,4.831,5.936,17.791,39.135,280.344,512,75.2015
eventfd,unknown,1048576,14,8.37863,6.73557,16.8939,4.276,4.972,108.242,207.554,40.011,299.512,498,77.1707
eventfd,unknown,1048576,15,8.51757,4.45763,1.62262,4.287,4.722,9.038,32.643,40.079,289.075,511,74.5095
