wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
eventfd,unknown,64,1,0.261748,0.352718,0.523265,0.315,0.656,0.777,7.71,0.281,0.765,38580,0.227699
eventfd,unknown,64,2,0.258559,0.352648,0.477438,0.314,0.664,0.893,8.881,0.28,0.817,40424,0.230565
eventfd,unknown,64,3,0.266641,0.369121,0.349623,0.342,0.689,0.757,4.038,0.278,0.799,39310,0.223553
eventfd,unknown,64,4,0.264726,0.420559,3.05587,0.332,0.683,0.899,7.801,0.278,0.811,38462,0.225159
eventfd,unknown,64,5,0.258305,0.390904,3.02074,0.315,0.659,0.75,6.792,0.281,0.768,39666,0.230775
eventfd,unknown,64,6,0.258699,0.338479,0.318806,0.314,0.653,0.742,5.446,0.28,0.763,40189,0.230362
eventfd,unknown,64,7,0.25968,0.360995,0.567121,0.315,0.662,0.791,8.827,0.281,0.764,39527,0.229509
eventfd,unknown,64,8,0.265778,0.375567,0.434646,0.34,0.682,0.747,7.003,0.277,0.798,39562,0.224283
eventfd,unknown,64,9,0.258354,0.431646,2.20417,0.316,0.673,1.972,13.401,0.281,0.827,39551,0.230077
eventfd,unknown,64,10,0.256494,0.335817,0.30641,0.314,0.654,0.738,4.656,0.28,0.762,41578,0.232408
eventfd,unknown,64,11,0.262788,0.355118,0.492221,0.318,0.671,0.838,5.342,0.28,0.799,38166,0.226842
eventfd,unknown,64,12,0.268217,0.365122,0.22929,0.341,0.687,0.788,3.311,0.278,0.802,38119,0.222237
eventfd,unknown,64,13,0.26639,0.358364,0.197535,0.339,0.682,0.744,2.595,0.277,0.801,39527,0.223771
eventfd,unknown,64,14,0.268718,0.388571,0.538016,0.343,0.699,0.854,7.771,0.277,0.802,38391,0.221781
eventfd,unknown,64,15,0.257604,0.346099,0.493561,0.314,0.655,0.752,7.152,0.282,0.763,40530,0.231351
eventfd,unknown,256,1,1.08177,0.69345,0.971102,0.506,1.512,4.63,10.691,0.261,0.851,4785,0.220253
eventfd,unknown,256,2,1.10018,0.862634,1.3076,0.545,2.679,5.737,18.644,0.286,0.812,3960,0.216757
eventfd,unknown,256,3,1.08663,0.771248,1.45875,0.522,1.903,8.635,21.241,0.253,0.849,4776,0.219478
eventfd,unknown,256,4,1.07152,0.693276,0.949648,0.497,1.808,4.262,11.743,0.248,0.848,5271,0.222566
eventfd,unknown,256,5,1.11367,0.807789,1.02585,0.545,2.3,5.191,13.073,0.28,0.858,3788,0.214107
eventfd,unknown,256,6,1.06597,0.580917,0.440357,0.501,1.242,2.405,5.124,0.256,0.884,5124,0.223692
eventfd,unknown,256,7,1.05104,2.08754,4.22823,0.557,14.987,16.959,20.025,0.261,1.339,4188,0.22687
eventfd,unknown,256,8,1.0951,2.16145,4.0921,0.595,14.431,15.798,22.021,0.26,0.945,3543,0.217738
eventfd,unknown,256,9,1.12106,0.782196,0.765408,0.561,2.424,3.839,6.375,0.261,0.925,3667,0.212692
eventfd,unknown,256,10,1.07461,1.85807,3.83828,0.547,14.167,15.779,17.257,0.273,0.856,3925,0.221912
eventfd,unknown,256,11,1.08668,0.620889,0.641822,0.508,1.295,3.477,9.386,0.279,0.861,4548,0.219426
eventfd,unknown,256,12,1.06226,0.636321,0.698402,0.484,1.667,3.709,9.291,0.246,0.854,5765,0.224493
eventfd,unknown,256,13,1.08395,0.709343,1.23259,0.501,1.977,3.996,22.047,0.248,0.849,5045,0.220028
eventfd,unknown,256,14,1.06311,0.624152,0.615644,0.476,1.572,3.804,5.184,0.246,1.088,5593,0.224333
eventfd,unknown,256,15,1.10845,0.784675,1.00944,0.544,2.129,4.865,14.29,0.26,0.909,4001,0.215146
eventfd,unknown,1024,1,4.09572,13.4096,1.88624,13.191,15.428,22.151,33.165,0.236,0.236,1,0.233079
eventfd,unknown,1024,2,4.53312,12.3366,0.920429,12.165,13.322,16.373,17.889,0.912,0.921,3,0.210522
eventfd,unknown,1024,3,4.26736,12.7276,1.34747,12.569,14.208,16.499,27.558,0.962,0.962,2,0.223672
eventfd,unknown,1024,4,3.59326,14.7082,3.64982,13.618,19.851,22.505,31.01,0.967,0.967,2,0.265492
eventfd,unknown,1024,5,4.59681,12.0081,0.833519,11.832,13.416,14.914,16.388,0.745,0.745,2,0.207541
eventfd,unknown,1024,6,3.63665,14.7796,2.8836,13.779,19.318,23.242,34.79,0.952,0.952,1,0.26234
eventfd,unknown,1024,7,3.8908,13.3106,2.75771,12.972,19.376,20.966,27.25,0.902,1.892,13,0.245412
eventfd,unknown,1024,8,4.10212,13.5087,2.92308,12.153,19.346,20.834,32.207,0.939,0.939,2,0.232621
eventfd,unknown,1024,9,4.18513,12.1142,2.26251,12.404,13.73,18.557,25.548,0.663,0.663,1,0.227967
eventfd,unknown,1024,10,4.68639,11.8693,0.828062,11.838,12.72,14.293,16.203,0.834,0.834,2,0.203611
eventfd,unknown,1024,11,3.64682,12.9643,4.98331,12.814,19.454,24.925,35.29,0.898,10.625,3,0.261721
eventfd,unknown,1024,12,4.67169,12.2314,1.26682,12.077,13.522,16.384,29.752,0.983,0.983,2,0.204242
eventfd,unknown,1024,13,4.04283,12.8399,3.06429,13.044,15.033,27.101,34.336,0.745,1.121,7,0.236111
eventfd,unknown,1024,14,4.06979,13.8082,3.12177,12.331,19.544,24.052,28.369,2.037,2.037,2,0.234464
eventfd,unknown,1024,15,3.73635,14.1156,3.57361,12.525,19.883,28.483,35.369,0.738,0.738,1,0.255354
eventfd,unknown,4096,1,9.48615,9.12588,6.44134,5.923,21.188,22.14,23.647,1.451,1.804,4,0.401917
eventfd,unknown,4096,2,10.1134,7.77478,5.32412,5.356,18.938,21.76,32.433,0.764,0.764,1,0.377283
eventfd,unknown,4096,3,9.55317,5.33171,2.24705,4.557,10.526,12.637,16.506,0.797,2.056,30,0.399443
eventfd,unknown,4096,4,9.69,6.01001,2.06515,5.853,9.511,12.171,13.638,0.776,3.564,88,0.393791
eventfd,unknown,4096,5,8.50163,6.3788,3.93825,4.25,16.029,17.274,20.174,0.781,3.536,118,0.44876
eventfd,unknown,4096,6,9.68146,4.67213,1.30954,4.221,7.289,8.586,9.658,0.828,1.897,30,0.394221
eventfd,unknown,4096,7,9.48364,7.58792,3.07791,7.836,11.634,13.484,17.132,1.109,6.447,8,0.402367
eventfd,unknown,4096,8,9.93054,6.79561,2.69953,6.349,12.487,14.423,15.198,0.717,1.976,4,0.38423
eventfd,unknown,4096,9,9.2668,6.01364,2.57605,4.912,11.066,12.428,15.236,0.748,3.946,3,0.411691
eventfd,unknown,4096,10,9.84422,4.56762,0.927364,4.392,6.009,7.501,9.958,0.807,16.611,10,0.387626
eventfd,unknown,4096,11,9.25132,7.35807,3.07914,7.013,13.69,14.846,16.156,0.737,4.599,4,0.412392
eventfd,unknown,4096,12,9.11795,4.87819,1.92609,4.457,7.029,13.578,18.171,0.664,4.387,14,0.418412
eventfd,unknown,4096,13,9.57835,5.19325,1.69718,4.47,8.278,9.779,11.815,5.065,5.065,2,0.398307
eventfd,unknown,4096,14,9.33459,5.12451,1.62221,4.585,8.039,9.041,12.735,0.827,0.927,4,0.408783
eventfd,unknown,4096,15,10.2023,5.87715,1.5683,5.708,8.867,9.636,11.678,0.734,0.894,8,0.374008
eventfd,unknown,16384,1,15.8878,55.6065,5.15459,56.882,58.346,61.288,62.598,0.657,0.657,1,0.960592
eventfd,unknown,16384,2,13.455,33.1218,19.5911,33.278,57.602,69.38,72.706,0.599,0.736,5,1.13459
eventfd,unknown,16384,3,16.1313,55.5562,4.8946,56.826,58.154,60.449,63.501,0.742,0.742,1,0.946093
eventfd,unknown,16384,4,13.7449,44.6569,23.111,56.293,72.877,87.26,96.258,1.914,1.914,2,1.11069
eventfd,unknown,16384,5,16.1211,54.9716,5.91976,56.627,59.348,60.75,61.604,0.759,0.759,1,0.946792
eventfd,unknown,16384,6,13.4436,33.651,21.432,34.343,58.29,69.894,88.391,0.742,0.742,1,1.13549
eventfd,unknown,16384,7,14.354,50.0044,16.4923,56.607,65.552,76.192,80.401,0.737,0.737,1,1.06335
eventfd,unknown,16384,8,12.8671,21.4124,19.1602,13.627,56.71,71.122,76.897,15.331,15.331,2,1.18668
eventfd,unknown,16384,9,14.6899,51.4858,12.883,56.404,65.221,74.491,76.067,0.168,0.168,1,1.03906
eventfd,unknown,16384,10,13.319,36.0394,23.1447,39.835,66.349,81.423,107.423,0.806,0.806,1,1.14585
eventfd,unknown,16384,11,14.2924,51.2051,15.6884,56.31,72.369,84.954,98.176,0.744,0.744,1,1.06781
eventfd,unknown,16384,12,14.6575,42.1152,21.8215,55.434,58.004,60.56,75.239,0.858,0.993,6,1.04135
eventfd,unknown,16384,13,15.336,48.287,18.0081,56.62,58.092,60.188,62.582,1.333,14.88,3,0.995454
eventfd,unknown,16384,14,15.0992,43.7892,21.15,55.82,58.078,60.46,62.301,1.661,1.661,2,1.01078
eventfd,unknown,16384,15,15.8323,54.9299,8.0695,56.849,59.246,70.142,78.451,0.335,0.335,1,0.962631
