wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
futex,unknown,64,1,0.00336311,128.687,55.873,132.198,199.753,210.868,241.496,1097.39,1377.81,4200,0.546249
futex,unknown,64,2,0.00350182,143.549,60.0901,174.517,202.532,213.869,273.088,1089.46,1265.73,4255,0.468976
futex,unknown,64,3,0.00349795,140.169,65.8489,172.611,202.542,216.459,325.53,1088.19,1271.41,4382,0.46389
futex,unknown,64,4,0.00341488,133.98,58.0908,136.24,201.267,215.825,253.68,1094.32,1358.46,4205,0.521265
futex,unknown,64,5,0.00345437,136.545,60.1647,148.284,201.366,211.93,234.888,1091.57,1333.89,4309,0.490945
futex,unknown,64,6,0.00350616,140.81,61.3423,174.797,202.288,214.317,237.737,1088.5,1261.28,4305,0.472334
futex,unknown,64,7,0.00350624,146.141,57.4366,177.182,203.201,215.643,246.77,1090.37,1260.42,4215,0.46757
futex,unknown,64,8,0.00350786,143.48,58.5428,175.325,201.915,213.068,227.038,1090.06,1258.21,4225,0.46766
futex,unknown,64,9,0.00350684,144.138,59.3999,175.285,201.619,215.772,290.101,1089.58,1261.38,4222,0.464453
futex,unknown,64,10,0.00350542,143.755,58.5988,174.218,202.178,216.053,251.401,1089.81,1258.82,4264,0.465871
futex,unknown,64,11,0.00350863,143.727,60.3365,175.977,201.148,212.438,249.275,1090.06,1260.83,4189,0.464774
futex,unknown,64,12,0.00350797,142.69,61.0495,174.874,201.402,213.501,243.959,1089.58,1258.04,4227,0.467862
futex,unknown,64,13,0.00348174,139.539,63.3608,159.315,200.242,212.09,256.676,1089.61,1316.93,4294,0.484683
futex,unknown,64,14,0.00350704,144.379,60.5024,176.498,200.898,214.43,248.155,1090.26,1261.53,4269,0.460832
futex,unknown,64,15,0.00350927,140.985,59.494,173.795,200.1,212.813,241.378,1089.38,1263.51,4232,0.460777
futex,unknown,256,1,0.0139411,136.446,58.9001,148.411,200.623,215.124,253.754,1090.85,1308.38,1024,0.481716
futex,unknown,256,2,0.0140562,142.329,57.7189,171.493,201.954,217.217,244.166,1090.25,1253.58,1024,0.489146
futex,unknown,256,3,0.013995,143.492,58.2627,174.307,200.92,212.91,240.144,1092.17,1253.94,1024,0.486041
futex,unknown,256,4,0.0140178,144.208,57.0275,174.211,201.041,213.68,250.026,1091.91,1255.75,1025,0.481305
futex,unknown,256,5,0.0140076,140.127,59.3698,170.971,200.898,212.87,237.969,1090.42,1248.09,1024,0.496993
futex,unknown,256,6,0.0140111,133.282,64.6828,164.733,200.349,212.943,232.742,1088.46,1259.44,1033,0.508063
futex,unknown,256,7,0.014015,140.714,59.4745,173.148,200.356,213.316,238.75,1092.11,1265.38,1024,0.477835
futex,unknown,256,8,0.0140094,143.887,57.4661,175.037,199.49,210.639,254.478,1091.86,1258.55,1024,0.482905
futex,unknown,256,9,0.014013,145.128,56.0824,174.882,200.672,210.688,229,1091.61,1261.29,1024,0.49216
futex,unknown,256,10,0.0140182,141.749,64.252,173.126,201.261,217.13,362.823,1091.86,1259.96,1024,0.491223
futex,unknown,256,11,0.0140203,143.306,63.0695,173.242,201.682,216.885,547.272,1091.59,1267.44,1025,0.479509
futex,unknown,256,12,0.0140179,144.415,68.9115,175.514,201.839,218.726,808.318,1091.67,1268.65,1024,0.478948
futex,unknown,256,13,0.0140222,144.044,64.2883,177.121,201.75,220.755,409.843,1092.74,1264.83,1024,0.473647
futex,unknown,256,14,0.0140139,144.532,58.072,175.321,201.224,213.525,240.502,1093.21,1254.33,1024,0.478281
futex,unknown,256,15,0.0140161,141.91,71.1351,173.707,200.738,213.489,719.601,1092.07,1269.52,1024,0.477486
futex,unknown,1024,1,0.0559378,144.682,56.079,173.043,200.857,215.117,224.879,1098.57,1245.77,256,0.522206
futex,unknown,1024,2,0.0558172,140.761,58.256,169.614,200.055,210.766,217.414,1098.42,1262.91,256,0.525898
futex,unknown,1024,3,0.0558867,146.474,54.0137,171.944,199.723,226.525,249.892,1099.02,1265.77,256,0.526117
futex,unknown,1024,4,0.0559618,142.573,83.0454,168.543,198.51,210.603,1097.78,1097.14,1295.11,255,0.527678
futex,unknown,1024,5,0.0530023,126.261,50.8573,131.542,195.552,207.942,230.964,1120.22,1381.51,256,0.605559
futex,unknown,1024,6,0.0531264,123.287,50.0215,127.901,193.975,210.283,232.836,1122.17,1390.71,256,0.63384
futex,unknown,1024,7,0.0526149,119.363,53.2355,126.835,196.154,210.95,221.156,1142.51,1385.76,256,0.612656
futex,unknown,1024,8,0.0535304,123.006,56.2317,130.283,197.48,213.206,248.661,1107.13,1387.98,256,0.637418
futex,unknown,1024,9,0.0524786,121.4,50.2918,129.659,196.386,219.029,266.272,1134.11,1372.01,256,0.6338
futex,unknown,1024,10,0.0526316,118.024,53.2969,126.876,195.915,218.105,226.543,1147.29,1440.22,256,0.629051
futex,unknown,1024,11,0.0556993,139.621,57.5916,162.776,200.349,212.907,233.928,1099.62,1266.05,256,0.520393
futex,unknown,1024,12,0.05595,138.79,56.9633,163.425,199.315,208.57,227.611,1094.52,1269.43,256,0.512566
futex,unknown,1024,13,0.055916,140.46,59.0905,171.137,201.479,215.056,254.936,1094.06,1274.27,256,0.508456
futex,unknown,1024,14,0.0558663,141.457,62.8533,169.226,201.014,230.671,540.631,1096.73,1266.77,256,0.504921
futex,unknown,1024,15,0.0558349,140.349,81.4461,167.081,201.225,229.019,1023.25,1099.01,1272.97,256,0.502518
futex,unknown,4096,1,0.209633,112.363,49.8715,118.959,187.452,202.064,235.097,1140.17,1371.95,512,0.659634
futex,unknown,4096,2,0.208532,116.377,50.9785,121.898,187.021,207.453,585.4,1149.89,1409.49,512,0.676404
futex,unknown,4096,3,0.208085,117.793,48.8181,121.641,186.355,204.215,570.242,1144.7,1400.33,512,0.690939
futex,unknown,4096,4,0.208197,109.886,46.7166,115.451,183.532,199.665,221.521,1145.35,1392.07,513,0.655443
futex,unknown,4096,5,0.205165,109.759,51.1498,115.662,173.372,199.897,729.355,1180.09,1398.63,512,0.687982
futex,unknown,4096,6,0.211021,120.012,47.9051,124.5,191.775,209.58,245.98,1138.27,1376.94,512,0.666339
futex,unknown,4096,7,0.212778,126.172,125.934,124.972,196.43,216.747,2716.62,1132.82,1374.42,511,0.622749
futex,unknown,4096,8,0.211116,117.578,48.741,119.85,191.601,206.975,268.91,1137.57,1376.32,512,0.657563
futex,unknown,4096,9,0.205457,110.378,45.5273,118.075,179.507,202.73,226.027,1176.42,1394.48,512,0.679941
futex,unknown,4096,10,0.205111,107.901,48.9301,116.494,180.774,201.219,288.998,1166.83,1413.37,515,0.685182
futex,unknown,4096,11,0.204955,104.159,47.6182,114.564,172.665,201.152,223.465,1174.5,1388.29,512,0.689987
