wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
futex,unknown,64,1,0.00546075,47.4392,63.0174,23.526,139.044,147.417,1057.36,669.725,807.947,4332,0.676893
futex,unknown,64,2,0.00547026,52.5248,55.9124,23.516,140.394,148.657,174.721,663.258,808.749,4758,0.666373
futex,unknown,64,3,0.00544514,35.3646,52.7607,21.307,135.563,146.075,758.593,662.212,802.814,4872,0.695408
futex,unknown,64,4,0.00542937,20.895,19.0952,19.84,31.417,132.763,150.293,662.162,702.334,5047,0.715301
futex,unknown,64,5,0.00542765,25.7146,33.5479,20.417,104.477,140.166,152.7,661.701,767.594,5225,0.718663
futex,unknown,64,6,0.00542905,26.001,50.4434,20.417,100.972,140.319,167.016,662.001,759.282,5099,0.714924
futex,unknown,64,7,0.00544345,22.4151,38.6458,19.476,37.034,137.943,306.569,653.571,711.02,6887,0.679955
futex,unknown,64,8,0.00544161,22.3239,58.8269,19.13,33.713,134.878,974.968,655.853,717.675,6680,0.668597
futex,unknown,64,9,0.00545309,25.7464,77.993,18.71,106.177,140.675,1211.37,637.981,752.447,7735,0.630643
futex,unknown,64,10,0.00549053,26.2341,70.5143,17.74,105.207,200.718,939.301,6.608,779.67,8614,0.574769
futex,unknown,64,11,0.00545834,19.5791,52.693,17.578,30.333,127.11,974.031,1.224,707.421,9790,0.627987
futex,unknown,64,12,0.00546555,17.7613,27.1882,17.685,30.13,84.345,491.782,572.12,703.624,8135,0.623354
futex,unknown,64,13,0.00546611,19.8143,30.2363,18.057,35.01,136.165,222.685,605.23,715.028,8041,0.625914
futex,unknown,64,14,0.00548072,21.3163,56.0632,17.149,34.976,186.187,849.869,0.991,720.371,10587,0.590576
futex,unknown,64,15,0.00547026,17.3808,19.5973,17.665,29.323,88.346,221.465,1.038,699.829,10151,0.624518
futex,unknown,256,1,0.0219536,19.1002,46.3845,16.466,31.411,105.39,793.474,655.855,722.496,1542,0.601309
futex,unknown,256,2,0.0217744,18.824,16.2155,18.984,33.442,100.166,161.695,661.352,721.434,1413,0.671746
futex,unknown,256,3,0.0217072,25.4296,27.1673,21.13,109.15,139.074,155.912,666.123,747.542,1131,0.718216
futex,unknown,256,4,0.0220707,85.205,53.151,107.101,142.631,149.804,163.271,677.005,809.663,1107,0.615545
futex,unknown,256,5,0.0218148,24.915,74.9938,19.208,37.057,147.534,1128.07,661.467,769.141,1299,0.643028
futex,unknown,256,6,0.0219261,35.6585,73.2412,21.07,133.589,146.846,1031.89,662.701,803.037,1206,0.625804
futex,unknown,256,7,0.0220124,30.8242,45.8561,19.333,132.508,149.337,602.725,657.929,796.032,1438,0.612009
futex,unknown,256,8,0.0218398,38.9421,42.9764,22.994,135.861,146.065,189.357,663.421,804.6,1190,0.67613
futex,unknown,256,9,0.0219853,50.107,50.8276,23.985,138.845,148.367,185.157,661.516,804.573,1305,0.632255
futex,unknown,256,10,0.0218927,19.2412,24.8821,18.378,32.568,104.554,314.411,661.254,728.647,1358,0.62853
futex,unknown,256,11,0.0219155,32.4315,62.2138,20.312,131.009,146.067,858.381,661.527,803.247,1312,0.640646
futex,unknown,256,12,0.0218654,22.8468,71.2701,17.364,32.662,231.8,869.098,660.207,762.041,1393,0.612127
futex,unknown,256,13,0.0220832,23.3007,61.912,17.105,37.701,359.188,811.139,651.202,773.948,1598,0.560379
futex,unknown,256,14,0.0219053,27.8313,40.7652,18.959,127.499,146.913,382.134,661.467,802.966,1350,0.628863
futex,unknown,256,15,0.0217088,42.0622,68.8123,22.943,137.031,147.456,1213.5,675.969,807.642,1071,0.708673
futex,unknown,1024,1,0.0879403,102.81,43.7721,121.158,143.528,151.599,164.279,686.614,809.495,256,0.66164
futex,unknown,1024,2,0.0867719,48.4967,46.8998,27.51,137.135,153.638,171.225,677.898,806.374,256,0.762584
futex,unknown,1024,3,0.0877721,95.7121,45.755,113.795,141.003,146.894,155.413,681.586,812.983,257,0.682532
futex,unknown,1024,4,0.087927,100.918,45.9853,120.22,143.022,153.531,246.051,684.773,822.168,256,0.674946
futex,unknown,1024,5,0.0872181,65.3373,51.6421,35.427,141.17,155.769,174.865,677.057,813.753,256,0.733178
