wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
futex,unknown,64,1,0.129248,0.477394,0.652975,0.294,0.767,3.613,8.133,0.477,0.677,208781,0.459813
futex,unknown,64,2,0.12705,0.506459,0.773896,0.314,1.131,3.8,10.329,0.475,0.674,218446,0.468066
futex,unknown,64,3,0.128187,0.523707,1.17759,0.309,1.385,3.886,10.094,0.475,0.672,214958,0.463126
futex,unknown,64,4,0.126891,0.531972,1.41989,0.319,1.363,4.011,9.913,0.475,0.67,218576,0.468123
futex,unknown,64,5,0.125501,0.553012,1.67558,0.439,1.236,3.92,10.328,0.48,0.67,205796,0.47302
futex,unknown,64,6,0.123398,0.508025,1.07838,0.457,0.821,3.268,7.421,0.482,0.667,200910,0.481469
futex,unknown,64,7,0.127113,0.558864,1.78762,0.316,1.374,4.262,11.472,0.475,0.669,217366,0.466654
futex,unknown,64,8,0.124293,0.524141,1.2088,0.441,0.948,3.626,10.794,0.48,0.671,209242,0.477863
futex,unknown,64,9,0.125758,0.494445,1.05432,0.312,0.762,3.546,9.961,0.476,0.666,222100,0.472464
futex,unknown,64,10,0.12535,0.483229,0.78753,0.319,0.741,3.387,9.697,0.478,0.669,217705,0.473931
futex,unknown,64,11,0.128466,0.48388,0.869769,0.291,0.768,3.504,8.482,0.475,0.673,214507,0.462671
futex,unknown,64,12,0.122177,0.527663,0.885406,0.46,0.921,3.562,10.801,0.481,0.672,202848,0.485783
futex,unknown,64,13,0.122292,0.505866,0.804914,0.459,0.764,3.318,9.54,0.481,0.673,202818,0.486134
futex,unknown,64,14,0.126411,0.523738,1.21283,0.318,1.319,3.803,9.962,0.475,0.668,219976,0.469643
futex,unknown,64,15,0.125829,0.508528,1.2328,0.317,0.766,3.857,8.749,0.477,0.668,219970,0.47218
futex,unknown,256,1,0.888612,0.855271,2.26038,0.328,3.353,5.404,19.434,0.244,0.712,12903,0.265333
futex,unknown,256,2,0.843618,0.656179,1.57373,0.29,2.945,5.351,19.09,0.244,0.749,15625,0.281199
futex,unknown,256,3,0.859356,0.834053,2.39312,0.323,3.262,7.127,18.564,0.25,0.756,14403,0.274745
futex,unknown,256,4,0.860666,0.669684,2.5986,0.307,2.335,6.595,18.94,0.244,0.724,14397,0.273829
futex,unknown,256,5,0.838158,0.626118,1.37773,0.278,3.179,6.62,18.062,0.244,0.72,15968,0.283172
futex,unknown,256,6,0.864852,0.730641,2.96161,0.309,2.765,6.735,18.049,0.244,0.755,14268,0.273208
futex,unknown,256,7,0.869319,0.759933,2.37144,0.315,2.935,6.951,18.252,0.243,0.72,13798,0.270612
futex,unknown,256,8,0.832903,0.816587,2.57431,0.286,3.591,8.445,19.674,0.246,0.735,16036,0.28379
futex,unknown,256,9,0.828895,0.562549,2.29948,0.274,1.249,5.189,20.136,0.244,0.717,16212,0.28456
futex,unknown,256,10,0.83606,0.731426,2.64036,0.31,2.709,6.272,18.455,0.253,0.755,15850,0.283027
futex,unknown,256,11,0.854835,0.827946,2.79482,0.297,4.032,9.365,17.922,0.244,0.738,14819,0.276649
futex,unknown,256,12,0.851733,0.682653,2.81278,0.285,2.455,7.646,19.167,0.243,0.712,15067,0.277654
futex,unknown,256,13,0.885689,0.652822,1.38278,0.329,2.067,5.488,19.147,0.25,0.757,13319,0.267877
futex,unknown,256,14,0.87533,0.885432,2.62184,0.318,3.657,7.617,19.662,0.244,0.709,13577,0.269179
futex,unknown,256,15,0.847672,0.60531,2.12532,0.282,2.021,5.54,18.808,0.243,0.72,15193,0.278581
futex,unknown,1024,1,4.75524,12.1934,0.713619,12.072,13.352,15.436,16.776,13.373,13.373,1,0.2003
futex,unknown,1024,2,4.49421,12.6237,4.83773,12.015,14.296,22.65,87.175,151.989,151.989,1,0.203957
futex,unknown,1024,3,4.53486,12.2967,3.47395,11.889,13.451,17.688,67.816,185.968,185.968,1,0.199903
futex,unknown,1024,4,4.53599,12.3055,3.48344,11.897,13.143,18.004,68.868,171.619,171.619,1,0.200895
futex,unknown,1024,5,4.4951,12.4784,3.08382,12.101,13.646,17.101,61.849,173.475,173.475,1,0.202532
futex,unknown,1024,6,4.51701,12.268,3.30954,11.913,13.166,16.7,65.158,198.419,198.419,1,0.200072
futex,unknown,1024,7,4.47925,12.5502,3.72724,11.966,14.083,27.65,65.624,139.705,139.705,1,0.205301
futex,unknown,1024,8,4.65925,12.271,1.63148,12.041,13.11,15.535,36.882,53.397,53.397,1,0.202187
futex,unknown,1024,9,4.46413,12.7731,4.51989,12.042,15.14,25.23,81.348,116.164,116.164,1,0.207525
futex,unknown,1024,10,4.60607,12.3989,0.825481,12.293,13.477,15.141,15.583,0,0,0,0.207122
futex,unknown,1024,11,4.57461,12.2784,3.32895,11.932,12.829,17.346,66.212,165.016,165.016,1,0.19953
futex,unknown,1024,12,4.55066,12.5802,1.76448,12.298,13.617,16.099,40.716,51.735,51.735,1,0.207132
futex,unknown,1024,13,4.69289,12.2469,1.61722,12.045,12.883,17.114,37.982,53.431,53.431,1,0.200709
futex,unknown,1024,14,4.55652,12.4358,3.42922,12.001,13.426,16.468,67.075,142.243,142.243,1,0.201554
futex,unknown,1024,15,4.55292,12.4114,3.49912,12.025,13.216,16.557,68.596,154.745,154.745,1,0.201081
futex,unknown,4096,1,10.5541,13.071,5.73364,13.198,21.933,22.262,24.917,27.615,33.258,4,0.35953
futex,unknown,4096,2,10.4878,18.4329,4.60799,20.705,22.191,26.448,31.261,236.003,236.003,1,0.35732
futex,unknown,4096,3,10.5899,13.6547,5.93845,14.509,21.841,26.715,64.388,174.771,174.771,1,0.355449
futex,unknown,4096,4,10.6808,13.3218,3.84619,12.381,21.689,27.247,65.567,121.583,121.583,1,0.35397
futex,unknown,4096,5,10.548,13.7474,7.12073,11.851,21.979,24.37,96.034,232.58,232.58,1,0.355054
futex,unknown,4096,6,10.6139,13.8344,5.35686,13.41,21.84,23.29,60.588,194.543,194.543,1,0.353971
futex,unknown,4096,7,10.6082,8.40451,2.52488,8.106,12.425,13.308,16.166,151.407,151.407,1,0.355358
futex,unknown,4096,8,10.6842,10.3376,3.91015,10.045,19.347,21.116,25.167,58.451,58.451,1,0.355554
futex,unknown,4096,9,10.6686,8.5513,3.47313,7.686,16.999,17.837,20.308,59.263,59.263,1,0.35602
futex,unknown,4096,10,10.5942,7.1315,2.32721,6.757,11.409,12.607,15.713,141.797,141.797,1,0.356049
futex,unknown,4096,11,10.6539,9.14895,2.12574,8.972,12.665,13.257,15.742,119.814,119.814,1,0.354696
futex,unknown,4096,12,10.7284,8.26481,2.13058,8.779,11.091,12.751,15.6,19.957,19.957,1,0.355264
futex,unknown,4096,13,10.7495,7.56773,2.55077,7.271,11.976,12.866,15.027,4.684,4.684,1,0.354924
futex,unknown,4096,14,10.6322,8.09399,1.93976,7.687,11.629,12.026,14.883,115.237,115.237,1,0.355575
futex,unknown,4096,15,10.6305,7.81001,1.78955,7.767,11.267,12.081,14.313,101.755,101.755,1,0.35605
futex,unknown,16384,1,15.9239,52.3082,4.26637,53.462,54.999,57.406,57.931,96.961,96.961,1,0.949063
futex,unknown,16384,2,15.7087,52.382,6.28961,53.354,58.416,71.102,86.453,132.007,132.007,1,0.95722
futex,unknown,16384,3,15.9582,53.1694,3.06546,53.429,56.172,66.818,74.835,121.914,121.914,1,0.943309
futex,unknown,16384,4,16.0924,52.6893,3.53456,53.472,55.565,57.151,62.393,54.269,54.269,1,0.943192
futex,unknown,16384,5,15.9576,53.3795,2.49188,53.754,55.743,61.567,62.857,167.864,167.864,1,0.937795
futex,unknown,16384,6,15.6944,52.7389,5.26932,53.596,57.393,71.579,82.713,142.015,142.015,1,0.95686
futex,unknown,16384,7,15.5677,50.1896,6.75337,53.021,56.769,64.31,82.558,136.423,136.423,1,0.965571
futex,unknown,16384,8,15.9356,53.1055,3.11706,53.617,56.368,64.169,72.498,147.89,147.89,1,0.941561
futex,unknown,16384,9,16.1213,51.7369,6.46472,53.429,55.2,56.762,57.839,22.415,22.415,1,0.945061
futex,unknown,16384,10,15.8346,53.2268,2.41766,53.721,56.836,58.401,60.839,99.401,99.401,1,0.953774
futex,unknown,16384,11,15.8297,52.0315,5.75648,53.355,56.607,68.549,81.571,15.357,15.357,1,0.962035
futex,unknown,16384,12,15.7991,53.9501,2.56368,53.883,58.116,63.24,68.589,182.126,182.126,1,0.945624
futex,unknown,16384,13,16.0133,53.4484,1.94226,53.719,55.143,57.66,65.444,127.41,127.41,1,0.939443
futex,unknown,16384,14,15.8498,53.4308,2.70548,53.678,56.48,65.144,70.906,197.394,197.394,1,0.940827
futex,unknown,16384,15,15.729,50.3205,6.42186,53.093,55.693,57.931,82.768,50.357,50.357,1,0.96532
futex,unknown,65536,1,15.9373,46.5671,8.90891,50.663,52.984,57.678,59.944,181.876,181.876,1,3.7484
futex,unknown,65536,2,16.3646,52.6144,11.3289,51.116,57.301,122.459,151.737,199.994,199.994,1,3.63736
futex,unknown,65536,3,16.3713,48.1454,6.38086,50.424,52.727,54.554,55.763,51.063,51.063,1,3.70965
