wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
io_uring,unknown,64,1,0.00346894,117.444,35.4015,128.315,147.221,158.783,184.158,1093.02,1266.27,4097,0.65698
io_uring,unknown,64,2,0.00348735,115.723,60.4257,127.553,146.788,158.302,211.014,1092.7,1205.6,4103,0.639701
io_uring,unknown,64,3,0.00335225,115.738,33.0778,128.353,144.911,160.312,199.532,1103.1,1328.41,4102,0.749231
io_uring,unknown,64,4,0.00335747,113.807,35.4731,128.606,145.231,158.247,189.112,1102.64,1335.82,4099,0.750201
io_uring,unknown,64,5,0.00349189,117.193,44.3236,127.454,147.208,161.667,469.877,1092.03,1228.65,4101,0.640326
io_uring,unknown,64,6,0.0034909,117.717,47.5302,128.354,147.395,159.056,222.656,1091.93,1212.54,4099,0.638076
io_uring,unknown,64,7,0.00348339,115.56,37.0011,127.874,146.388,156.099,184.796,1092.14,1234.32,4103,0.647708
io_uring,unknown,64,8,0.00338197,116.423,47.5741,128.131,146.253,161.119,642.048,1098.7,1334.88,4094,0.718538
io_uring,unknown,64,9,0.00347538,117.066,39.5756,127.938,146.528,157.744,195.428,1092.44,1268.18,4103,0.648778
io_uring,unknown,64,10,0.00339132,116.895,55.4918,127.883,145.698,157.938,209.743,1096.96,1328.85,4096,0.718996
io_uring,unknown,64,11,0.00333677,119.165,53.8338,129.509,146.652,162.965,332.147,1106.28,1334.92,4102,0.773304
io_uring,unknown,64,12,0.00349915,119.278,30.4304,128.987,148.171,161.55,207.734,1092.09,1192.8,4103,0.640174
io_uring,unknown,64,13,0.0034919,103.39,56.8072,120.008,147.314,164.144,514.208,1089.31,1215.52,4173,0.634886
io_uring,unknown,64,14,0.00343075,111.556,61.0579,122.471,149.739,179.897,924.944,1093.46,1318.14,4136,0.704332
io_uring,unknown,64,15,0.00349111,106.381,103.478,118.431,147.702,171.253,1759.77,1087.89,1237.09,4184,0.642877
io_uring,unknown,256,1,0.0139973,105.088,49.169,119.136,147.023,166.144,385.75,1089.93,1205.98,1027,0.659578
io_uring,unknown,256,2,0.0139567,105.782,117.629,116.68,151.129,279.926,1985.73,1089.3,1255.94,1022,0.663359
io_uring,unknown,256,3,0.01401,112.399,50.5569,123.835,149.19,168.43,485.205,1091.55,1207.44,1025,0.668305
io_uring,unknown,256,4,0.0140207,119.045,50.5261,125.989,153.745,179.475,307.973,1091.2,1193.49,1023,0.683735
io_uring,unknown,256,5,0.0135217,114.917,55.6945,121.886,149.67,200.512,774.488,1102.92,1325.15,1027,0.743585
