wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
io_uring,unknown,64,1,0.0135774,13.5609,120.77,5.29,6.025,10.102,2544.08,257.353,1058.21,4068,0.216435
io_uring,unknown,64,2,0.0134388,14.4045,135.776,5.272,6.023,10.001,2607.82,257.331,1055.25,4082,0.217007
io_uring,unknown,64,3,0.0134973,13.2212,129.056,5.27,6.024,9.91,2725.83,257.328,1067.43,4080,0.216863
io_uring,unknown,64,4,0.0135762,12.4671,100.95,5.319,6.034,10.152,1271.96,257.289,1057.73,4070,0.216178
io_uring,unknown,64,5,0.0134294,14.0095,129.707,5.325,6.03,9.983,2484.73,257.279,1137.08,4076,0.216589
io_uring,unknown,64,6,0.0135982,12.8998,107.768,5.321,6.064,10.074,1931.27,257.326,1067.08,4072,0.216385
io_uring,unknown,64,7,0.0134099,14.8785,126.9,5.306,6.033,10.178,2194.74,257.338,1134.64,4067,0.216417
io_uring,unknown,64,8,0.0135082,14.1203,122.91,5.292,6.039,10.043,2476.3,257.293,1068.53,4074,0.216291
io_uring,unknown,64,9,0.0135611,14.0574,126.524,5.295,6.023,10.032,2487.77,257.289,1059.04,4072,0.216242
io_uring,unknown,64,10,0.0135425,11.9727,94.4618,5.308,6.029,10.055,1407.31,257.281,996.076,4073,0.216179
io_uring,unknown,64,11,0.0135312,14.5704,124.755,5.267,6.038,10.189,2281.25,257.327,1073.06,4068,0.216755
io_uring,unknown,64,12,0.0135996,12.0099,107.712,5.264,6.016,9.855,1727.89,257.344,1057,4085,0.217063
io_uring,unknown,64,13,0.0135489,13.3491,135.682,5.279,6.023,9.7,2737.84,257.31,340.529,4086,0.21686
io_uring,unknown,64,14,0.0133071,14.5882,136.317,5.296,6.025,10.015,2485.91,257.351,1188.02,4073,0.216675
io_uring,unknown,64,15,0.0135172,13.4647,117.545,5.275,6.029,10.044,2267.18,257.33,1059.17,4082,0.217256
io_uring,unknown,256,1,0.0521987,19.7641,161.384,6.011,6.802,15.247,2722.29,256.126,1254.07,1014,0.241977
io_uring,unknown,256,2,0.0520465,20.2642,155.686,5.976,6.741,806.153,2143.9,256.182,1324.1,1015,0.241981
io_uring,unknown,256,3,0.05324,14.8867,126.425,6.023,6.752,11.417,1004.33,256.127,1183.35,1017,0.24211
io_uring,unknown,256,4,0.053366,15.2474,135.116,6.012,6.714,10.322,2493.52,256.175,1121.9,1018,0.242314
io_uring,unknown,256,5,0.0544808,11.0444,90.988,5.99,6.701,10.08,941.946,256.149,986.015,1021,0.242345
io_uring,unknown,256,6,0.0513388,20.1421,176.706,5.993,6.733,11.583,2950.24,256.129,1857.06,1016,0.242277
io_uring,unknown,256,7,0.0539292,15.9075,141.469,6.007,6.718,10.755,2212.5,256.072,988.483,1019,0.241701
io_uring,unknown,256,8,0.0528284,17.547,170.744,6.022,6.71,10.132,3012.46,256.128,1071.32,1019,0.242363
io_uring,unknown,256,9,0.0533912,16.9923,153.367,5.986,6.706,11.461,3006.12,256.152,1126.25,1019,0.242297
io_uring,unknown,256,10,0.0538919,12.4649,92.6234,6.025,6.732,10.776,1477.77,256.205,993.732,1019,0.242083
io_uring,unknown,256,11,0.0525241,18.4458,161.648,6.065,6.754,12.146,3000.56,256.17,1135.94,1016,0.240155
io_uring,unknown,256,12,0.0536377,15.6337,127.39,6.004,6.72,11.541,1865.49,256.134,1077.97,1017,0.241143
io_uring,unknown,256,13,0.0527441,16.9294,166.228,5.997,6.68,10.079,2942.23,256.132,1074.71,1020,0.242496
io_uring,unknown,256,14,0.0534539,15.4074,135.569,5.998,6.712,10.344,2275.33,256.138,1126.52,1018,0.242082
io_uring,unknown,256,15,0.0532533,17.5646,144.615,5.989,6.787,13.273,2339.74,256.181,1124.14,1014,0.242396
io_uring,unknown,1024,1,0.21337,14.8536,89.9437,7.286,8.064,13.018,1055.39,254.083,1301.29,254,0.30391
io_uring,unknown,1024,2,0.202284,28.1809,176.847,7.339,8.197,996.638,2029.42,254.033,1985.85,251,0.30249
io_uring,unknown,1024,3,0.206407,25.2941,213.76,7.354,8.079,455.713,3264.76,254.021,1226.22,254,0.303058
io_uring,unknown,1024,4,0.199081,28.2861,228.845,7.356,8.383,453.764,3116.58,254.078,2166.44,254,0.304756
io_uring,unknown,1024,5,0.216355,14.6159,86.3416,7.343,8.143,12.709,1053.64,254.048,1165.95,253,0.302645
io_uring,unknown,1024,6,0.211272,16.1915,148.141,7.36,8.128,11.144,2383.47,254.112,257.922,255,0.305274
io_uring,unknown,1024,7,0.198355,32.0867,284.528,7.337,8.001,10.2,3383.02,254.043,2999.26,255,0.304456
io_uring,unknown,1024,8,0.22486,10.4469,57.2152,7.299,8.075,11.109,925.204,254.017,257.572,255,0.304233
io_uring,unknown,1024,9,0.212551,25.6339,207.988,7.355,8.126,383.343,3027.32,254.044,1637.78,252,0.302911
