wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
io_uring,unknown,64,1,0.330309,0.861168,0.562939,0.743,2.107,2.194,3.568,1.208,3.05,524,0.18047
io_uring,unknown,64,2,0.330265,1.08434,1.72935,0.574,3.468,9.797,9.907,1.203,2.833,333,0.180447
io_uring,unknown,64,3,0.328206,1.05916,1.67984,0.575,4.146,10.336,10.688,1.209,3.017,602,0.18159
io_uring,unknown,64,4,0.33067,0.855764,1.49475,0.575,1.456,10.305,10.589,1.209,2.829,594,0.180191
io_uring,unknown,64,5,0.331651,1.51414,2.10796,0.745,6.441,9.809,9.901,1.196,2.728,416,0.179689
io_uring,unknown,64,6,0.331783,1.27388,1.90839,0.586,7.09,8.064,9.231,0.185,2.846,1168,0.17968
io_uring,unknown,64,7,0.329076,1.03615,1.65982,0.57,3.977,9.782,9.879,1.208,3.019,508,0.181158
io_uring,unknown,64,8,0.329934,0.734035,0.772663,0.577,1.473,5.407,7.981,1.201,2.73,660,0.180676
io_uring,unknown,64,9,0.32847,0.78149,0.618478,0.587,1.675,2.522,6.899,1.191,2.967,580,0.181481
io_uring,unknown,64,10,0.338703,0.761997,0.732736,0.583,1.82,2.812,7.775,0.23,2.596,1774,0.175991
io_uring,unknown,64,11,0.345541,0.4092,0.53651,0.223,1.26,2.081,4.399,0.149,2.034,4050,0.172511
io_uring,unknown,64,12,0.330511,0.880091,0.893107,0.587,2.718,5.023,8.922,1.197,2.917,676,0.18035
io_uring,unknown,64,13,0.335717,1.40537,2.12694,0.659,6.84,8.874,9.404,0.156,2.522,1506,0.177557
io_uring,unknown,64,14,0.331444,1.06577,1.85194,0.56,7.307,8.574,10.715,1.207,3.084,485,0.179802
io_uring,unknown,64,15,0.330322,0.84784,0.982416,0.58,2.127,5.849,6.924,1.19,2.886,669,0.180465
io_uring,unknown,256,1,1.19545,12.1727,1.46149,12.257,13.926,15.983,17.835,4.313,5.14,3,0.199476
io_uring,unknown,256,2,1.18663,12.4138,3.27236,12.211,14.473,16.031,22.761,18.114,18.114,1,0.199896
io_uring,unknown,256,3,1.21246,11.8311,1.52744,12.159,12.799,14.795,17.359,20.596,20.596,2,0.196668
io_uring,unknown,256,4,1.21943,12.0551,0.754294,12.17,12.686,13.815,15.319,1.336,1.336,2,0.195545
io_uring,unknown,256,5,1.01641,12.8621,19.0471,12.229,15.31,18.069,30.353,1157.49,1157.49,2,0.217096
io_uring,unknown,256,6,1.19328,12.2011,1.87459,12.222,12.736,14.758,32.795,212.995,212.995,1,0.197188
io_uring,unknown,256,7,1.23799,11.7157,1.80168,11.841,12.642,14.474,29.659,175.812,175.812,1,0.190655
io_uring,unknown,256,8,1.21088,11.85,2.00672,12.1,12.707,15.033,24.896,295.016,295.016,1,0.193058
io_uring,unknown,256,9,1.2191,11.5441,2.65456,12.094,12.642,13.899,28.82,3.455,223.894,6,0.192652
io_uring,unknown,256,10,1.21171,11.9778,1.02131,12.195,12.708,14.353,20.384,104.214,104.214,1,0.19547
io_uring,unknown,256,11,1.17735,12.1531,2.90031,12.218,12.664,14.568,70.14,3.324,230.528,6,0.197092
io_uring,unknown,256,12,1.23081,11.7409,1.51681,12.048,12.783,14.604,23.232,73.017,73.017,2,0.193373
io_uring,unknown,256,13,1.19179,12.1686,2.95538,12.213,12.696,14.957,72.199,209.692,209.692,2,0.195961
io_uring,unknown,256,14,1.20875,12.097,1.02195,12.156,12.662,14.168,27.56,126.604,126.604,1,0.196097
io_uring,unknown,256,15,1.19242,12.2683,3.11313,12.205,13.163,15.317,72.519,140.588,140.588,1,0.19832
io_uring,unknown,1024,1,4.23664,13.1502,4.24675,12.668,14.965,19.127,81.599,212.71,212.71,1,0.215014
io_uring,unknown,1024,2,4.13427,13.1068,1.45681,13.154,14.789,16.89,19.618,70.171,70.171,1,0.229854
io_uring,unknown,1024,3,4.26809,13.3254,4.03854,12.828,16.03,19.786,76.444,176.407,176.407,2,0.21415
io_uring,unknown,1024,4,4.05021,13.3211,2.63258,13.173,14.23,25.559,40.464,187.616,187.616,1,0.226633
io_uring,unknown,1024,5,4.33584,13.1095,3.47833,12.826,13.607,20.508,76.883,184.982,184.982,1,0.210546
io_uring,unknown,1024,6,4.20425,13.2736,5.05947,12.611,15.397,21.494,94.578,227.059,227.059,1,0.216123
io_uring,unknown,1024,7,4.61657,12.6687,0.744725,12.597,13.256,15.899,20.825,36.833,36.833,1,0.206127
io_uring,unknown,1024,8,4.15968,13.7012,4.80845,12.906,18.166,22.689,85.275,158.371,158.371,1,0.221414
io_uring,unknown,1024,9,4.1942,13.4454,1.92652,12.778,17.882,19.564,27.077,148.091,148.091,1,0.219816
io_uring,unknown,1024,10,4.61874,12.6272,0.780051,12.55,13.227,16.353,21.863,52.099,52.099,1,0.204706
io_uring,unknown,1024,11,4.10568,12.9816,4.07565,12.781,13.963,15.588,78.868,179.362,179.362,1,0.222526
io_uring,unknown,1024,12,3.98529,13.6885,3.67515,13.038,18.147,21.631,62.35,206.007,206.007,1,0.228763
io_uring,unknown,1024,13,4.29074,13.2664,4.27039,12.898,13.67,20.358,80.653,192.083,192.083,1,0.212513
io_uring,unknown,1024,14,4.32514,12.8321,1.34692,12.769,14.009,16.632,26.204,74.785,74.785,1,0.219546
io_uring,unknown,1024,15,3.89901,13.973,4.81563,13.029,18.305,25.124,85.842,207.279,207.279,1,0.23532
