wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
io_uring_sqpoll,unknown,64,1,0.00353475,14.4181,120.907,4.929,6.388,93.327,2141.84,1058.89,1661.82,4335,0.235829
io_uring_sqpoll,unknown,64,2,0.00353166,13.5513,115.693,4.926,7.077,133.664,1983.29,1058.74,1597.31,4286,0.237665
io_uring_sqpoll,unknown,64,3,0.00355,13.1464,106.498,5.146,5.719,13.076,1596.64,1058.38,1663.76,4091,0.213837
io_uring_sqpoll,unknown,64,4,0.00354777,14.2183,132.855,5.125,5.774,14.3,2530.22,1058.46,1592.17,4109,0.217706
io_uring_sqpoll,unknown,64,5,0.00355237,11.6944,100.596,5.196,5.833,11.318,1773.73,1058.49,1503.93,4096,0.215576
io_uring_sqpoll,unknown,64,6,0.00355667,14.3468,113.343,5.142,5.727,143.051,1596.39,1058.64,1661.72,4099,0.216134
io_uring_sqpoll,unknown,64,7,0.00355303,14.4154,130.4,5.175,5.753,14.943,2525.59,1058.51,1601.33,4097,0.21727
io_uring_sqpoll,unknown,64,8,0.00354813,13.3559,117.055,5.22,5.753,11.096,2226.99,1058.34,1651.87,4093,0.214052
io_uring_sqpoll,unknown,64,9,0.00354953,12.6575,108.729,5.14,5.727,12.157,1464.53,1058.38,1655.48,4104,0.213813
io_uring_sqpoll,unknown,64,10,0.00353593,13.14,120.485,5.138,5.71,11.792,1930.64,1058.38,1673.96,4092,0.214059
io_uring_sqpoll,unknown,64,11,0.00354739,13.2255,112.961,5.168,5.736,11.984,2206.74,1058.38,1598.35,4091,0.214234
io_uring_sqpoll,unknown,64,12,0.00355699,13.3618,109.494,5.188,5.77,13.22,2200.65,1058.37,1596.07,4092,0.214672
io_uring_sqpoll,unknown,64,13,0.00356064,12.6439,105.795,5.181,5.769,12.108,1992.99,1058.36,1520.78,4092,0.21373
io_uring_sqpoll,unknown,64,14,0.00355465,12.5151,105.079,5.176,5.739,12.192,1737.24,1058.35,1529.39,4093,0.213747
io_uring_sqpoll,unknown,64,15,0.00355787,11.1228,100.515,5.103,5.678,10.239,2206.48,1058.38,1529.29,4100,0.213916
io_uring_sqpoll,unknown,256,1,0.0142243,15.4405,133.833,5.744,6.45,12.123,1659.68,1057.37,1514.11,1020,0.23718
io_uring_sqpoll,unknown,256,2,0.0141787,16.9725,151.868,5.731,6.376,11.047,2534.97,1057.37,1785.53,1021,0.237938
io_uring_sqpoll,unknown,256,3,0.0142746,9.30472,55.5728,5.702,6.339,10.56,870.075,1057.47,1071.51,1024,0.237509
io_uring_sqpoll,unknown,256,4,0.0141497,14.0733,81.4484,5.742,6.449,464.612,864.944,1057.38,1654.18,1028,0.23741
io_uring_sqpoll,unknown,256,5,0.0141339,16.4254,157.778,5.745,6.396,10.526,2997.06,1057.42,1728.69,1021,0.237902
io_uring_sqpoll,unknown,256,6,0.0142244,14.7469,133.137,5.776,6.395,10.469,1924.4,1057.4,1447.75,1023,0.238233
io_uring_sqpoll,unknown,256,7,0.0142152,15.375,128.507,5.717,6.371,192.186,2128.26,1057.37,1522.98,1023,0.237567
io_uring_sqpoll,unknown,256,8,0.0140274,18.1796,169.426,5.714,6.39,11.358,2528.06,1057.43,1990.71,1019,0.238104
io_uring_sqpoll,unknown,256,9,0.0141938,16.3357,127.517,5.733,6.411,262.086,2338.76,1057.41,1580.32,1021,0.236818
