wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
io_uring_sqpoll,unknown,64,1,0.0282941,15.969,157.096,4.887,5.417,9.372,2770.34,106.881,1176.29,4084,0.207766
io_uring_sqpoll,unknown,64,2,0.0278321,15.8511,166.105,4.889,5.416,9.299,3072.28,106.828,1010.28,4088,0.207252
io_uring_sqpoll,unknown,64,3,0.0281867,15.6458,157.722,4.897,5.428,9.337,2993.76,106.856,1174.97,4088,0.207352
io_uring_sqpoll,unknown,64,4,0.0276425,17.8007,180.621,4.895,5.425,9.313,3078.89,106.849,1180.55,4084,0.207467
io_uring_sqpoll,unknown,64,5,0.0279638,16.7626,159.531,4.896,5.41,9.43,2761.75,106.853,1522.35,4075,0.207041
io_uring_sqpoll,unknown,64,6,0.0282892,15.7523,153.583,4.891,5.418,9.375,2652.12,106.839,1068.36,4086,0.206868
io_uring_sqpoll,unknown,64,7,0.0283025,15.8447,156.926,4.931,5.438,9.309,2766.89,106.861,997.974,4081,0.207279
io_uring_sqpoll,unknown,64,8,0.0274619,17.5973,170.641,4.905,5.433,9.439,2884.05,106.867,1746.62,4077,0.207536
io_uring_sqpoll,unknown,64,9,0.0282581,15.5088,158.094,4.885,5.406,9.276,2988.86,106.852,996.617,4083,0.207597
io_uring_sqpoll,unknown,64,10,0.0274146,15.917,164.994,4.882,5.418,9.355,3077.42,106.904,1184.1,4090,0.207904
io_uring_sqpoll,unknown,64,11,0.0274894,17.0553,161.199,4.902,5.464,9.656,2765.73,106.933,1751.71,4087,0.208384
io_uring_sqpoll,unknown,64,12,0.0285159,14.9951,154.825,4.887,5.434,9.363,2876.95,106.884,751.663,4090,0.209147
io_uring_sqpoll,unknown,64,13,0.0270842,16.5809,165.785,4.897,7.56,13.229,2993.56,107.013,1058.06,4211,0.21478
io_uring_sqpoll,unknown,64,14,0.0272925,17.4749,175.995,4.971,6.094,11.059,3075.95,107.055,1397.74,4151,0.211695
io_uring_sqpoll,unknown,64,15,0.0271859,17.0485,160.544,5.006,6.185,11.795,2873.55,107.08,1618.93,4158,0.213914
io_uring_sqpoll,unknown,256,1,0.0997307,23.9395,210.211,5.877,7.445,125.87,3072.72,106.015,2452.01,1028,0.243346
io_uring_sqpoll,unknown,256,2,0.0944862,23.7636,204.904,5.893,11.024,21.987,3080.98,107.063,2044.58,1050,0.294253
io_uring_sqpoll,unknown,256,3,0.0961459,21.6724,179.076,5.793,10.967,22.199,2758.21,107.424,2001.14,1068,0.298259
io_uring_sqpoll,unknown,256,4,0.104648,20.9673,198.873,5.765,7.699,13.11,3322.72,105.712,1995.08,1032,0.24079
io_uring_sqpoll,unknown,256,5,0.10908,17.5532,153.074,5.835,6.367,9.88,2189.26,105.678,1854.14,1020,0.234944
io_uring_sqpoll,unknown,256,6,0.105663,19.618,153.218,5.854,6.681,15.08,2081.03,105.669,1991.2,1017,0.235084
io_uring_sqpoll,unknown,256,7,0.107932,17.8966,143.241,5.847,6.509,11.601,2189.69,105.705,1867.02,1019,0.235872
io_uring_sqpoll,unknown,256,8,0.104871,23.4055,210.411,5.847,6.453,11.471,2875.07,105.719,1988.75,1019,0.235839
io_uring_sqpoll,unknown,256,9,0.104542,19.9439,175.222,5.859,6.718,13.418,2533.55,105.762,1992.74,1026,0.238349
io_uring_sqpoll,unknown,256,10,0.101242,21.161,187.851,5.884,10.695,18.648,3076.99,107.129,2002.04,1063,0.283394
io_uring_sqpoll,unknown,256,11,0.104672,19.9439,162.041,5.745,6.924,14.858,2053.1,105.682,1988.87,1028,0.233606
io_uring_sqpoll,unknown,256,12,0.0954325,22.9969,214.788,5.879,11.703,19.397,3328.64,107.07,2395.71,1062,0.302918
io_uring_sqpoll,unknown,256,13,0.0994255,21.5507,192.511,5.751,9.432,34.996,3068.24,105.921,2042.14,1036,0.262136
io_uring_sqpoll,unknown,256,14,0.106699,18.632,159.614,5.777,7.41,14.769,2186.54,105.744,1970.39,1020,0.238982
io_uring_sqpoll,unknown,256,15,0.0990159,23.1568,205.763,5.838,10.283,22.552,2966.04,105.908,1990.13,1035,0.273071
io_uring_sqpoll,unknown,1024,1,0.363793,27.6653,227.139,7.451,14.844,31.579,3062.64,105.793,2963.95,263,0.427639
io_uring_sqpoll,unknown,1024,2,0.361517,31.9163,207.423,7.434,10.576,1304.72,2511.83,103.248,1988.05,255,0.321247
io_uring_sqpoll,unknown,1024,3,0.44928,15.3024,92.6981,7.492,9.223,15.174,1137.51,103.426,985.73,256,0.307357
io_uring_sqpoll,unknown,1024,4,0.433908,19.204,148.275,7.644,9.006,123.64,2292.67,103.062,986.398,253,0.308225
io_uring_sqpoll,unknown,1024,5,0.389817,26.8944,204.39,7.675,8.628,997.517,2939.51,103.119,3004.72,254,0.312041
io_uring_sqpoll,unknown,1024,6,0.447088,16.6022,150.503,7.626,8.447,10.312,2423.46,103.143,116.189,255,0.304285
io_uring_sqpoll,unknown,1024,7,0.404059,26.1329,223.492,7.371,9.243,15.602,3122.66,104.125,1985.94,258,0.314265
io_uring_sqpoll,unknown,1024,8,0.389837,21.526,161.653,7.554,9.459,28.751,2029.62,103.757,1993.74,260,0.316125
io_uring_sqpoll,unknown,1024,9,0.344583,35.3534,224.565,7.576,9.645,1179.11,2406.02,103.597,2500.5,252,0.308179
io_uring_sqpoll,unknown,1024,10,0.379817,28.2453,236.841,7.562,9.819,14.006,2799.91,103.623,2896.79,259,0.314235
io_uring_sqpoll,unknown,1024,11,0.330209,37.7246,267.778,7.443,10.576,1702.02,3009.72,103.881,2938.59,258,0.320498
io_uring_sqpoll,unknown,1024,12,0.406891,20.0936,146.278,7.591,9.094,15.646,1880.89,103.182,1976.4,254,0.304708
io_uring_sqpoll,unknown,1024,13,0.444916,13.7487,102.868,7.613,9.049,17.437,1657.32,103.34,1733.75,259,0.313303
io_uring_sqpoll,unknown,1024,14,0.350788,34.0698,271.363,7.517,9.903,1172.18,3703.61,103.445,2994.28,259,0.320264
io_uring_sqpoll,unknown,1024,15,0.365599,28.6699,211.164,7.679,9.048,826.394,2429.68,103.359,2523.67,253,0.307701
io_uring_sqpoll,unknown,4096,1,1.49135,23.131,193.549,5.356,7.68,394.638,3476.14,104.397,1575.3,506,0.469015
io_uring_sqpoll,unknown,4096,2,1.41361,28.52,231.004,5.329,7.906,734.618,3120.42,104.568,2575.51,507,0.481694
io_uring_sqpoll,unknown,4096,3,1.40407,23.8554,207.623,5.024,7.27,36.973,2737.61,105.016,2573.19,521,0.511127
io_uring_sqpoll,unknown,4096,4,1.14452,32.4136,260.259,4.057,10.235,976.618,3344.78,107.951,2980.7,578,0.687203
io_uring_sqpoll,unknown,4096,5,1.30529,28.7863,244.286,5.097,7.507,645.4,3485.84,104.846,2206.72,519,0.512581
