wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
io_uring_sqpoll,unknown,64,1,0.109075,11.1302,148.994,2.978,8.194,9.646,2994.05,4.05,4005.73,127,0.157821
io_uring_sqpoll,unknown,64,2,0.114639,9.26033,132.292,1.727,8.24,10,3062.38,3.932,3996.11,238,0.158879
io_uring_sqpoll,unknown,64,3,0.118611,10.2574,143.788,2.501,9.174,9.633,3168.24,3.988,4006,158,0.15745
io_uring_sqpoll,unknown,64,4,0.096748,11.3816,174.405,1.426,6.615,8.813,3479.33,3.933,3741.41,265,0.159747
io_uring_sqpoll,unknown,64,5,0.102729,11.2103,164.225,2.128,7.831,9.333,3491.77,4.005,4001.94,175,0.158585
io_uring_sqpoll,unknown,64,6,0.120463,7.557,125.879,1.08,6.991,9.01,2921.21,3.947,3396.98,328,0.159355
io_uring_sqpoll,unknown,64,7,0.100576,11.8219,166.279,2.343,7.895,9.6,3179.31,3.98,3782.13,178,0.158511
io_uring_sqpoll,unknown,64,8,0.102028,13.7476,167.451,4.129,9.532,10.515,3013.19,3.961,3654.69,119,0.155683
io_uring_sqpoll,unknown,64,9,0.115715,9.20614,142.126,1.514,7.909,9.45,2989.64,3.93,3773.23,333,0.159283
io_uring_sqpoll,unknown,64,10,0.119914,8.78018,127.589,2.292,8.425,9.855,2810.41,4.01,4006.64,171,0.158245
io_uring_sqpoll,unknown,64,11,0.117996,8.75435,142.383,1.552,8.904,9.586,3171.47,3.937,3785.46,314,0.158952
io_uring_sqpoll,unknown,64,12,0.119602,8.42849,135.353,1.419,7.142,8.705,3016.33,3.94,3672.63,324,0.159188
io_uring_sqpoll,unknown,64,13,0.100695,12.0374,158.598,2.501,8.904,9.997,2994,3.966,4005.24,156,0.158324
io_uring_sqpoll,unknown,64,14,0.0922528,12.4594,183.908,1.252,7.016,9.838,3452.43,3.965,3606.67,266,0.159557
io_uring_sqpoll,unknown,64,15,0.0984237,11.9957,171.951,1.695,7.612,8.974,3394.49,3.988,3686.26,272,0.159593
io_uring_sqpoll,unknown,256,1,0.608448,24.3298,202.123,11.904,12.973,14.257,3014.94,147.518,147.518,1,0.191465
io_uring_sqpoll,unknown,256,2,0.68899,20.6578,161.067,11.974,12.949,14.643,3015.99,1002.11,1002.11,2,0.192646
io_uring_sqpoll,unknown,256,3,0.632127,23.4362,185.748,11.895,12.85,15.223,3017.7,145.7,145.7,1,0.191556
io_uring_sqpoll,unknown,256,4,0.633971,23.2425,184.47,11.843,13.844,14.846,3017.57,129.954,129.954,1,0.191301
io_uring_sqpoll,unknown,256,5,0.607583,24.3024,201.625,11.921,13,14.661,3018.46,151.323,151.323,1,0.191898
io_uring_sqpoll,unknown,256,6,0.587351,22.5124,172.414,11.925,12.864,14.203,3016.18,3007.94,3007.94,2,0.191797
io_uring_sqpoll,unknown,256,7,0.720791,20.5577,160.68,11.898,12.903,14.521,3016.78,143.348,143.348,1,0.191469
io_uring_sqpoll,unknown,256,8,0.626768,18.4616,134.258,11.874,13.211,14.717,3014.29,164.453,3220.9,4,0.191771
io_uring_sqpoll,unknown,256,9,0.551375,22.0731,164.802,11.979,12.956,14.569,3013.94,2694.51,4008.71,3,0.193086
io_uring_sqpoll,unknown,256,10,0.690042,21.4302,179.642,11.886,12.972,14.386,3015.87,122.387,122.387,1,0.191233
io_uring_sqpoll,unknown,256,11,0.566634,22.4348,171.743,11.907,13.033,14.449,3016.8,4009.16,4009.16,2,0.191743
io_uring_sqpoll,unknown,256,12,0.506055,25.5521,197.742,11.947,12.963,15.14,3017.43,3039.91,3224.36,4,0.192883
io_uring_sqpoll,unknown,256,13,0.410261,21.0256,123.736,11.937,13.026,14.316,1486.65,3998.76,5000.81,6,0.191972
io_uring_sqpoll,unknown,256,14,0.39833,19.3588,91.7309,11.922,12.92,14.031,1008.57,3999.77,5001.7,7,0.191471
io_uring_sqpoll,unknown,256,15,0.427171,19.7243,97.857,11.973,13.035,14.776,1005.01,4002.78,4010.64,6,0.192271
io_uring_sqpoll,unknown,1024,1,1.77766,37.3051,259.235,14.299,16.164,17.82,3020.94,2003.2,2003.2,1,0.232224
io_uring_sqpoll,unknown,1024,2,1.02109,31.2147,172.525,14.056,15.91,977.842,2425.72,3997.66,5007.89,3,0.229218
io_uring_sqpoll,unknown,1024,3,1.16568,39.6068,288.092,14.357,16.105,19.036,3569.92,3601.78,3601.78,2,0.233609
io_uring_sqpoll,unknown,1024,4,1.16521,39.1462,274.585,14.408,20.046,35.539,3330.84,3359.67,3359.67,2,0.249187
io_uring_sqpoll,unknown,1024,5,1.18423,38.826,275.097,14.485,16.426,18.328,3264.84,3356.87,3356.87,2,0.235632
io_uring_sqpoll,unknown,1024,6,1.32917,44.6983,359.72,13.652,15.656,33.7,5019.77,3004.67,3004.67,1,0.230846
io_uring_sqpoll,unknown,1024,7,1.51067,23.9829,113.756,14.17,15.26,17.4,1553.87,4996.83,4996.83,2,0.227402
io_uring_sqpoll,unknown,1024,8,2.28421,25.3077,184.326,13.862,15.484,18.63,3016.61,136.365,136.365,1,0.226993
io_uring_sqpoll,unknown,1024,9,1.1794,39.2173,280.981,14.214,17.037,20.407,3398.31,3447.46,3447.46,2,0.234166
io_uring_sqpoll,unknown,1024,10,1.10153,38.5573,273.809,14.455,16.581,18.109,3272.72,3953.31,3953.31,2,0.235601
io_uring_sqpoll,unknown,1024,11,2.29622,25.7541,186.028,14.146,15.352,17.215,3020.12,77.372,77.372,1,0.228288
io_uring_sqpoll,unknown,1024,12,1.88321,28.3132,240.313,13.601,18.879,33.511,4016.82,117.901,117.901,1,0.257027
io_uring_sqpoll,unknown,1024,13,1.01911,31.6067,165.371,14.306,20.16,979.5,2294.38,3996.76,4984.71,3,0.245417
io_uring_sqpoll,unknown,1024,14,1.21159,37.5305,268.289,13.749,16.062,17.726,3151.68,3277.27,3277.27,2,0.227011
io_uring_sqpoll,unknown,1024,15,1.14937,30.6133,184.573,13.989,20.866,32.123,2329.58,2481.14,4048.86,4,0.249665
io_uring_sqpoll,unknown,4096,1,4.55677,42.1913,234.664,21.813,24.3,28.598,3037.52,2747.77,3996.03,3,0.357442
io_uring_sqpoll,unknown,4096,2,3.93773,42.9194,274.62,21.638,22.929,29.169,3563.95,3625.22,3979.76,3,0.37147
io_uring_sqpoll,unknown,4096,3,3.88594,35.0199,195.374,21.85,23.41,38.276,4027.65,3987.78,4021.17,5,0.37013
io_uring_sqpoll,unknown,4096,4,4.63535,43.2524,237.241,21.78,24.067,30.062,3027.97,1990.51,1995.28,3,0.355866
io_uring_sqpoll,unknown,4096,5,5.50093,42.8492,279.115,21.79,23.601,27.356,4030.93,120.448,120.448,1,0.354368
io_uring_sqpoll,unknown,4096,6,3.95873,37.0774,193.776,21.811,23.34,27.308,4024.55,3987.36,3989.87,5,0.354204
io_uring_sqpoll,unknown,4096,7,4.81372,41.9193,244.107,21.707,24.542,29.097,3027.84,2993.75,2993.75,2,0.361117
io_uring_sqpoll,unknown,4096,8,3.68544,33.9757,111.434,21.821,23.441,994.468,1316.46,3987.08,4984.53,6,0.352803
io_uring_sqpoll,unknown,4096,9,3.65721,34.5851,119.091,21.842,23.186,994.504,1627.3,3987.22,4988.03,6,0.352938
io_uring_sqpoll,unknown,4096,10,3.64974,34.6837,119.109,21.884,23.633,994.238,1627.01,3986.95,4986.66,6,0.353871
io_uring_sqpoll,unknown,4096,11,3.62075,32.8893,120.496,21.724,22.956,933.365,1716.37,3987.84,4989.55,6,0.362206
io_uring_sqpoll,unknown,4096,12,3.68677,33.9242,111.27,21.82,23.229,992.979,1322.1,3987.08,4986.38,6,0.352586
io_uring_sqpoll,unknown,4096,13,3.66196,36.3838,166.584,21.866,23.697,28.832,3024.68,3706.37,4986.53,7,0.357199
io_uring_sqpoll,unknown,4096,14,4.12842,35.7966,189.357,21.731,24.452,29.213,3027.15,2271.88,3997.46,5,0.36806
io_uring_sqpoll,unknown,4096,15,5.98706,37.1385,227.386,21.652,23.117,28.965,3036.29,62.501,62.501,1,0.361268
io_uring_sqpoll,unknown,16384,1,6.34097,97.3923,291.045,55.034,57.728,1056.94,3063.12,3956.45,3957.41,3,0.943261
io_uring_sqpoll,unknown,16384,2,4.80529,101.874,331.023,54.731,57.068,991.803,3472.83,3954.85,3957.76,5,0.938674
io_uring_sqpoll,unknown,16384,3,8.4393,105.842,429.037,54.962,57.38,3059.4,4061.96,64.747,64.747,1,0.947158
io_uring_sqpoll,unknown,16384,4,8.8954,93.2647,360.537,54.881,57.196,3059.77,3063.09,118.31,118.31,1,0.970481
io_uring_sqpoll,unknown,16384,5,8.6196,64.8096,274.154,53.515,56.548,63.438,3060.77,84.536,84.536,1,1.03028
io_uring_sqpoll,unknown,16384,6,6.33037,120.08,444.534,54.901,58.004,3060.53,3063.04,2960.97,2960.97,1,0.952269
io_uring_sqpoll,unknown,16384,7,6.6245,113.632,398.353,55.289,58.975,3058.81,3063.39,2966.16,2966.16,2,0.945662
io_uring_sqpoll,unknown,16384,8,9.08278,96.9482,361.528,54.668,56.927,3060.75,3063.83,37.657,37.657,1,0.944594
io_uring_sqpoll,unknown,16384,9,6.35085,97.8549,362.385,54.761,57.241,992.62,4058.06,3956.99,3957.78,3,0.940347
io_uring_sqpoll,unknown,16384,10,5.95024,87.4698,190.948,54.775,57.206,991.112,1535.89,3955.8,3956.64,4,0.929401
io_uring_sqpoll,unknown,16384,11,7.36468,97.666,362.615,54.856,57.556,3056.11,3063.25,168.621,2946.3,3,0.962556
io_uring_sqpoll,unknown,16384,12,9.06021,75.0341,258.854,54.581,56.512,59.163,3058.21,2966.71,2966.71,2,0.942196
io_uring_sqpoll,unknown,16384,13,6.23457,123.097,458.583,55.112,57.82,3060.56,3330.65,3378.68,3378.68,2,0.946074
io_uring_sqpoll,unknown,16384,14,5.91076,115.878,423.581,54.633,56.99,3062.54,3385.82,3515.32,3938.11,3,0.946531
io_uring_sqpoll,unknown,16384,15,8.39139,106.114,428.008,55.246,57.644,3061.71,4059.91,159.735,159.735,1,0.945906
io_uring_sqpoll,unknown,65536,1,4.56639,255.872,405.609,52.804,988.802,1678.95,1907.29,3958.99,4961.34,5,4.28959
io_uring_sqpoll,unknown,65536,2,8.45355,89.5382,355.448,50.579,54.68,3053.59,3056.2,12.285,974.64,7,3.77455
io_uring_sqpoll,unknown,65536,3,7.28234,129.657,386.549,51.49,921.109,1022.76,4047.97,10.147,3961.01,9,3.5283
io_uring_sqpoll,unknown,65536,4,7.53967,97.6836,358.226,50.66,67.633,1021.16,4048.81,4.267,1973.9,25,3.689
io_uring_sqpoll,unknown,65536,5,5.86604,188.554,356.963,53.008,973.459,1593.52,1618.7,3960.1,4958.39,4,3.29953
io_uring_sqpoll,unknown,65536,6,6.34052,177.585,607.284,51.128,103.23,3223.74,3246.49,2780.18,3318.93,3,3.74372
io_uring_sqpoll,unknown,65536,7,6.182,151.142,504.386,50.497,153.997,2631.44,3056.72,2798.67,3976.07,3,3.66567
