wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
spin_backoff,unknown,64,1,0.00339605,0.267735,0.148195,0.241,0.404,0.643,0.943,0.094,0.177,59668,17.5499
spin_backoff,unknown,64,2,0.00345793,0.284835,0.158139,0.238,0.642,0.678,1.019,0.094,0.15,97705,17.2357
spin_backoff,unknown,64,3,0.00350511,0.315393,0.193914,0.265,0.654,0.691,1.63,0.094,0.096,116430,17.0035
spin_backoff,unknown,64,4,0.00346844,0.290178,0.165868,0.24,0.645,0.68,1.051,0.094,0.149,102900,17.1833
spin_backoff,unknown,64,5,0.00343199,0.274227,0.34452,0.232,0.536,0.671,1.304,0.094,0.156,84657,17.366
spin_backoff,unknown,64,6,0.0035179,0.316004,0.307381,0.252,0.656,0.696,1.952,0.094,0.096,128868,16.9418
spin_backoff,unknown,64,7,0.00351659,0.321603,0.194503,0.272,0.656,0.696,2.243,0.094,0.096,124150,16.9482
spin_backoff,unknown,64,8,0.00345759,0.285862,0.164086,0.238,0.642,0.677,1.07,0.094,0.15,96456,17.2373
spin_backoff,unknown,64,9,0.00351721,0.322836,0.232722,0.271,0.656,0.697,2.424,0.094,0.096,125737,16.945
spin_backoff,unknown,64,10,0.00351535,0.319628,0.214381,0.267,0.656,0.695,1.2,0.094,0.096,126369,16.954
spin_backoff,unknown,64,11,0.0034174,0.265207,0.133703,0.229,0.414,0.663,0.913,0.094,0.167,76447,17.44
spin_backoff,unknown,64,12,0.00340446,0.276608,0.278115,0.245,0.411,0.654,0.98,0.094,0.174,62757,17.5063
spin_backoff,unknown,64,13,0.00340272,0.256883,0.11462,0.226,0.392,0.651,0.876,0.094,0.174,67609,17.5151
spin_backoff,unknown,64,14,0.00342093,0.267398,0.147179,0.231,0.416,0.664,0.977,0.094,0.168,75363,17.4221
spin_backoff,unknown,64,15,0.00344813,0.288645,0.144781,0.247,0.637,0.673,0.959,0.094,0.151,89126,17.2846
spin_backoff,unknown,256,1,0.013985,0.384119,0.283642,0.363,0.671,0.91,3.05,0.094,0.173,8814,17.0463
spin_backoff,unknown,256,2,0.0140663,0.398091,0.338931,0.372,0.682,0.9,3.269,0.094,0.162,8042,16.9481
spin_backoff,unknown,256,3,0.0140702,0.387832,0.28193,0.365,0.674,0.878,3.069,0.094,0.156,8402,16.9432
spin_backoff,unknown,256,4,0.0137616,0.35426,0.547757,0.333,0.591,0.778,3.108,0.094,0.181,10049,17.3234
spin_backoff,unknown,256,5,0.0140302,0.38839,0.280475,0.367,0.667,0.861,3.294,0.094,0.169,8398,16.9922
spin_backoff,unknown,256,6,0.0140696,0.390971,0.282881,0.366,0.678,0.916,3.5,0.094,0.162,8350,16.9436
spin_backoff,unknown,256,7,0.0140659,0.401431,0.371251,0.371,0.683,0.92,3.598,0.094,0.157,8091,16.9483
spin_backoff,unknown,256,8,0.0140625,0.39406,0.354093,0.372,0.67,0.872,3.049,0.094,0.151,8026,16.9522
spin_backoff,unknown,256,9,0.0140715,0.396208,0.317443,0.373,0.677,0.911,3.343,0.094,0.156,7939,16.9411
spin_backoff,unknown,256,10,0.014069,0.405945,0.525053,0.371,0.677,0.888,9.783,0.094,0.161,8086,16.9441
spin_backoff,unknown,256,11,0.0140499,0.40647,0.602391,0.37,0.684,0.939,3.79,0.094,0.156,8134,16.9678
spin_backoff,unknown,256,12,0.014065,0.392504,0.292309,0.369,0.674,0.888,3.203,0.094,0.159,8180,16.9496
spin_backoff,unknown,256,13,0.0140795,0.382229,0.276531,0.362,0.668,0.863,2.934,0.094,0.16,8340,16.9317
spin_backoff,unknown,256,14,0.0139585,0.385266,0.360084,0.359,0.672,0.906,4.219,0.094,0.175,8820,17.0792
spin_backoff,unknown,256,15,0.0140803,0.392585,0.224302,0.371,0.677,0.903,3.216,0.094,0.158,7921,16.9311
spin_backoff,unknown,1024,1,0.0557579,3.33003,2.79963,2.471,9.183,13.426,22.768,0.094,0.207,262,17.1025
spin_backoff,unknown,1024,2,0.0564122,4.26506,2.68135,3.739,9.563,12.606,19.429,0.094,0.22,257,16.9049
spin_backoff,unknown,1024,3,0.0563887,4.40733,2.83688,3.734,10.089,13.146,20.376,0.094,0.206,252,16.9113
spin_backoff,unknown,1024,4,0.0564483,4.18527,2.6745,3.649,9.602,11.867,20.518,0.094,0.213,259,16.8928
spin_backoff,unknown,1024,5,0.0564086,4.38865,2.72714,3.807,9.93,12.4,20.28,0.094,0.201,253,16.9041
spin_backoff,unknown,1024,6,0.0564153,4.30608,3.04119,3.738,9.595,12.262,37.561,0.094,0.201,252,16.9018
spin_backoff,unknown,1024,7,0.0563735,4.25238,2.72098,3.667,9.817,13.285,17.139,0.094,0.211,253,16.9165
spin_backoff,unknown,1024,8,0.0564162,4.22337,2.71178,3.655,9.92,12.562,16.905,0.094,0.202,257,16.9023
spin_backoff,unknown,1024,9,0.0564527,4.25646,2.67886,3.714,9.753,12.677,17.316,0.094,0.205,254,16.8928
spin_backoff,unknown,1024,10,0.0564317,4.19673,2.67736,3.677,9.73,12.508,15.66,0.094,0.207,252,16.899
spin_backoff,unknown,1024,11,0.0563537,4.28576,2.6944,3.722,9.629,12.452,19.894,0.094,0.199,260,16.9202
spin_backoff,unknown,1024,12,0.056406,4.23545,2.61105,3.759,9.72,11.936,15.342,0.094,0.202,255,16.906
spin_backoff,unknown,1024,13,0.0563847,4.18103,2.43979,3.75,9.425,11.099,12.566,0.094,0.212,253,16.9128
spin_backoff,unknown,1024,14,0.0563863,4.18781,2.46164,3.739,9.39,11.243,14.841,0.094,0.2,258,16.9116
spin_backoff,unknown,1024,15,0.0564275,4.16933,2.5619,3.694,9.676,11.759,14.015,0.094,0.202,260,16.8995
spin_backoff,unknown,4096,1,0.216071,3.41155,1.89012,3.21,5.248,13.005,17.984,0.149,0.198,519,17.6519
spin_backoff,unknown,4096,2,0.222724,4.25207,2.67807,3.346,10.976,14.195,18.75,0.094,0.222,515,17.1258
spin_backoff,unknown,4096,3,0.222861,4.22156,2.66623,3.336,10.916,14.33,18.056,0.094,0.221,515,17.1158
spin_backoff,unknown,4096,4,0.222787,4.28086,2.73201,3.353,11.101,14.361,18.929,0.094,0.217,514,17.1209
spin_backoff,unknown,4096,5,0.222906,4.20844,2.6545,3.331,10.856,13.963,20.433,0.094,0.216,523,17.1111
spin_backoff,unknown,4096,6,0.222802,4.27781,2.77163,3.332,11.137,14.417,20.768,0.094,0.218,528,17.1206
spin_backoff,unknown,4096,7,0.222857,4.20329,2.66077,3.309,10.915,14.08,18.441,0.094,0.233,520,17.1158
spin_backoff,unknown,4096,8,0.222879,4.22958,2.7748,3.324,10.98,14.086,25.144,0.094,0.212,520,17.1142
spin_backoff,unknown,4096,9,0.222827,4.29461,2.81762,3.344,11.198,14.614,21.469,0.094,0.207,530,17.118
spin_backoff,unknown,4096,10,0.223007,4.21186,2.64492,3.339,10.951,13.891,18.307,0.094,0.209,511,17.1048
spin_backoff,unknown,4096,11,0.222959,4.20019,2.72527,3.325,10.807,13.929,27.199,0.094,0.213,515,17.1078
spin_backoff,unknown,4096,12,0.222901,4.27817,2.74526,3.351,11.133,14.61,18.834,0.094,0.219,547,17.1124
spin_backoff,unknown,4096,13,0.22269,4.21338,2.62791,3.334,10.926,13.928,17.769,0.094,0.213,544,17.1293
spin_backoff,unknown,4096,14,0.222877,4.13695,2.56341,3.302,10.747,13.638,17.47,0.094,0.217,530,17.1147
spin_backoff,unknown,4096,15,0.222973,4.26174,2.65062,3.361,11.065,13.796,17.679,0.094,0.214,509,17.1061
spin_backoff,unknown,16384,1,0.869719,8.41946,3.97159,8.468,14.041,16.854,24.159,0.094,0.206,125,17.541
