wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
spin_backoff,unknown,64,1,0.0343242,0.249764,0.601475,0.216,0.334,0.345,2.212,0.094,0.096,57296,1.73631
spin_backoff,unknown,64,2,0.0343351,0.263282,0.75256,0.222,0.362,0.424,5.937,0.094,0.096,49436,1.73568
spin_backoff,unknown,64,3,0.0343338,0.251027,0.29284,0.222,0.357,0.421,0.553,0.094,0.096,51854,1.73594
spin_backoff,unknown,64,4,0.0343388,0.272979,0.950776,0.222,0.359,0.422,12.769,0.094,0.096,50930,1.73531
spin_backoff,unknown,64,5,0.0343281,0.24823,0.260401,0.221,0.36,0.421,2.153,0.094,0.096,49890,1.73629
spin_backoff,unknown,64,6,0.0343294,0.262213,0.728934,0.222,0.358,0.422,5.512,0.094,0.096,51792,1.73599
spin_backoff,unknown,64,7,0.0343339,0.249935,0.235251,0.222,0.358,0.421,0.63,0.094,0.096,51805,1.73596
spin_backoff,unknown,64,8,0.034336,0.277972,0.941747,0.222,0.358,0.422,8.702,0.094,0.096,51676,1.73542
spin_backoff,unknown,64,9,0.034331,0.252366,0.305368,0.222,0.358,0.421,2.133,0.094,0.096,51933,1.7361
spin_backoff,unknown,64,10,0.0343291,0.261144,0.869297,0.218,0.336,0.358,1.821,0.094,0.096,56121,1.73593
spin_backoff,unknown,64,11,0.0343357,0.252959,0.381847,0.221,0.359,0.421,5.798,0.094,0.096,50588,1.73579
spin_backoff,unknown,64,12,0.0343017,0.652609,4.45038,0.224,0.392,8.742,75.735,0.094,0.096,50779,1.73745
spin_backoff,unknown,64,13,0.0343263,0.263477,1.23129,0.221,0.36,0.42,0.567,0.094,0.096,49890,1.73612
spin_backoff,unknown,64,14,0.0343335,0.249695,0.29906,0.222,0.357,0.421,0.463,0.094,0.096,52140,1.73597
spin_backoff,unknown,64,15,0.0343358,0.264006,0.892011,0.221,0.358,0.421,4.482,0.094,0.096,51956,1.73561
spin_backoff,unknown,256,1,0.137355,0.513611,1.3213,0.353,1.157,1.554,7.719,0.094,0.096,4515,1.7352
spin_backoff,unknown,256,2,0.137343,0.468876,0.619651,0.347,1.098,1.437,7.319,0.094,0.096,5582,1.73565
spin_backoff,unknown,256,3,0.13733,0.326415,0.971908,0.235,0.441,0.754,8.884,0.094,0.096,9494,1.73566
spin_backoff,unknown,256,4,0.137296,0.473011,0.982092,0.346,1.029,1.402,6.634,0.094,0.105,4543,1.73612
spin_backoff,unknown,256,5,0.137287,0.353498,0.274027,0.273,0.822,1.305,1.76,0.094,0.104,7672,1.73666
spin_backoff,unknown,256,6,0.137026,0.453534,0.33485,0.351,1.074,1.417,2.846,0.094,0.096,4434,1.73997
spin_backoff,unknown,256,7,0.137378,0.456066,0.351196,0.353,1.043,1.388,2.476,0.094,0.096,4503,1.73552
spin_backoff,unknown,256,8,0.137269,0.290996,0.202072,0.235,0.481,0.889,1.872,0.094,0.096,9637,1.73689
spin_backoff,unknown,256,9,0.137388,0.478723,1.0106,0.351,1.038,1.379,7.42,0.094,0.096,4661,1.73497
spin_backoff,unknown,256,10,0.137292,0.438964,0.645104,0.33,0.995,1.38,7.542,0.094,0.096,5222,1.73639
spin_backoff,unknown,256,11,0.137253,0.307558,0.224973,0.24,0.556,1.063,1.791,0.094,0.096,8985,1.73709
spin_backoff,unknown,256,12,0.13724,0.489943,0.556472,0.36,1.129,1.451,6.374,0.094,0.096,4230,1.73711
spin_backoff,unknown,256,13,0.137406,0.521144,1.72631,0.354,1.104,1.467,7.869,0.094,0.105,4801,1.73426
spin_backoff,unknown,256,14,0.13727,0.484821,0.402747,0.362,1.12,1.435,7.08,0.094,0.096,4892,1.73688
spin_backoff,unknown,256,15,0.137332,0.31927,0.507484,0.245,0.492,0.935,7.708,0.094,0.096,9015,1.73582
spin_backoff,unknown,1024,1,0.546758,2.47444,1.21062,2.582,4.023,4.398,12.115,0.094,0.097,221,1.74433
spin_backoff,unknown,1024,2,0.549068,2.48089,1.26684,2.554,4.146,4.594,13.061,0.094,0.096,198,1.73699
spin_backoff,unknown,1024,3,0.548318,2.54436,1.43669,2.644,4.038,5.836,16.435,0.094,0.13,207,1.73833
spin_backoff,unknown,1024,4,0.548479,2.48732,1.14662,2.603,4.072,4.583,7.466,0.094,0.097,196,1.73887
spin_backoff,unknown,1024,5,0.548659,2.43447,1.20446,2.523,3.926,4.353,9.964,0.094,0.117,212,1.73778
spin_backoff,unknown,1024,6,0.549145,2.42565,1.12171,2.539,3.903,4.329,9.641,0.094,0.096,202,1.73674
spin_backoff,unknown,1024,7,0.547632,2.41567,1.10389,2.523,3.935,4.347,7.092,0.094,0.096,210,1.74154
spin_backoff,unknown,1024,8,0.548451,2.4392,1.15057,2.556,3.992,4.364,8.752,0.094,0.118,188,1.73783
spin_backoff,unknown,1024,9,0.546516,2.44176,1.14017,2.534,4.028,4.526,7.694,0.094,0.096,210,1.7451
spin_backoff,unknown,1024,10,0.546691,2.41829,1.12229,2.517,3.977,4.538,7.869,0.094,0.096,212,1.74345
spin_backoff,unknown,1024,11,0.547275,2.41996,1.09196,2.529,3.919,4.28,6.206,0.094,0.096,199,1.7427
spin_backoff,unknown,1024,12,0.548872,2.42157,1.13344,2.532,3.94,4.563,8.499,0.094,0.118,195,1.73762
spin_backoff,unknown,1024,13,0.550202,2.49476,1.35728,2.559,4.077,4.552,14.765,0.094,4.438,210,1.73276
spin_backoff,unknown,1024,14,0.548437,2.41999,1.12113,2.532,3.971,4.369,7.219,0.094,0.097,203,1.73898
spin_backoff,unknown,1024,15,0.547863,2.58438,2.28844,2.584,4.09,4.763,34.72,0.094,0.109,200,1.73901
spin_backoff,unknown,4096,1,1.95258,2.95182,0.682045,3.062,3.764,4.303,4.857,0.094,0.096,510,1.95371
spin_backoff,unknown,4096,2,1.95459,2.97118,0.698948,3.09,3.801,4.375,5.263,0.094,0.103,512,1.95171
spin_backoff,unknown,4096,3,1.951,2.95283,0.691488,3.067,3.776,4.349,5.593,0.094,0.096,508,1.95529
spin_backoff,unknown,4096,4,1.95469,3.01002,0.714931,3.122,3.866,4.416,5.141,0.094,0.096,508,1.95161
spin_backoff,unknown,4096,5,1.9516,2.93818,0.681941,3.065,3.703,4.28,4.655,0.094,0.096,509,1.9547
spin_backoff,unknown,4096,6,1.94993,3.01302,0.710468,3.124,3.862,4.388,5.166,0.094,0.096,508,1.9564
spin_backoff,unknown,4096,7,1.95102,3.0276,1.77064,3.084,3.731,4.336,39.868,0.094,0.097,510,1.95407
spin_backoff,unknown,4096,8,1.95405,2.97863,0.856522,3.079,3.842,4.393,14.295,0.094,0.098,505,1.95189
spin_backoff,unknown,4096,9,1.95089,2.96245,0.811747,3.081,3.702,4.31,12.921,0.094,0.096,508,1.95511
spin_backoff,unknown,4096,10,1.95531,2.94838,0.682625,3.082,3.71,4.289,4.671,0.094,0.096,507,1.95099
spin_backoff,unknown,4096,11,1.95213,2.95074,0.710091,3.075,3.727,4.288,5.435,0.094,0.096,505,1.95416
spin_backoff,unknown,4096,12,1.95102,2.96514,0.783646,3.073,3.753,4.353,11.371,0.094,0.096,507,1.95501
spin_backoff,unknown,4096,13,1.95478,2.9947,0.843861,3.115,3.77,4.357,14.035,0.094,0.096,507,1.95117
spin_backoff,unknown,4096,14,1.95103,3.03344,2.28331,3.067,3.721,4.304,52.167,0.094,0.096,510,1.95369
spin_backoff,unknown,4096,15,1.95214,2.95022,0.686505,3.075,3.688,4.31,6.004,0.094,0.097,511,1.95415
spin_backoff,unknown,16384,1,6.34632,7.5064,3.79592,7.684,12.727,13.323,14.558,0.094,0.14,127,2.40456
spin_backoff,unknown,16384,2,6.37306,7.68122,3.87398,7.919,12.912,13.735,16.739,0.094,0.12,127,2.3945
spin_backoff,unknown,16384,3,6.33093,7.53163,3.80895,7.757,12.631,13.468,16.165,0.094,0.116,128,2.41039
