wakeup_variant,regime,message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us,p999_us,wakeup_latency_p50_us,wakeup_latency_p99_us,wakeups_triggered,cpu_us_per_msg
spin_backoff,unknown,64,1,0.383334,0.846704,1.81786,0.311,5.025,9.546,10.048,0.104,0.206,297,0.155498
spin_backoff,unknown,64,2,0.391902,9.09601,0.989497,9.331,10.004,10.493,12.421,0.117,0.117,1,0.152097
spin_backoff,unknown,64,3,0.382829,0.703763,1.19714,0.316,3.824,5.656,8.214,0.094,0.097,299,0.155704
spin_backoff,unknown,64,4,0.390943,9.08122,1.12215,9.354,10.002,10.443,12.197,0.096,0.096,2,0.152426
spin_backoff,unknown,64,5,0.390302,9.13452,1.58853,9.372,10.023,10.491,12.536,0.119,0.119,1,0.152471
spin_backoff,unknown,64,6,0.391703,9.28168,0.820814,9.388,9.991,10.438,13.388,0.118,0.118,1,0.152111
spin_backoff,unknown,64,7,0.392018,9.15891,1.00529,9.373,10.004,10.513,12.355,0.117,0.117,1,0.152052
spin_backoff,unknown,64,8,0.382863,0.545193,1.11315,0.309,1.859,7.315,9.903,0.094,0.097,303,0.15569
spin_backoff,unknown,64,9,0.391691,9.22654,0.898024,9.388,9.976,10.4,12.817,0.116,0.116,1,0.152137
spin_backoff,unknown,64,10,0.383911,0.708246,1.36397,0.312,3.721,7.632,9.063,0.094,0.096,242,0.155264
spin_backoff,unknown,64,11,0.391312,9.00613,1.27371,9.361,10.014,10.479,12.324,0.117,0.118,3,0.152278
spin_backoff,unknown,64,12,0.392039,8.56322,2.24933,9.328,9.981,10.404,12.101,0.094,0.118,43,0.152044
spin_backoff,unknown,64,13,0.392039,9.11951,1.06681,9.372,9.983,10.404,12.4,0.117,0.117,2,0.152044
spin_backoff,unknown,64,14,0.38483,3.45192,4.27242,0.341,9.842,10.216,12.334,0.094,0.096,177,0.154892
spin_backoff,unknown,64,15,0.388654,7.56191,3.38651,9.247,10.009,10.398,12.37,0.094,0.117,41,0.153318
spin_backoff,unknown,256,1,1.2462,11.7996,1.18809,12.057,12.686,14.067,19.065,0.117,0.117,1,0.191337
spin_backoff,unknown,256,2,1.23037,12.0009,0.767556,12.173,12.657,13.343,15.237,0.118,0.118,1,0.193806
spin_backoff,unknown,256,3,1.23832,12.0005,0.745397,12.136,12.705,13.417,15.45,0.119,0.119,2,0.192558
spin_backoff,unknown,256,4,1.24039,11.8279,0.95287,12.056,12.617,12.879,14.68,0.117,0.117,1,0.192237
spin_backoff,unknown,256,5,1.22799,11.9091,0.963134,12.102,12.64,12.843,14.857,0.119,0.119,1,0.194186
spin_backoff,unknown,256,6,1.24172,11.85,0.97958,12.082,12.696,13.4,15.347,0.117,0.117,2,0.192026
spin_backoff,unknown,256,7,1.23663,11.9661,0.840498,12.12,12.71,13.979,15.729,0.179,0.179,1,0.192821
spin_backoff,unknown,256,8,1.23028,11.9966,0.854768,12.173,12.686,13.32,16.037,0.116,0.116,1,0.193828
spin_backoff,unknown,256,9,1.248,11.7238,1.37229,12.037,12.632,13.106,15.897,0.116,0.116,1,0.190904
spin_backoff,unknown,256,10,1.28507,11.4429,0.729602,11.486,12.341,12.968,15.388,0.115,0.115,1,0.185559
spin_backoff,unknown,256,11,1.23792,11.7705,1.47736,12.077,12.564,12.975,16.331,0.163,0.163,1,0.192621
spin_backoff,unknown,256,12,1.28413,11.4794,0.627189,11.467,12.269,13.79,15.323,0.177,0.177,1,0.185696
spin_backoff,unknown,256,13,1.23187,11.9779,0.792908,12.118,12.639,13.571,16.153,0.094,0.094,1,0.193569
spin_backoff,unknown,256,14,1.22765,11.9951,2.3591,12.166,12.708,14.183,19.517,0.117,0.117,1,0.193343
spin_backoff,unknown,256,15,1.23228,12.0402,0.726725,12.139,12.687,14.211,15.868,0.116,0.116,1,0.193504
spin_backoff,unknown,1024,1,4.41302,12.9167,0.65072,12.935,13.633,15.103,16.214,0.116,0.116,1,0.216207
spin_backoff,unknown,1024,2,4.43506,13.2129,0.777109,13.222,14.176,15.268,17.182,0.119,0.119,1,0.215126
spin_backoff,unknown,1024,3,4.47047,13.0393,1.75078,12.895,14.479,18.97,34.829,0.116,0.116,1,0.213421
spin_backoff,unknown,1024,4,4.48765,12.8941,0.733384,12.862,13.741,14.693,17.702,0.116,0.116,1,0.2126
spin_backoff,unknown,1024,5,4.17013,14.0956,1.39086,14.041,15.009,17.064,33.008,0.118,0.118,1,0.228945
spin_backoff,unknown,1024,6,4.47968,13.1178,0.719626,13.107,13.989,15.533,16.512,0.115,0.115,1,0.212978
spin_backoff,unknown,1024,7,4.48963,13.1092,0.742418,13.096,13.934,15.551,18.452,0.199,0.199,1,0.212504
spin_backoff,unknown,1024,8,4.38267,12.9992,1.90219,12.768,14.699,21.107,34.105,0.117,0.117,1,0.217689
spin_backoff,unknown,1024,9,4.48996,12.8798,0.784487,12.856,13.664,16.28,17.918,0.116,0.116,1,0.212539
spin_backoff,unknown,1024,10,4.57081,12.8454,0.68091,12.835,13.652,15.036,15.988,0.117,0.117,1,0.208736
spin_backoff,unknown,1024,11,4.46776,13.2083,0.808515,13.187,13.958,15.993,19.391,0.117,0.117,1,0.21355
spin_backoff,unknown,1024,12,4.25574,13.3352,2.06558,13.269,14.267,15.563,43.585,0.094,0.094,1,0.22289
spin_backoff,unknown,1024,13,4.26103,13.7607,2.26613,13.49,15.856,24.036,38.94,0.168,0.168,1,0.223904
spin_backoff,unknown,1024,14,4.27463,13.528,1.09006,13.236,14.896,15.542,16.084,0.117,0.117,1,0.223198
spin_backoff,unknown,1024,15,4.43029,13.101,0.778305,13.117,13.813,16.115,18.098,0.118,0.118,1,0.21543
spin_backoff,unknown,4096,1,10.6272,20.5067,3.85793,21.674,22.503,25.214,34.923,0.118,0.118,1,0.359004
spin_backoff,unknown,4096,2,10.6193,20.736,3.80991,21.648,22.737,25.671,44.564,0.118,0.118,1,0.359275
spin_backoff,unknown,4096,3,10.6652,20.3843,4.41302,21.724,23.007,25.94,43.853,0,0,0,0.357723
spin_backoff,unknown,4096,4,10.6815,20.3969,4.03297,21.638,22.514,25.335,39.594,0.118,0.118,1,0.357187
spin_backoff,unknown,4096,5,10.579,19.7101,4.23951,21.464,22.489,25.429,33.805,0.117,0.117,1,0.360635
spin_backoff,unknown,4096,6,10.6548,20.1387,4.39552,21.572,22.458,24.767,42.394,0.116,0.116,1,0.358066
spin_backoff,unknown,4096,7,10.6271,20.2161,3.78975,21.552,22.558,24.513,38.653,0.117,0.117,1,0.359005
spin_backoff,unknown,4096,8,10.6343,19.8147,4.02096,21.502,22.497,24.777,38.046,0.118,0.118,1,0.358755
spin_backoff,unknown,4096,9,10.6027,19.4357,4.51882,21.475,22.473,25.087,47.992,0.094,0.094,1,0.359841
spin_backoff,unknown,4096,10,10.6126,19.9669,4.16338,21.555,22.647,24.848,41.379,0.119,0.119,1,0.359491
spin_backoff,unknown,4096,11,10.6684,20.3955,3.62355,21.56,22.669,25.539,43.666,0.118,0.118,1,0.357608
spin_backoff,unknown,4096,12,10.769,19.6032,3.95383,21.301,22.245,24.574,41.642,0.118,0.118,1,0.35427
spin_backoff,unknown,4096,13,10.6972,20.6948,3.59344,21.651,23.102,25.353,38.476,0.115,0.115,1,0.356654
spin_backoff,unknown,4096,14,10.4803,19.2508,5.49934,21.622,22.601,25.601,32.937,0.094,0.12,20,0.364045
spin_backoff,unknown,4096,15,10.6773,19.883,4.01337,21.546,22.512,25.13,28.626,0.117,0.117,1,0.357313
spin_backoff,unknown,16384,1,16.1007,50.358,5.4506,51.447,53.848,57.224,84.818,0,0,0,0.94796
spin_backoff,unknown,16384,2,16.1163,49.987,4.27957,51.185,52.989,54.562,55.344,0.116,0.116,1,0.94708
spin_backoff,unknown,16384,3,15.6272,48.5818,7.16942,51.045,52.991,54.741,55.541,0.117,0.118,6,0.977294
spin_backoff,unknown,16384,4,15.8673,49.3557,6.37424,51.148,54.486,58.861,82.922,0.116,0.116,1,0.961838
spin_backoff,unknown,16384,5,15.6549,48.8703,6.46671,50.697,53.383,56.644,84.307,0.116,0.116,1,0.974872
spin_backoff,unknown,16384,6,15.9173,49.6351,5.94639,51.374,53.329,54.942,56.274,0.094,0.094,1,0.958803
spin_backoff,unknown,16384,7,16.0004,49.3786,5.94634,51.235,53.064,54.694,55.567,0.117,0.117,1,0.95423
spin_backoff,unknown,16384,8,15.9018,49.9303,4.82513,51.1,54.008,56.354,57.6,0.175,0.175,1,0.959771
spin_backoff,unknown,16384,9,16.0196,50.0564,4.33127,51.279,53.111,54.632,55.988,0.117,0.117,1,0.952748
spin_backoff,unknown,16384,10,16.1636,49.7247,5.76524,51.246,53.093,55.979,57.742,0,0,0,0.944337
spin_backoff,unknown,16384,11,15.5732,49.1967,7.18512,51.253,53.851,57.235,59.641,0.094,0.095,16,0.98033
spin_backoff,unknown,16384,12,15.7195,48.8276,7.00134,51.042,53.949,56.952,76.666,0.119,0.119,1,0.970915
spin_backoff,unknown,16384,13,15.5506,46.9462,7.66112,49.439,53.852,65.25,79.322,0.117,0.117,1,0.981446
spin_backoff,unknown,16384,14,15.8913,48.4668,5.41242,50.676,52.898,54.829,55.724,0.117,0.117,1,0.960417
spin_backoff,unknown,16384,15,15.85,49.5823,5.4094,51.118,53.148,56.639,57.599,0.117,0.117,1,0.962917
spin_backoff,unknown,65536,1,16.3616,50.1984,21.01,48.086,83.721,150.774,171.474,0.117,0.117,1,3.73139
spin_backoff,unknown,65536,2,16.5251,46.8422,5.81829,48.126,50.324,53.977,55.734,0.117,0.117,1,3.69474
spin_backoff,unknown,65536,3,16.3339,45.3575,10.0073,47.86,50.893,55.734,65.735,0.094,0.096,63,3.73205
spin_backoff,unknown,65536,4,16.0879,46.7425,11.0701,48.258,58.752,75.097,84.773,0.094,0.118,36,3.79685
spin_backoff,unknown,65536,5,16.2851,49.4395,11.1775,48.452,68.588,89.261,109.349,0.153,0.153,1,3.74867
spin_backoff,unknown,65536,6,16.2961,45.0378,9.84869,47.67,50.549,54.258,55.99,0.094,0.118,11,3.74637
spin_backoff,unknown,65536,7,16.1946,44.6297,10.7059,47.716,52.275,54.621,58.916,0.094,0.119,64,3.77155
spin_backoff,unknown,65536,8,16.2345,45.3245,10.0476,47.91,52.197,55.098,57.076,0.094,0.118,20,3.76038
spin_backoff,unknown,65536,9,16.4666,46.0616,5.97432,47.454,50.11,53.527,55.431,0.117,0.117,1,3.70748
spin_backoff,unknown,65536,10,16.0927,47.3431,11.2491,48.368,59.403,89.983,99.631,0.094,0.095,59,3.79625
spin_backoff,unknown,65536,11,16.0985,49.2956,12.4372,48.88,66.134,95.148,116.085,0.116,0.116,1,3.76574
spin_backoff,unknown,65536,12,16.4368,45.9144,7.84319,47.954,50.21,53.335,54.811,0.117,0.117,1,3.71435
spin_backoff,unknown,65536,13,16.2442,44.8838,10.31,47.711,51.887,54.465,58.079,0.094,0.098,59,3.75852
spin_backoff,unknown,65536,14,16.2934,45.869,9.67001,48.312,52.363,55.305,57.739,0.094,0.096,44,3.74763
spin_backoff,unknown,65536,15,16.438,49.6971,11.715,48.295,67.505,101.973,122.166,0.117,0.117,1,3.71395
spin_backoff,unknown,262144,1,15.8057,18.3184,10.6794,22.401,29.814,33.601,40.309,0.094,0.098,169,15.4479
spin_backoff,unknown,262144,2,16.0224,20.8349,10.4146,25.378,29.896,36.287,44.864,0.094,0.117,173,15.2333
spin_backoff,unknown,262144,3,15.934,17.8826,10.1155,21.584,28.69,32.152,36.392,0.094,0.116,156,15.3235
spin_backoff,unknown,262144,4,16.0785,22.6661,8.66483,25.842,29.824,34.542,37.929,0.094,0.095,128,15.1853
spin_backoff,unknown,262144,5,16.0589,22.0902,9.70402,26.045,30.094,35.167,40.385,0.094,0.117,120,15.2064
spin_backoff,unknown,262144,6,16.1049,27.6716,8.42003,30.273,33.785,38.08,43.205,0.094,0.118,100,15.1608
spin_backoff,unknown,262144,7,15.9721,19.653,10.1839,24.164,29.88,32.878,36.056,0.094,0.118,218,15.287
spin_backoff,unknown,262144,8,16.1993,23.79,7.57867,26.07,29.913,35.572,38.477,0.094,0.096,81,15.0728
spin_backoff,unknown,262144,9,16.0422,22.8139,8.63753,25.584,29.971,34.654,39.345,0.094,0.096,150,15.2199
spin_backoff,unknown,262144,10,16.0835,21.9328,9.78337,26.056,30.033,34.087,38.965,0.094,0.117,172,15.1812
spin_backoff,unknown,262144,11,16.0043,20.1352,10.191,24.429,29.871,35.404,37.957,0.094,0.187,160,15.2575
spin_backoff,unknown,262144,12,16.088,25.937,6.99818,27.139,33.071,37.525,48.654,0.094,0.118,66,15.1675
spin_backoff,unknown,262144,13,16.1928,27.961,7.72026,30.195,33.421,38.215,40.94,0.094,0.152,86,15.0782
spin_backoff,unknown,262144,14,16.17,27.1913,8.98155,30.225,33.857,37.956,40.255,0.094,0.096,96,15.0997
spin_backoff,unknown,262144,15,15.5317,11.4989,10.3037,10.001,27.135,29.529,38.946,0.094,0.116,369,15.7204
spin_backoff,unknown,1048576,1,9.21763,0.417137,0.143543,0.409,0.656,0.896,1.17,0.094,0.096,486,105.95
spin_backoff,unknown,1048576,2,9.10738,0.850215,4.62424,0.406,0.755,9.591,81.08,0.094,0.096,479,107.186
spin_backoff,unknown,1048576,3,9.26828,0.41618,0.217115,0.402,0.651,0.902,4.013,0.094,0.095,465,105.294
spin_backoff,unknown,1048576,4,9.2013,0.63293,3.24283,0.404,0.711,1.112,63.199,0.094,0.099,481,106.018
spin_backoff,unknown,1048576,5,9.27947,0.429303,0.353187,0.409,0.72,0.952,7.651,0.094,0.096,484,105.197
spin_backoff,unknown,1048576,6,9.0882,7.85041,49.4912,0.414,0.819,284.312,521.371,0.094,0.096,466,107.423
spin_backoff,unknown,1048576,7,9.25947,0.426863,0.18251,0.41,0.673,0.916,2.901,0.094,0.096,476,105.375
spin_backoff,unknown,1048576,8,9.09802,7.79629,50.2435,0.4,0.814,349.338,473.388,0.094,0.096,460,107.346
spin_backoff,unknown,1048576,9,9.10601,9.3824,59.6365,0.413,0.918,335.517,622.67,0.094,0.152,462,107.248
spin_backoff,unknown,1048576,10,9.19233,0.406266,0.14216,0.409,0.613,0.987,1.095,0.094,0.096,476,106.241
spin_backoff,unknown,1048576,11,9.24066,0.408467,0.150649,0.394,0.667,0.94,1.217,0.094,0.096,479,105.689
spin_backoff,unknown,1048576,12,9.04891,9.7571,58.9716,0.407,0.798,382.756,553.702,0.094,0.096,464,107.927
spin_backoff,unknown,1048576,13,9.24585,0.414121,0.142437,0.404,0.643,0.915,1.162,0.094,0.096,482,105.629
spin_backoff,unknown,1048576,14,9.21291,0.405262,0.1423,0.398,0.632,0.907,1.145,0.094,0.096,481,105.965
spin_backoff,unknown,1048576,15,9.08426,3.70633,24.5813,0.405,0.807,135.963,309.897,0.094,0.098,471,107.507
