message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us
64,1,0.646959,2.94885,4.81809,2.708,5.284,6.044
64,2,0.598056,1.97026,1.62895,1.566,5.201,6.013
64,3,0.476833,2.10084,1.70561,1.763,5.267,6.213
64,4,0.58736,2.14884,1.71697,1.785,5.347,6.175
64,5,0.578761,2.59475,1.93658,2.163,5.497,6.159
64,6,0.565383,2.64525,1.98275,2.247,5.221,6.095
64,7,0.554002,1.95444,1.63345,1.572,5.154,6.051
64,8,0.578089,3.02421,1.95421,2.895,5.309,6.099
64,9,0.579799,2.31962,1.75013,1.946,5.412,6.109
64,10,0.565645,2.27714,1.82909,1.789,5.324,6.012
64,11,0.56034,2.14281,1.67306,1.78,5.353,6.04
64,12,0.554095,2.32132,11.6038,1.877,5.547,6.172
64,13,0.543294,1.89002,1.71437,1.412,5.262,6.089
64,14,0.546581,2.07443,1.76126,1.667,5.322,6.116
64,15,0.570698,1.96021,1.60539,1.575,5.212,6.145
256,1,2.2602,5.95861,1.22071,6.11,6.978,9.325
256,2,2.30823,5.92224,1.33247,6.11,7.002,8.881
256,3,2.30641,5.92174,1.26602,6.105,6.933,8.641
256,4,2.31698,6.02421,0.892532,6.121,6.87,7.373
256,5,2.27643,5.95117,1.25623,6.102,6.975,9.406
256,6,2.31777,6.00471,1.14143,6.11,6.949,8.922
256,7,2.33005,5.98756,0.999949,6.097,6.858,8.011
256,8,2.27087,5.879,1.25709,6.096,6.952,8.135
256,9,2.31723,5.99427,1.11333,6.108,6.962,8.644
256,10,2.31843,5.94495,1.0852,6.102,6.932,7.636
256,11,2.31997,5.99513,0.931908,6.092,6.901,7.939
256,12,2.30301,6.0572,0.992231,6.116,6.957,9.048
256,13,2.30147,5.90509,1.19676,6.098,6.926,8.632
256,14,2.32222,5.90357,0.945639,6.075,6.832,7.367
256,15,2.31756,6.03742,1.07055,6.126,6.944,8.157
1024,1,7.68011,7.66166,0.919531,7.564,8.339,12.267
1024,2,7.75869,7.56773,0.755549,7.507,8.213,10.65
1024,3,7.74312,7.56788,0.735333,7.549,8.174,10.363
1024,4,7.72833,7.50194,0.893911,7.478,8.253,12.388
1024,5,7.7865,7.50238,0.707901,7.486,8.155,10.115
1024,6,7.71093,7.58631,1.08376,7.521,8.268,12.065
1024,7,7.76614,7.56108,0.758941,7.516,8.184,10.293
1024,8,7.73127,7.59338,0.841426,7.525,8.283,11.165
1024,9,7.79441,7.50579,0.692187,7.492,8.127,10.249
1024,10,7.74366,7.5973,0.812547,7.506,8.241,11.802
1024,11,7.7594,7.56934,0.75704,7.514,8.183,10.962
1024,12,7.78703,7.55579,0.698407,7.505,8.189,9.862
1024,13,7.70565,7.6449,1.02062,7.538,8.291,12.42
1024,14,7.76278,7.56122,0.6652,7.52,8.23,9.959
1024,15,7.73659,7.60533,0.82878,7.519,8.23,12.26
4096,1,18.6221,12.5976,1.92874,12.438,13.508,19.959
4096,2,18.6702,12.4709,1.46856,12.456,13.045,15.882
4096,3,18.4951,12.595,2.25487,12.429,14.277,21.304
4096,4,18.6046,12.5229,1.87484,12.446,13.353,18.289
4096,5,18.7268,12.4595,1.07545,12.456,13.021,15.88
4096,6,18.6708,12.6252,1.24444,12.458,13.378,19.889
4096,7,18.6489,12.5347,1.30934,12.46,13.158,16.118
4096,8,18.289,12.7354,1.9981,12.49,14.46,22.165
4096,9,18.7736,12.4991,0.945876,12.417,13.071,16.857
4096,10,18.6349,12.4279,2.20092,12.418,13.031,15.972
4096,11,18.6174,12.6218,1.82763,12.451,13.787,18.645
4096,12,18.6814,12.5117,1.27061,12.433,13.122,18.897
4096,13,18.3343,12.5146,2.1485,12.466,14.046,21.008
4096,14,18.6431,12.5426,1.25613,12.444,13.044,20.919
4096,15,18.7257,12.4188,1.33462,12.441,13.042,16.43
16384,1,28.3282,32.3032,2.93981,32.095,34.444,48.037
16384,2,28.3396,32.3027,3.24922,32.018,34.228,46.492
16384,3,27.5369,33.1621,4.87327,32.09,44.554,56.045
16384,4,28.4138,32.1894,4.16754,32.03,33.919,40.044
16384,5,28.3003,32.2709,3.32329,32.05,34.122,53.276
16384,6,28.1854,32.4377,3.70406,32.104,34.438,56.279
16384,7,28.4301,32.2347,3.05743,32.001,34.221,53.478
16384,8,28.3472,32.2456,3.00034,32.017,34.072,48.504
16384,9,28.288,32.4217,3.30325,32.062,34.477,49.942
16384,10,27.9186,32.382,4.08055,31.547,37.729,52.89
16384,11,28.0592,32.5263,4.14774,31.959,34.546,55.84
16384,12,28.097,32.4891,3.99714,31.981,34.934,55.876
16384,13,28.2475,32.3743,3.22702,32.02,34.403,52.517
16384,14,28.2174,32.5201,3.67688,32.065,34.066,55.408
16384,15,28.3969,32.2467,2.89076,32.07,33.971,49.512
65536,1,28.3572,27.5298,3.66757,27.048,29.77,47.41
65536,2,27.4539,28.2101,6.30972,27.239,38.059,48.591
65536,3,28.413,27.29,2.94393,27.055,29.185,44.558
65536,4,28.2594,27.3913,3.33883,27.074,29.218,46.423
65536,5,28.4217,27.3293,2.94244,27.053,29.5,42.438
65536,6,28.3954,27.3078,3.05993,27.105,29.156,45.126
65536,7,28.0875,27.5565,3.66279,27.082,30.009,47.412
65536,8,28.3645,27.3447,3.17827,27.061,29.512,45.966
65536,9,28.3839,27.4787,3.70213,27.079,29.863,47.663
65536,10,27.8095,27.9211,4.83221,27.225,31.607,49.339
65536,11,27.9896,27.8007,5.75063,27.255,30.381,45.503
65536,12,27.913,28.1179,6.473,27.268,31.449,50.88
65536,13,28.1082,27.6465,5.21692,27.231,30.095,44.397
65536,14,28.2826,27.4695,3.47426,27.248,29.96,46.753
65536,15,28.263,27.5317,4.49312,27.226,29.811,44.009
262144,1,19.8163,37.6556,133.544,2.525,409.579,674.529
262144,2,19.9179,2.53668,4.43898,2.468,3.339,5.05
262144,3,20.8459,2.24359,1.79307,2.428,3.307,4.665
262144,4,20.1262,2.36731,1.05783,2.458,3.315,4.78
262144,5,19.8363,2.83147,8.68403,2.472,3.356,5.767
262144,6,20.902,2.28269,1.34144,2.428,3.329,6.131
262144,7,20.0915,2.81318,4.11646,2.483,4.808,16.769
262144,8,20.9807,2.18133,1.04501,2.424,3.25,4.784
262144,9,21.0627,2.21598,1.16621,2.421,3.211,4.887
262144,10,20.9681,2.36833,3.21386,2.432,3.403,7.27
262144,11,21.0557,2.35571,3.7042,2.443,3.433,7.115
262144,12,21.0532,2.45403,4.62984,2.428,3.355,8.332
262144,13,20.3869,2.35765,2.0278,2.431,3.589,7.034
262144,14,20.8977,2.8104,8.22982,2.46,3.375,12.233
262144,15,21.0752,24.3687,161.606,2.441,9.513,477.443
1048576,1,9.52365,17.6428,97.5968,3.17,5.143,614.675
1048576,2,9.69054,3.63537,7.3858,3.153,4.01,6.116
1048576,3,9.69661,3.61674,6.82051,3.143,4.079,5.304
1048576,4,9.62355,4.26766,13.4173,3.144,4.21,8.336
1048576,5,9.72198,3.42423,3.88072,3.136,4.06,6.098
1048576,6,9.68561,3.4355,3.80764,3.137,4.059,6.574
1048576,7,9.65693,4.05998,11.0908,3.142,4.236,7.655
1048576,8,9.73395,3.46984,4.84659,3.138,4.006,5.512
1048576,9,9.76092,3.60792,7.149,3.144,4.043,6.134
1048576,10,9.68823,4.10259,12.1525,3.127,4.229,7.128
1048576,11,9.76484,3.79811,10.3521,3.124,4.076,6.222
1048576,12,9.74558,4.66394,20.3245,3.135,4.111,8.008
1048576,13,9.77968,4.08445,13.4472,3.135,4.094,6.477
1048576,14,9.81505,3.55086,6.43769,3.127,4.039,5.334
1048576,15,9.66595,3.70889,6.83709,3.141,4.274,7.148
