ipc_type,wakeup_variant,message_size_bytes,n_rounds,mean_us,median_us,p90_us,p99_us,p999_us,ci95_lo_us,ci95_hi_us,status
shm_ablation,adaptive,64,100000,0.432369,0.418,0.484,0.5095,1.12701,0.431705,0.433032,ok
shm_ablation,adaptive,256,100000,0.473176,0.4645,0.528,0.6085,1.62327,0.472436,0.473917,ok
shm_ablation,adaptive,1024,100000,0.993031,0.967,1.0525,1.2445,3.41401,0.992129,0.993933,ok
shm_ablation,adaptive,4096,50000,2.37547,2.3565,2.431,2.5625,5.1495,2.37358,2.37736,ok
shm_ablation,adaptive,16384,20000,7.68134,7.622,7.7435,9.57453,10.6181,7.65412,7.70857,ok
shm_ablation,adaptive,65536,10000,25.4371,25.3755,25.5115,27.5355,28.7571,25.275,25.5992,ok
shm_ablation,adaptive,262144,5000,60.4238,59.794,62.1679,68.7292,80.1038,60.3152,60.5325,ok
shm_ablation,adaptive,1048576,2000,288.932,284.851,302.975,342.719,568.299,287.813,290.051,ok
shm_ablation,busy_poll,64,100000,0.409658,0.3915,0.471,0.5695,1.71452,0.408788,0.410528,ok
shm_ablation,busy_poll,256,100000,0.572632,0.6025,0.626,0.666005,2.518,0.571785,0.573478,ok
shm_ablation,busy_poll,1024,100000,1.03052,1.0165,1.0885,1.209,3.4505,1.02183,1.03922,ok
shm_ablation,busy_poll,4096,50000,2.3781,2.3635,2.4695,2.81053,4.93101,2.37603,2.38016,ok
shm_ablation,busy_poll,16384,20000,7.69336,7.6485,7.7815,9.72401,11.4125,7.68727,7.69945,ok
shm_ablation,busy_poll,65536,10000,25.2937,25.2505,25.488,28.2276,31.1915,25.2754,25.3119,ok
shm_ablation,busy_poll,262144,5000,60.5154,59.997,62.7553,66.6966,73.5873,60.4703,60.5604,ok
shm_ablation,busy_poll,1048576,2000,291.618,291.22,296.438,307.715,341.085,291.289,291.947,ok
shm_ablation,eventfd,64,100000,6.41724,5.8355,6.84455,8.4895,12.2301,6.28904,6.54544,ok
shm_ablation,eventfd,256,100000,5.81994,5.743,5.9035,7.7155,10.3075,5.78878,5.8511,ok
shm_ablation,eventfd,1024,100000,6.44672,6.1435,7.234,9.4845,12.882,6.3859,6.50755,ok
shm_ablation,eventfd,4096,50000,7.54319,7.4855,7.6555,9.7226,11.685,7.53771,7.54866,ok
shm_ablation,eventfd,16384,20000,12.3241,12.22,12.4551,15.334,16.9655,12.3145,12.3338,ok
shm_ablation,eventfd,65536,10000,29.0383,28.9642,29.4816,31.971,36.5913,28.9737,29.1029,ok
shm_ablation,eventfd,262144,5000,64.5054,63.7985,66.0271,71.074,87.5769,64.1307,64.8801,ok
shm_ablation,eventfd,1048576,2000,286.743,284.437,295.889,319.274,367.536,285.51,287.976,ok
shm_ablation,futex,64,100000,5.90883,5.799,6.003,8.472,10.8885,5.87628,5.94137,ok
shm_ablation,futex,256,100000,5.77681,5.7135,5.84705,7.87551,10.4735,5.76872,5.7849,ok
shm_ablation,futex,1024,100000,6.26862,6.195,6.3515,8.39901,10.7925,6.25906,6.27817,ok
shm_ablation,futex,4096,50000,7.57942,7.504,7.6615,10.033,12.2045,7.56758,7.59125,ok
shm_ablation,futex,16384,20000,12.3663,12.245,12.4571,15.573,16.8106,12.3572,12.3754,ok
shm_ablation,futex,65536,10000,29.1383,28.962,29.7107,32.1961,36.2271,29.0414,29.2352,ok
shm_ablation,futex,262144,5000,64.1474,63.506,66.3212,69.6036,85.2167,64.0803,64.2145,ok
shm_ablation,futex,1048576,2000,293.856,287.447,309.957,353.919,848.286,291.976,295.736,ok
shm_ablation,io_uring,64,100000,8.75378,8.6025,8.762,12.5711,15.3945,8.72038,8.78718,ok
shm_ablation,io_uring,256,100000,8.84754,8.6645,8.858,12.748,15.365,8.79467,8.9004,ok
shm_ablation,io_uring,1024,100000,9.26434,9.077,9.2595,13.0525,15.5565,9.21421,9.31446,ok
shm_ablation,io_uring,4096,50000,10.5978,10.414,10.5925,14.3546,17.8605,10.5398,10.6559,ok
