IPC Type,Wakeup,Size (B),Mean,P50,P90,P99,P99.9,CI 95% Lo,CI 95% Hi
pipe,,64,3.32552,3.294,3.445,4.66901,6.617,3.32304,3.328
posix_mq,,64,3.40006,3.351,3.581,4.60501,6.137,3.39752,3.4026
shm_ablation,adaptive,64,0.232848,0.213,0.28,0.58201,1.807,0.230897,0.234798
shm_ablation,busy_poll,64,0.222191,0.218,0.224,0.306,0.675002,0.221602,0.222779
shm_ablation,eventfd,64,3.14648,3.113,3.244,4.43101,7.57602,3.14402,3.14893
shm_ablation,futex,64,3.25169,3.207,3.409,4.57002,7.68103,3.24921,3.25417
shm_ablation,io_uring,64,4.62432,4.542,4.786,6.85401,9.086,4.61992,4.62873
shm_ablation,spin_backoff,64,0.490904,0.411,0.727,0.781,2.629,0.487304,0.494504
shm_io_uring,io_uring,64,4.4547,4.374,4.606,6.36802,8.036,4.45208,4.45733
unix_socket,,64,3.23727,3.029,4.049,5.08702,7.72902,3.23052,3.24402
pipe,,4096,4.02433,3.922,4.217,6.084,8.01504,4.02011,4.02855
posix_mq,,4096,4.68489,4.606,4.85,6.17103,7.932,4.68077,4.68902
shm_ablation,adaptive,4096,1.30233,1.286,1.351,1.427,3.646,1.29462,1.31004
shm_ablation,busy_poll,4096,1.29882,1.286,1.363,1.451,3.664,1.29668,1.30096
shm_ablation,eventfd,4096,3.8303,3.75,4.005,5.27301,7.10401,3.8183,3.84229
shm_ablation,futex,4096,3.83021,3.746,4.01,5.76701,7.80711,3.82675,3.83367
shm_ablation,io_uring,4096,5.49802,5.369,5.698,7.888,10.6601,5.49282,5.50321
shm_ablation,spin_backoff,4096,1.49831,1.483,1.535,1.733,3.79001,1.49649,1.50013
shm_io_uring,io_uring,4096,5.40618,5.302,5.596,7.61201,9.58807,5.401,5.41135
unix_socket,,4096,4.86692,5.008,5.491,7.43301,10.8341,4.83219,4.90164
pipe,,65536,20.1301,19.822,21.157,23.522,32.0801,20.1017,20.1584
posix_mq,,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_ablation,adaptive,65536,13.4186,13.476,13.7792,15.6571,22.4123,13.4001,13.437
shm_ablation,busy_poll,65536,13.1847,12.995,13.826,15.6731,20.6629,13.1698,13.1996
shm_ablation,eventfd,65536,15.0604,14.831,15.6631,17.4981,19.1414,14.9641,15.1568
shm_ablation,futex,65536,15.2163,14.914,15.9031,17.9412,28.0161,15.1951,15.2375
shm_ablation,io_uring,65536,16.2808,16.121,17.107,19.525,33.2109,16.257,16.3047
shm_ablation,spin_backoff,65536,13.3536,13.311,13.845,15.771,16.823,13.3421,13.3652
shm_io_uring,io_uring,65536,16.0674,16.171,16.873,19.4621,33.4904,15.9305,16.2042
unix_socket,,65536,15.885,15.674,16.7411,19.0922,32.028,15.8484,15.9215
pipe,,1048576,267.148,261.026,281.581,393.99,451.114,266.114,268.181
posix_mq,,1048576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_ablation,adaptive,1048576,156.067,152.353,164.327,180.919,248.443,155.703,156.431
shm_ablation,busy_poll,1048576,154.721,152.54,160.803,214.523,249.191,154.267,155.176
shm_ablation,eventfd,1048576,155.553,152.591,162.452,190.589,240.791,155.2,155.907
shm_ablation,futex,1048576,155.173,152.156,161.889,190.628,244.961,154.804,155.543
shm_ablation,io_uring,1048576,159.02,156.122,165.099,212.985,244.897,158.586,159.454
shm_ablation,spin_backoff,1048576,152.401,149.975,159.875,191.538,234.988,152.018,152.783
shm_io_uring,io_uring,1048576,158.526,154.707,166.589,218.246,240.4,158.076,158.976
unix_socket,,1048576,140.539,137.911,144.731,225.035,335.983,139.759,141.318
