message_size_bytes,run,throughput_gbps,p50_us
64,1,0.753592,4.753
64,2,0.751773,4.804
64,3,0.754645,4.765
64,4,0.754208,4.734
64,5,0.752619,4.756
64,6,0.751239,4.737
64,7,0.75037,4.753
64,8,0.752654,4.755
64,9,0.754342,4.751
64,10,0.743736,4.762
64,11,0.752288,4.765
64,12,0.752746,4.799
64,13,0.75176,4.775
64,14,0.745759,4.766
64,15,0.754532,4.74
256,1,3.06106,4.613
256,2,3.07882,4.602
256,3,3.07829,4.602
256,4,3.0542,4.649
256,5,3.07185,4.609
256,6,3.05291,4.645
256,7,3.05597,4.618
256,8,3.06823,4.618
256,9,3.06517,4.607
256,10,3.07232,4.61
256,11,2.34915,6.084
256,12,2.24718,6.609
256,13,2.29996,6.376
256,14,2.28935,6.426
256,15,2.2976,6.384
1024,1,6.45978,9.227
1024,2,6.63463,8.962
1024,3,6.64794,8.942
1024,4,6.54336,9.08
1024,5,6.61309,8.994
1024,6,6.64437,8.945
1024,7,6.63831,8.966
1024,8,6.62607,8.98
1024,9,6.65273,8.944
1024,10,5.86524,10.136
1024,11,6.10549,9.749
1024,12,6.46178,9.226
1024,13,6.67797,8.915
1024,14,6.62529,9.004
1024,15,6.67037,8.943
4096,1,14.6471,16.203
4096,2,14.319,16.632
4096,3,13.8027,17.226
4096,4,14.0079,17.002
4096,5,14.2244,16.706
4096,6,14.2243,16.69
4096,7,14.2374,16.691
4096,8,14.3546,16.583
4096,9,14.644,16.192
4096,10,14.661,16.2
4096,11,14.7242,16.143
4096,12,14.6851,16.179
4096,13,14.7057,16.164
4096,14,14.6921,16.169
4096,15,14.7171,16.145
16384,1,21.1113,44.892
16384,2,21.198,44.824
16384,3,21.1405,44.878
16384,4,21.1076,44.886
16384,5,21.0576,44.967
16384,6,21.2109,44.829
16384,7,21.2602,44.793
16384,8,21.1255,44.928
16384,9,21.0428,44.977
16384,10,21.2393,44.831
16384,11,21.3065,44.726
16384,12,21.2733,44.757
16384,13,21.1126,44.91
16384,14,21.085,44.947
16384,15,21.0503,44.965
65536,1,20.9253,40.373
65536,2,20.91,40.474
65536,3,20.9447,40.503
65536,4,20.9033,40.838
65536,5,20.9225,40.92
65536,6,20.9264,40.86
65536,7,20.9323,40.897
65536,8,20.9053,40.867
65536,9,20.9209,40.883
65536,10,20.9364,40.971
65536,11,20.8594,40.547
65536,12,21.2358,39.961
65536,13,21.3702,39.652
65536,14,21.4167,39.719
65536,15,21.4848,39.658
262144,1,16.1354,5.183
262144,2,15.9714,4.76
262144,3,16.013,4.808
262144,4,15.8902,4.809
262144,5,16.0811,4.8
262144,6,15.8279,4.821
262144,7,15.8923,4.871
262144,8,15.2975,5.362
262144,9,15.6218,4.793
262144,10,15.9444,4.916
262144,11,15.7895,4.945
262144,12,15.8787,4.825
262144,13,15.8087,4.939
262144,14,15.829,4.832
262144,15,16.1496,5.258
1048576,1,8.76571,6.547
1048576,2,8.52812,6.319
1048576,3,8.79752,6.415
1048576,4,8.82855,6.426
1048576,5,8.849,6.389
1048576,6,8.84076,6.304
1048576,7,8.90332,6.257
1048576,8,8.89063,6.24
1048576,9,8.88193,6.255
1048576,10,8.8917,6.237
1048576,11,8.87332,6.253
1048576,12,8.91287,6.252
1048576,13,8.89278,6.245
1048576,14,8.85969,6.242
1048576,15,8.90822,6.217
