message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us
64,1,0.00391118,74.0698,570.124,17.423,31.869,3516.35
64,2,0.00385419,75.2103,593.11,17.514,33.267,3494.95
64,3,0.00391036,73.9776,551.049,17.469,31.778,3502.4
64,4,0.00389706,74.0226,540.884,17.469,32.139,3569.48
64,5,0.00390628,73.9823,551.632,17.424,32.275,3457.72
256,1,0.0156671,73.8253,479.138,17.379,32.185,3604.51
256,2,0.0153196,74.3165,482.016,17.379,33.042,3554.09
256,3,0.0154615,74.7123,484.039,17.424,33.854,3576.97
256,4,0.0157028,73.7226,473.401,17.424,32.094,3482.54
256,5,0.0156367,73.7297,473.148,17.378,32.274,3470.04
1024,1,0.0636621,73.1876,446.094,16.927,32.41,3407.34
1024,2,0.0642918,72.5572,470.231,16.747,31.237,3712.35
1024,3,0.0625065,74.1313,462.931,17.424,32.274,3541
1024,4,0.0624763,75.0679,475.769,17.289,33.042,3769.85
1024,5,0.0628043,74.4388,468.489,17.469,32.546,3764.07
4096,1,0.242558,78.0184,488.002,17.062,33.493,3707.97
4096,2,0.241443,78.568,494.092,17.063,33.494,3708.96
4096,3,0.242084,78.0743,488.3,16.973,33.042,3760.15
4096,4,0.240711,78.4131,483.046,17.018,33.088,3779.38
4096,5,0.238732,78.8458,484.973,17.063,33.268,3729.68
16384,1,1.41866,62.4041,387.404,10.789,27.806,2673.19
16384,2,1.43754,60.4454,367.463,10.608,33.268,2684.3
16384,3,1.15082,72.3708,420.854,11.466,50.556,2905.44
16384,4,1.53682,57.1252,355.08,10.246,25.729,2541.57
16384,5,1.52747,57.6086,353.585,10.427,27.806,2545.68
65536,1,2.79843,120.573,516.964,16.385,59.538,2959.33
65536,2,2.82729,118.736,510.785,16.792,67.89,2925.3
65536,3,2.84612,115.889,509.585,15.347,47.442,2951.34
65536,4,2.92292,115.544,512.675,15.844,49.112,2980.5
65536,5,2.6452,127.15,581.894,16.837,66.039,2996.03
262144,1,3.23827,412.719,892.679,62.338,2601.92,3187.74
262144,2,3.21386,416.839,943.033,62.563,2602.1,3330.24
262144,3,3.22136,415.619,907.617,63.104,2615.96,3256.39
262144,4,3.17697,424.134,908.08,64.685,2676.26,3166.52
262144,5,3.19712,420.514,924.463,63.421,2723.7,3212.83
1048576,1,3.50245,1677.71,2124.17,509.035,6318.37,6821.49
1048576,2,3.36954,1762.53,2192.56,521.494,6350.51,7405.96
1048576,3,3.52601,1654.72,2216.12,486.963,6305.46,8534.89
1048576,4,3.52634,1679.03,2240.46,481.862,6425.94,8558.36
1048576,5,3.50857,1674.32,2141.26,495.9,6348.75,6966.44
