message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us
64,1,0.0811271,3.19275,77.6534,3.055,3.541,4.537
64,2,0.0809173,3.17215,75.8251,3.054,3.479,3.982
64,3,0.0794455,3.20079,72.3354,3.075,3.614,4.482
64,4,0.0808261,3.19652,73.7444,3.069,3.483,4.002
64,5,0.0808342,3.15194,72.5583,3.051,3.5,4.16
256,1,0.354079,3.05618,49.3312,3.04,3.59,4.204
256,2,0.345202,3.11283,47.6904,3.099,3.658,4.651
256,3,0.338692,3.17609,50.2686,3.148,3.689,4.195
256,4,0.34266,3.14513,50.1135,3.112,3.649,4.118
256,5,0.353049,3.08175,50.4763,3.066,3.602,3.956
1024,1,1.52675,3.28503,47.6093,2.458,4.195,4.586
1024,2,1.58221,3.20827,49.1919,2.347,4.081,4.451
1024,3,1.53876,3.21839,44.5336,2.408,4.329,5.438
1024,4,1.57432,3.30438,51.2239,2.42,4.201,4.999
1024,5,1.5366,3.2482,46.4858,2.415,4.166,5.027
4096,1,4.26134,4.86175,51.1041,4.486,5.759,6.326
4096,2,4.18877,5.03143,50.7463,4.661,5.977,7.477
4096,3,4.22665,4.98763,47.6867,4.601,5.866,6.947
4096,4,4.25085,4.96589,51.5103,4.573,5.922,6.671
4096,5,4.21346,4.97002,49.6168,4.596,5.988,7.084
16384,1,9.18933,10.9136,56.854,9.609,11.922,13.686
16384,2,9.1097,10.8974,54.0924,9.652,11.885,13.799
16384,3,9.17006,10.8008,54.7322,9.517,11.856,13.533
16384,4,9.15825,10.7588,51.5692,9.571,11.919,13.497
16384,5,8.73354,11.2207,53.819,9.86,12.417,15.495
65536,1,11.665,27.1602,96.6929,27.099,33.064,35.417
65536,2,11.926,26.8732,95.7364,19.778,33.857,36.518
65536,3,11.9518,28.2865,83.0744,30.126,33.687,36.597
65536,4,11.9016,26.5733,89.4635,26.212,33.066,35.894
65536,5,11.9251,24.9658,84.9916,17.559,33.487,35.379
262144,1,12.1668,54.0365,73.6189,52.276,58.389,64.737
262144,2,11.9451,55.0873,83.9509,52.576,60.42,64.955
262144,3,12.3406,49.6684,86.2939,45.003,52.965,114.295
262144,4,12.8306,52.2754,72.3003,50.198,55.295,58.871
262144,5,12.6858,52.4577,77.9335,50.34,56.067,61.163
1048576,1,10.3559,185.821,147.667,166.603,187.059,776.603
1048576,2,10.3252,187.599,156.153,166.982,187.818,760.588
1048576,3,10.3372,189.059,174.101,166.02,179.268,809.559
1048576,4,10.3818,181.483,147.246,166.459,178.673,497.278
1048576,5,10.358,185.168,154.175,166.47,179.94,661.577
