message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us
64,1,0.140498,5178.39,3038.42,4592.23,5430.24,24099.1
64,2,0.139466,5874.17,2743.33,5455.54,5788.31,23091.8
64,3,0.140216,5314.08,3193.47,4844.19,5442.46,25239.2
64,4,0.139981,5180.6,2620.34,4783.55,5253.39,21499.9
64,5,0.139358,5440.53,2602.7,5053.65,5366.66,21741.3
64,6,0.13909,5644.04,2694.65,5229.29,5468.17,22549.6
64,7,0.139423,5654.92,2749.04,5214.33,5489.52,22837.8
64,8,0.139046,5663.04,2968.25,5213.1,5453.83,24213.3
64,9,0.139744,5617.94,2820.13,5187.55,5450.84,23249.7
64,10,0.139241,5521.06,2796.08,5107.2,5400.27,23033.4
64,11,0.139255,5464.55,2931.54,5048.79,5454.78,23757.4
64,12,0.138996,5605.05,2607.87,5171.02,5703.37,21873
64,13,0.139066,5609.65,3099.74,5114.22,5462.26,24964.4
64,14,0.138975,5602.94,2706.97,5184.48,5582.8,22455.3
64,15,0.139176,5655.48,2623.7,5326.94,5536.17,22012.4
256,1,0.533995,1918.79,1225.14,1700.08,1763.03,8973.49
256,2,0.541461,1671.96,1216.52,1469.52,1643.29,8668.99
256,3,0.53375,1770.94,1040.25,1607.85,1705.8,7754.42
256,4,0.534996,1769.98,1064.88,1595.1,1740.84,7899.04
256,5,0.537708,1801.25,1063.06,1623.03,1752.44,7940.16
256,6,0.542083,1478.03,1117.12,1216.46,1572.46,7852.28
256,7,0.540816,1558.35,981.066,1399.05,1563.58,7187.83
256,8,0.540426,1500.43,1045.84,1324.18,1519.23,7516.13
256,9,0.54492,1383.1,1123.77,1315.63,1407.28,7760.45
256,10,0.543421,1485.67,996.082,1300.22,1451.06,7243.56
256,11,0.543954,1680.08,1040.42,1498.18,1671.19,7662.71
256,12,0.54101,1805.33,1082.27,1616.2,1752.97,8045.68
256,13,0.545917,1714.52,1090.13,1524.11,1616.02,7997.07
256,14,0.542642,1680.99,1114.75,1493.88,1576.44,8110.1
256,15,0.540759,1601.82,1086.45,1418.34,1556.43,7856.43
1024,1,1.55447,557.203,577.377,462.903,530.533,4297.38
1024,2,1.7524,281.505,753.49,158.313,235.974,5144.73
1024,3,1.65788,516.674,561.594,430.481,555.678,4127.95
1024,4,1.71424,504.463,548.864,424.117,462.144,4048.42
1024,5,1.68217,518.199,559.707,430.08,516.563,4131.73
1024,6,1.70218,511.598,553,423.448,474.917,4084.63
1024,7,1.66923,518.892,540.058,434.79,475.764,4019.59
