message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us
64,1,0.0935789,197.838,85.817,212.024,306.071,349.622
64,2,0.0961148,191.45,77.6963,205.418,289.492,310.028
64,3,0.0935889,238.07,249.123,219.656,437.141,1451.04
64,4,0.0921827,204.278,98.0136,213.723,317.128,546.521
64,5,0.0922667,204.887,73.7533,220.556,299.816,317.488
256,1,0.366546,133.633,41.0106,141.329,188.65,198.336
256,2,0.363243,135.591,40.7815,144.721,191.706,201.043
256,3,0.366268,135.44,41.1306,143.487,190.94,200.615
256,4,0.358745,136.922,47.2373,145.16,199.209,220.975
256,5,0.368898,135.065,41.097,143.284,190.733,200.86
1024,1,1.24888,86.1017,28.6096,89.51,127.111,146.108
1024,2,1.31428,83.3936,26.5722,87.448,121.087,128.776
1024,3,1.28877,85.2297,27.0792,89.481,123.597,139.159
1024,4,1.22307,89.8764,30.2013,93.266,135.769,163.214
1024,5,1.32264,83.2531,26.2672,87.26,120.91,127.339
4096,1,3.57696,56.7823,22.0411,57.338,88.87,114.369
4096,2,3.63267,56.4786,20.6042,57.525,86.872,108.493
4096,3,3.60747,56.665,21.4712,57.363,88.14,111.428
4096,4,3.33353,60.4338,24.1179,60.595,95.203,124.596
4096,5,3.60822,56.7104,20.9268,57.567,87.652,108.823
16384,1,9.23316,26.0487,8.90566,26.833,37.906,41.233
16384,2,9.23844,26.0544,8.90825,26.85,38.03,41.381
16384,3,9.25086,25.8622,8.92549,26.611,37.844,41.137
16384,4,9.26585,25.9378,8.85494,26.67,37.804,40.963
16384,5,9.30098,25.8198,9.91815,26.469,37.6,41.024
65536,1,11.2857,24.9683,7.95185,25.155,35.521,39.143
65536,2,11.2512,24.9527,7.72997,25.164,35.569,38.934
65536,3,11.2158,25.1507,7.98877,25.314,35.741,39.915
65536,4,11.2576,25.0372,7.76299,25.303,35.554,38.634
65536,5,11.2451,25.1091,8.49904,25.257,35.679,39.845
262144,1,13.3747,33.5618,5.68757,33.967,40.849,43.749
262144,2,13.2553,32.843,6.27057,32.346,40.526,43.994
262144,3,13.3175,34.2114,4.93792,34.417,41.78,45.611
262144,4,13.5221,35.4323,5.26456,36.301,42.127,45.644
262144,5,13.4169,34.5021,5.84399,35.208,41.685,45.116
1048576,1,11.3818,96.575,13.3063,97.181,110.085,147.341
1048576,2,11.4475,96.1058,12.5105,97.095,109.265,146.523
1048576,3,11.4314,96.0913,13.315,96.65,109.481,149.624
1048576,4,11.4003,96.4356,12.8098,97.066,110.523,152.1
1048576,5,11.5001,95.6614,12.3368,96.942,108.378,141.311
