message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us
64,1,0.0235425,35253.6,15281.4,34693.3,37867,132997
64,2,0.0234959,35382.5,15098.9,34696.5,37912.8,126561
64,3,0.023166,35578,14200.4,34587.1,42506.5,121947
64,4,0.023604,35056.5,14508,34671.7,37793.5,127572
64,5,0.0238283,35022.3,15815,34597.9,37733.3,130378
256,1,0.090519,10813.5,4863.13,9283.24,15517.3,35285
256,2,0.0884094,10905,4713.35,9313.89,15422,36435.9
256,3,0.0867773,11068.3,4634.36,9359.93,15909.2,35512.5
256,4,0.0888694,11051.1,4844.66,9352.53,15454.5,35996.3
256,5,0.0887451,10966.1,4987,9323.91,15513.2,35728.8
1024,1,0.300671,2554.6,2802.78,812.404,6854.83,9251.01
1024,2,0.268487,2803.05,2883.28,872.935,7164.66,8339.12
1024,3,0.28446,2757.27,3033.24,844.407,6907.06,9291.05
1024,4,0.268562,2852.69,2961.97,884.626,6950.75,9318.99
1024,5,0.263661,2935.72,2923.55,944.931,6963.84,9579.94
4096,1,0.831131,816.474,1925.83,239.37,6261.4,6418.66
4096,2,0.844271,799.847,1876.63,233.592,6257.88,6487.95
4096,3,0.823389,795.615,1768.97,239.369,6263.47,6341.74
4096,4,0.842826,789.918,1778.02,237.023,6273.58,6341.97
4096,5,0.829701,811.755,1893.82,238.332,6262.66,6344.59
16384,1,1.25866,670.375,1633.07,181.321,6207.46,6319.81
16384,2,1.0911,781.406,1759.41,211.204,6252.87,7187.1
16384,3,1.24551,702.571,1714.02,182.631,6220.91,6299.81
16384,4,1.22022,697.094,1628.46,199.378,6231.47,6444.57
16384,5,1.33522,623.495,1577.39,173.151,6186.96,7274.35
65536,1,1.36808,709.643,1726.53,181.457,6197.66,6446.96
65536,2,1.32919,707.482,1681.07,188.002,6211.88,6315.97
65536,3,1.35723,718.866,1687.94,183.127,6199.1,6300.58
65536,4,1.12638,705.299,1665.99,185.249,6212.83,6413.42
65536,5,1.32442,723.658,1700.76,184.391,6205.83,6328.83
262144,1,1.34691,752.771,1737.3,187.821,6197.62,6330.05
262144,2,1.32603,757.918,1756.65,191.027,6203.39,6303.24
262144,3,1.34628,744.113,1730.77,190.26,6203.8,6301.03
262144,4,1.34597,754.416,1755.22,190.846,6202.13,6306.09
262144,5,1.34233,752.734,1741.3,191.568,6203.57,6293.94
1048576,1,1.24068,1340.98,1274.39,411.303,3156.32,4266.18
1048576,2,1.24651,1332.31,1250.31,400.108,3140.7,3607.88
1048576,3,1.25033,1333.73,1284.13,403.178,3153.7,5164.39
1048576,4,1.26463,1315.9,1268.71,392.977,3137.27,3657.22
1048576,5,1.23233,1348.33,1313.51,406.653,3144.67,3802.11
