message_size_bytes,run,throughput_gbps,avg_latency_us,stddev_us,p50_us,p95_us,p99_us
64,1,0.114503,36.4378,393.085,11.458,12.916,39.122
64,2,0.137188,35.8768,385.884,11,12.707,39.705
64,3,0.213624,19.1034,280.369,5.875,6.875,13.125
64,4,0.211384,18.8303,275.164,5.959,6.75,11.75
64,5,0.182905,20.0329,288.357,6.083,7.417,16.5
256,1,0.746875,16.9868,290.467,3.875,6.292,10.375
256,2,0.72263,18.3009,308.442,4.459,6.583,12.5
256,3,0.756334,16.5144,281.036,3.666,6.292,10.833
256,4,0.621783,18.2756,297.072,4.125,6.417,15.958
256,5,0.714289,18.2464,298.541,4.084,6.625,14.292
1024,1,2.52714,17.7855,310.773,1.25,5.083,8.542
1024,2,1.74098,25.8046,376.139,1.25,7.334,20.625
1024,3,2.1416,21.3092,340.546,1.333,7.167,19.792
1024,4,2.44492,18.5079,317.404,1.292,6.25,9.875
1024,5,2.47628,18.0561,312.813,1.25,3.666,8.791
4096,1,5.06252,33.3559,433.432,0.833,5.042,24.417
4096,2,4.52298,37.5448,468.093,0.917,8.458,29.791
4096,3,5.14492,32.5797,434.624,0.833,3.667,17.042
4096,4,5.12626,32.941,437.992,0.875,4.375,16.875
4096,5,5.17244,32.6406,429.852,0.75,3.959,16.5
16384,1,7.5923,124.672,701.4,40.334,50.667,6056.19
16384,2,7.6198,124.943,718.523,39.333,49.708,6055.02
16384,3,7.63462,124.366,706.332,40.042,48.917,6054.94
16384,4,7.71285,121.953,698.911,39.5,49.125,6054.23
16384,5,7.49107,125.759,712.468,40.041,49.417,6052.31
65536,1,8.07194,473.576,1348.47,153.667,5170.1,6187.52
65536,2,8.21587,461.437,1333.16,152.333,5190.27,6179.73
65536,3,8.21847,462.755,1374.37,152.334,3159.8,6196.44
65536,4,8.29599,460.894,1325.47,151.126,5707.02,6178.81
65536,5,8.23487,462.294,1329.95,151.626,6021.6,6180.65
262144,1,10.0504,1514,2257.56,503.502,6521.15,6588.65
262144,2,9.62598,1580.88,2294.38,528.585,6546.69,6591.15
262144,3,9.67038,1544.92,2272.45,522.835,6538.69,6685.19
262144,4,9.1282,1673.01,2405.86,553.21,6640.02,9495.82
262144,5,9.63593,1579.66,2288.46,525.418,6550.48,6579.1
1048576,1,9.69086,6206.46,2841.65,8007.28,8489.94,8640.07
1048576,2,9.73404,6181.55,2808.78,7995.86,8353.15,8689.99
1048576,3,9.70803,6185.37,2803.77,7984.9,8383.9,8533.44
1048576,4,9.66892,6234.95,2912.33,8034.19,8391.9,8880.24
1048576,5,9.51469,6308.36,3055.39,8014.07,10943.2,10987.7
